Group,Country,US,GB,FR,BR,CN,IN,AU,IT,DE,TZ,KE,TH,ES,CA,CH,CZ,HU,NZ,JP,AT,HR,SE,NL
Culicidae,US,3503,645,306,313,375,190,251,137,131,138,218,149,,,,,,,,,,,
Culicidae,GB,,1920,206,103,50,61,142,117,118,294,146,108,,,,,,,,,,,
Culicidae,FR,,,1282,69,33,26,54,88,63,14,25,102,,,,,,,,,,,
Culicidae,BR,,,,709,19,19,42,28,51,15,6,13,,,,,,,,,,,
Culicidae,CN,,,,,692,55,27,28,19,6,7,17,,,,,,,,,,,
Culicidae,IN,,,,,,603,17,104,13,32,8,31,,,,,,,,,,,
Culicidae,AU,,,,,,,544,28,32,42,8,39,,,,,,,,,,,
Culicidae,IT,,,,,,,,526,51,9,8,8,,,,,,,,,,,
Culicidae,DE,,,,,,,,,496,17,22,16,,,,,,,,,,,
Culicidae,TZ,,,,,,,,,,470,70,9,,,,,,,,,,,
Culicidae,KE,,,,,,,,,,,453,7,,,,,,,,,,,
Culicidae,TH,,,,,,,,,,,,423,,,,,,,,,,,
Ephemeroptera,US,118,8,5,8,7,8,11,,12,,,,11,18,3,8,,,,,,,
Ephemeroptera,DE,,6,3,5,5,1,2,,59,,,,4,4,4,3,,,,,,,
Ephemeroptera,GB,,43,1,1,5,0,4,,,,,,4,6,1,1,,,,,,,
Ephemeroptera,ES,,,2,0,3,2,2,,,,,,40,2,2,3,,,,,,,
Ephemeroptera,IN,,,0,1,2,37,3,,,,,,,1,1,0,,,,,,,
Ephemeroptera,CA,,,2,0,1,,2,,,,,,,35,1,1,,,,,,,
Ephemeroptera,CN,,,0,0,35,,2,,,,,,,,0,4,,,,,,,
Ephemeroptera,BR,,,1,34,,,5,,,,,,,,0,0,,,,,,,
Ephemeroptera,CH,,,2,,,,0,,,,,,,,27,2,,,,,,,
Ephemeroptera,AU,,,1,,,,26,,,,,,,,,0,,,,,,,
Ephemeroptera,FR,,,25,,,,,,,,,,,,,4,,,,,,,
Ephemeroptera,CZ,,,,,,,,,,,,,,,,22,,,,,,,
Plecoptera,US,70,6,3,4,13,,,,8,,,,6,5,3,,3,6,5,,,,
Plecoptera,CN,,3,1,1,57,,,,3,,,,4,1,0,,20,1,5,,,,
Plecoptera,DE,,5,1,4,,,,,40,,,,3,3,4,,1,4,3,,,,
Plecoptera,ES,,6,2,1,,,,,,,,,35,2,1,,1,1,2,,,,
Plecoptera,HU,,0,1,0,,,,,,,,,,0,0,,29,0,4,,,,
Plecoptera,GB,,26,1,1,,,,,,,,,,3,3,,,3,1,,,,
Plecoptera,BR,,,1,25,,,,,,,,,,0,1,,,2,1,,,,
Plecoptera,CA,,,1,,,,,,,,,,,19,1,,,3,1,,,,
Plecoptera,NZ,,,2,,,,,,,,,,,,1,,,19,2,,,,
Plecoptera,JP,,,0,,,,,,,,,,,,0,,,,18,,,,
Plecoptera,FR,,,17,,,,,,,,,,,,3,,,,,,,,
Plecoptera,CH,,,,,,,,,,,,,,,15,,,,,,,,
Trichoptera,US,270,22,,29,33,,22,,38,,,,16,34,,13,,,,8,1,6,
Trichoptera,DE,,15,,6,12,,5,,156,,,,12,7,,5,,,,33,22,11,
Trichoptera,ES,,18,,8,5,,9,,,,,,97,2,,6,,,,5,10,3,
Trichoptera,GB,,89,,3,11,,11,,,,,,,8,,2,,,,5,3,7,
Trichoptera,BR,,,,71,2,,7,,,,,,,2,,7,,,,1,0,3,
Trichoptera,AT,,,,,4,,2,,,,,,,1,,4,,,,68,21,2,
Trichoptera,CN,,,,,61,,4,,,,,,,4,,1,,,,,1,2,
Trichoptera,CA,,,,,,,1,,,,,,,60,,1,,,,,0,1,
Trichoptera,HR,,,,,,,1,,,,,,,,,6,,,,,58,1,
Trichoptera,AU,,,,,,,48,,,,,,,,,1,,,,,,1,
Trichoptera,CZ,,,,,,,,,,,,,,,,44,,,,,,2,
Trichoptera,SE,,,,,,,,,,,,,,,,,,,,,,42,
Odonata,US,428,49,37,34,38,25,43,,71,,,,27,67,,,,,,,,24,39
Odonata,DE,,24,24,14,15,8,25,,192,,,,21,25,,,,,,,,9,28
Odonata,GB,,164,19,4,19,7,15,,,,,,15,16,,,,,,,,14,15
Odonata,CN,,,39,0,158,4,10,,,,,,9,11,,,,,,,,2,6
Odonata,FR,,,139,6,,1,3,,,,,,8,8,,,,,,,,4,9
Odonata,ES,,,,17,,2,11,,,,,,138,5,,,,,,,,8,14
Odonata,CA,,,,11,,2,20,,,,,,,137,,,,,,,,8,10
Odonata,BR,,,,136,,0,8,,,,,,,,,,,,,,,21,8
Odonata,AU,,,,,,6,123,,,,,,,,,,,,,,,9,15
Odonata,NL,,,,,,2,,,,,,,,,,,,,,,,4,121
Odonata,SE,,,,,,2,,,,,,,,,,,,,,,,101,
Odonata,IN,,,,,,94,,,,,,,,,,,,,,,,,
