country,group,US,GB,FR,BR,CN,AU,DE,CH,ES,HU,AT,SE
US,Culicidae,5992,1236,522.0,587.0,605.0,424.0,,,,,,
GB,Culicidae,1236,3355,384.0,244.0,89.0,251.0,,,,,,
FR,Culicidae,522,384,2020.0,126.0,59.0,81.0,,,,,,
BR,Culicidae,587,244,126.0,1248.0,28.0,73.0,,,,,,
CN,Culicidae,605,89,59.0,28.0,1159.0,59.0,,,,,,
AU,Culicidae,424,251,81.0,73.0,59.0,945.0,,,,,,
US,Ephemeroptera,296,30,,51.0,,,36.0,24.0,25.0,,,
DE,Ephemeroptera,36,16,,12.0,,,145.0,22.0,14.0,,,
BR,Ephemeroptera,51,6,,141.0,,,12.0,12.0,11.0,,,
CH,Ephemeroptera,24,9,,12.0,,,22.0,128.0,10.0,,,
GB,Ephemeroptera,30,91,,6.0,,,16.0,9.0,17.0,,,
ES,Ephemeroptera,25,17,,11.0,,,14.0,10.0,85.0,,,
US,Plecoptera,135,16,,,24.0,,20.0,,12.0,5.0,,
CN,Plecoptera,24,9,,,133.0,,9.0,,7.0,53.0,,
DE,Plecoptera,20,10,,,9.0,,75.0,,7.0,4.0,,
ES,Plecoptera,12,10,,,7.0,,7.0,,73.0,4.0,,
HU,Plecoptera,5,2,,,53.0,,4.0,,4.0,70.0,,
GB,Plecoptera,16,53,,,9.0,,10.0,,10.0,2.0,,
US,Trichoptera,288,21,,36.0,,,40.0,,15.0,,10.0,
DE,Trichoptera,40,17,,6.0,,,169.0,,12.0,,35.0,
ES,Trichoptera,15,19,,9.0,,,12.0,,103.0,,6.0,
GB,Trichoptera,21,93,,3.0,,,17.0,,19.0,,5.0,
BR,Trichoptera,36,3,,84.0,,,6.0,,9.0,,1.0,
AT,Trichoptera,10,5,,1.0,,,35.0,,6.0,,75.0,
US,Odonata,422,58,33.0,,18.0,,73.0,,,,,41.0
DE,Odonata,73,35,33.0,,14.0,,246.0,,,,,20.0
GB,Odonata,58,219,36.0,,35.0,,35.0,,,,,25.0
FR,Odonata,33,36,198.0,,69.0,,33.0,,,,,10.0
SE,Odonata,41,25,10.0,,3.0,,20.0,,,,,189.0
CN,Odonata,18,35,69.0,,182.0,,14.0,,,,,3.0
