group,country_a,country_b,n_total,n_early_2010_2015,n_recent_2020_2025,pct_change,cell
Culicidae,US,GB,645,144,351,143.8,645 (+143.8%)
Culicidae,US,FR,306,96,149,55.2,306 (+55.2%)
Culicidae,US,BR,313,45,191,324.4,313 (+324.4%)
Culicidae,US,CN,375,87,189,117.2,375 (+117.2%)
Culicidae,US,IN,190,41,106,158.5,190 (+158.5%)
Culicidae,GB,FR,206,62,103,66.1,206 (+66.1%)
Culicidae,GB,BR,103,18,50,177.8,103 (+177.8%)
Culicidae,GB,CN,50,7,31,342.9,50 (+342.9%)
Culicidae,GB,IN,61,11,40,263.6,61 (+263.6%)
Culicidae,FR,BR,69,15,38,153.3,69 (+153.3%)
Culicidae,FR,CN,33,3,20,566.7,33 (+566.7%)
Culicidae,FR,IN,26,5,12,140.0,26 (+140.0%)
Culicidae,BR,CN,19,2,13,550.0,19 (+550.0%)
Culicidae,BR,IN,19,1,17,1600.0,19 (+1600.0%)
Culicidae,CN,IN,55,5,37,640.0,55 (+640.0%)
Ephemeroptera,US,DE,12,3,7,133.3,12 (+133.3%)
Ephemeroptera,US,GB,8,5,3,-40.0,8 (-40.0%)
Ephemeroptera,US,ES,11,3,4,33.3,11 (+33.3%)
Ephemeroptera,US,IN,8,0,7,,8 (n/a)
Ephemeroptera,US,CA,18,10,7,-30.0,18 (-30.0%)
Ephemeroptera,DE,GB,6,1,4,300.0,6 (+300.0%)
Ephemeroptera,DE,ES,4,0,2,,4 (n/a)
Ephemeroptera,DE,IN,1,1,0,-100.0,1 (-100.0%)
Ephemeroptera,DE,CA,4,0,2,,4 (n/a)
Ephemeroptera,GB,ES,4,1,3,200.0,4 (+200.0%)
Ephemeroptera,GB,IN,0,0,0,,0 (n/a)
Ephemeroptera,GB,CA,6,2,3,50.0,6 (+50.0%)
Ephemeroptera,ES,IN,2,0,2,,2 (n/a)
Ephemeroptera,ES,CA,2,0,1,,2 (n/a)
Ephemeroptera,IN,CA,1,0,1,,1 (n/a)
Plecoptera,US,CN,13,2,7,250.0,13 (+250.0%)
Plecoptera,US,DE,8,2,5,150.0,8 (+150.0%)
Plecoptera,US,ES,6,0,3,,6 (n/a)
Plecoptera,US,HU,3,1,1,0.0,3 (0%)
Plecoptera,US,GB,6,3,3,0.0,6 (0%)
Plecoptera,CN,DE,3,2,1,-50.0,3 (-50.0%)
Plecoptera,CN,ES,4,0,4,,4 (n/a)
Plecoptera,CN,HU,20,0,14,,20 (n/a)
Plecoptera,CN,GB,3,0,3,,3 (n/a)
Plecoptera,DE,ES,3,0,1,,3 (n/a)
Plecoptera,DE,HU,1,0,1,,1 (n/a)
Plecoptera,DE,GB,5,0,3,,5 (n/a)
Plecoptera,ES,HU,1,0,1,,1 (n/a)
Plecoptera,ES,GB,6,2,3,50.0,6 (+50.0%)
Plecoptera,HU,GB,0,0,0,,0 (n/a)
Trichoptera,US,DE,38,4,28,600.0,38 (+600.0%)
Trichoptera,US,ES,16,4,7,75.0,16 (+75.0%)
Trichoptera,US,GB,22,7,10,42.9,22 (+42.9%)
Trichoptera,US,BR,29,4,17,325.0,29 (+325.0%)
Trichoptera,US,AT,8,0,5,,8 (n/a)
Trichoptera,DE,ES,12,0,7,,12 (n/a)
Trichoptera,DE,GB,15,1,6,500.0,15 (+500.0%)
Trichoptera,DE,BR,6,0,4,,6 (n/a)
Trichoptera,DE,AT,33,9,12,33.3,33 (+33.3%)
Trichoptera,ES,GB,18,5,9,80.0,18 (+80.0%)
Trichoptera,ES,BR,8,0,6,,8 (n/a)
Trichoptera,ES,AT,5,0,3,,5 (n/a)
Trichoptera,GB,BR,3,0,3,,3 (n/a)
Trichoptera,GB,AT,5,0,2,,5 (n/a)
Trichoptera,BR,AT,1,0,1,,1 (n/a)
Odonata,US,DE,71,8,57,612.5,71 (+612.5%)
Odonata,US,GB,49,7,36,414.3,49 (+414.3%)
Odonata,US,CN,38,3,29,866.7,38 (+866.7%)
Odonata,US,FR,37,3,31,933.3,37 (+933.3%)
Odonata,US,ES,27,3,21,600.0,27 (+600.0%)
Odonata,DE,GB,24,3,18,500.0,24 (+500.0%)
Odonata,DE,CN,15,1,14,1300.0,15 (+1300.0%)
Odonata,DE,FR,24,4,19,375.0,24 (+375.0%)
Odonata,DE,ES,21,1,17,1600.0,21 (+1600.0%)
Odonata,GB,CN,19,0,12,,19 (n/a)
Odonata,GB,FR,19,4,10,150.0,19 (+150.0%)
Odonata,GB,ES,15,3,11,266.7,15 (+266.7%)
Odonata,CN,FR,39,1,28,2700.0,39 (+2700.0%)
Odonata,CN,ES,9,0,9,,9 (n/a)
Odonata,FR,ES,8,0,7,,8 (n/a)
