country_a,country_b,n_papers,pct_of_intl_papers
US,CA,18,4.8
US,DE,12,3.2
US,ES,11,2.9
US,AU,11,2.9
US,CZ,8,2.1
US,IN,8,2.1
US,BR,8,2.1
US,GB,8,2.1
US,CN,7,1.9
DE,GB,6,1.6
GB,CA,6,1.6
BR,AU,5,1.3
DE,CN,5,1.3
DE,BR,5,1.3
GB,CN,5,1.3
US,FR,5,1.3
GB,ES,4,1.1
CN,CZ,4,1.1
GB,AU,4,1.1
FR,CZ,4,1.1
DE,CH,4,1.1
DE,CA,4,1.1
DE,ES,4,1.1
DE,CZ,3,0.8
ES,CZ,3,0.8
US,CH,3,0.8
ES,CN,3,0.8
IN,AU,3,0.8
DE,FR,3,0.8
CH,CZ,2,0.5
CH,FR,2,0.5
CN,AU,2,0.5
CA,FR,2,0.5
CA,AU,2,0.5
IN,CN,2,0.5
ES,FR,2,0.5
ES,CH,2,0.5
DE,AU,2,0.5
ES,CA,2,0.5
ES,IN,2,0.5
ES,AU,2,0.5
IN,CH,1,0.3
CA,CN,1,0.3
CA,CH,1,0.3
IN,BR,1,0.3
IN,CA,1,0.3
CA,CZ,1,0.3
GB,CZ,1,0.3
DE,IN,1,0.3
GB,CH,1,0.3
BR,FR,1,0.3
GB,BR,1,0.3
AU,FR,1,0.3
GB,FR,1,0.3
