group,country_a,country_b,n_total,n_early_2010_2015,n_recent_2020_2025,pct_change,cell
Ephemeroptera,US,DE,12,3,7,133.3,12 (+133.3%)
Ephemeroptera,US,GB,8,5,3,-40.0,8 (-40.0%)
Ephemeroptera,US,ES,11,3,4,33.3,11 (+33.3%)
Ephemeroptera,US,IN,8,0,7,,8 (n/a)
Ephemeroptera,US,CA,18,10,7,-30.0,18 (-30.0%)
Ephemeroptera,DE,GB,6,1,4,300.0,6 (+300.0%)
Ephemeroptera,DE,ES,4,0,2,,4 (n/a)
Ephemeroptera,DE,IN,1,1,0,-100.0,1 (-100.0%)
Ephemeroptera,DE,CA,4,0,2,,4 (n/a)
Ephemeroptera,GB,ES,4,1,3,200.0,4 (+200.0%)
Ephemeroptera,GB,IN,0,0,0,,0 (n/a)
Ephemeroptera,GB,CA,6,2,3,50.0,6 (+50.0%)
Ephemeroptera,ES,IN,2,0,2,,2 (n/a)
Ephemeroptera,ES,CA,2,0,1,,2 (n/a)
Ephemeroptera,IN,CA,1,0,1,,1 (n/a)
