country_a,country_b,n_papers,pct_of_intl_papers
US,GB,645,7.7
US,CN,375,4.5
US,BR,313,3.7
US,FR,306,3.7
GB,TZ,294,3.5
US,AU,251,3.0
US,KE,218,2.6
GB,FR,206,2.5
US,IN,190,2.3
US,TH,149,1.8
GB,KE,146,1.7
GB,AU,142,1.7
US,TZ,138,1.6
US,IT,137,1.6
US,DE,131,1.6
GB,DE,118,1.4
GB,IT,117,1.4
GB,TH,108,1.3
IN,IT,104,1.2
GB,BR,103,1.2
FR,TH,102,1.2
FR,IT,88,1.1
TZ,KE,70,0.8
FR,BR,69,0.8
FR,DE,63,0.8
GB,IN,61,0.7
CN,IN,55,0.7
FR,AU,54,0.6
IT,DE,51,0.6
BR,DE,51,0.6
GB,CN,50,0.6
BR,AU,42,0.5
AU,TZ,42,0.5
AU,TH,39,0.5
FR,CN,33,0.4
AU,DE,32,0.4
IN,TZ,32,0.4
IN,TH,31,0.4
CN,IT,28,0.3
AU,IT,28,0.3
BR,IT,28,0.3
CN,AU,27,0.3
FR,IN,26,0.3
FR,KE,25,0.3
DE,KE,22,0.3
CN,DE,19,0.2
BR,IN,19,0.2
BR,CN,19,0.2
DE,TZ,17,0.2
CN,TH,17,0.2
IN,AU,17,0.2
DE,TH,16,0.2
BR,TZ,15,0.2
FR,TZ,14,0.2
BR,TH,13,0.2
IN,DE,13,0.2
TZ,TH,9,0.1
IT,TZ,9,0.1
IT,KE,8,0.1
IT,TH,8,0.1
IN,KE,8,0.1
AU,KE,8,0.1
CN,KE,7,0.1
KE,TH,7,0.1
CN,TZ,6,0.1
BR,KE,6,0.1
