country_a,country_b,n_papers,pct_of_intl_papers
US,DE,71,5.4
US,CA,67,5.1
US,GB,49,3.7
US,AU,43,3.3
US,NL,39,3.0
CN,FR,39,3.0
US,CN,38,2.9
US,FR,37,2.8
US,BR,34,2.6
DE,NL,28,2.1
US,ES,27,2.0
DE,CA,25,1.9
DE,AU,25,1.9
US,IN,25,1.9
DE,FR,24,1.8
US,SE,24,1.8
DE,GB,24,1.8
BR,SE,21,1.6
DE,ES,21,1.6
CA,AU,20,1.5
GB,CN,19,1.4
GB,FR,19,1.4
ES,BR,17,1.3
GB,CA,16,1.2
GB,AU,15,1.1
GB,NL,15,1.1
GB,ES,15,1.1
AU,NL,15,1.1
DE,CN,15,1.1
GB,SE,14,1.1
DE,BR,14,1.1
ES,NL,14,1.1
CA,BR,11,0.8
ES,AU,11,0.8
CN,CA,11,0.8
CA,NL,10,0.8
CN,AU,10,0.8
CN,ES,9,0.7
FR,NL,9,0.7
DE,SE,9,0.7
AU,SE,9,0.7
DE,IN,8,0.6
FR,ES,8,0.6
ES,SE,8,0.6
FR,CA,8,0.6
CA,SE,8,0.6
BR,AU,8,0.6
BR,NL,8,0.6
GB,IN,7,0.5
CN,NL,6,0.5
FR,BR,6,0.5
AU,IN,6,0.5
ES,CA,5,0.4
CN,IN,4,0.3
FR,SE,4,0.3
GB,BR,4,0.3
NL,SE,4,0.3
FR,AU,3,0.2
NL,IN,2,0.2
CN,SE,2,0.2
ES,IN,2,0.2
CA,IN,2,0.2
SE,IN,2,0.2
FR,IN,1,0.1
