group,country_a,country_b,n_total,n_early_2010_2015,n_recent_2020_2025,pct_change,cell
Odonata,US,DE,71,8,57,612.5,71 (+612.5%)
Odonata,US,GB,49,7,36,414.3,49 (+414.3%)
Odonata,US,CN,38,3,29,866.7,38 (+866.7%)
Odonata,US,FR,37,3,31,933.3,37 (+933.3%)
Odonata,US,ES,27,3,21,600.0,27 (+600.0%)
Odonata,DE,GB,24,3,18,500.0,24 (+500.0%)
Odonata,DE,CN,15,1,14,1300.0,15 (+1300.0%)
Odonata,DE,FR,24,4,19,375.0,24 (+375.0%)
Odonata,DE,ES,21,1,17,1600.0,21 (+1600.0%)
Odonata,GB,CN,19,0,12,,19 (n/a)
Odonata,GB,FR,19,4,10,150.0,19 (+150.0%)
Odonata,GB,ES,15,3,11,266.7,15 (+266.7%)
Odonata,CN,FR,39,1,28,2700.0,39 (+2700.0%)
Odonata,CN,ES,9,0,9,,9 (n/a)
Odonata,FR,ES,8,0,7,,8 (n/a)
