country_a,country_b,n_papers,pct_of_intl_papers
CN,HU,20,7.5
US,CN,13,4.9
US,DE,8,3.0
US,ES,6,2.3
US,GB,6,2.3
ES,GB,6,2.3
US,NZ,6,2.3
CN,JP,5,1.9
US,CA,5,1.9
US,JP,5,1.9
DE,GB,5,1.9
HU,JP,4,1.5
DE,NZ,4,1.5
DE,BR,4,1.5
DE,CH,4,1.5
US,BR,4,1.5
CN,ES,4,1.5
FR,CH,3,1.1
DE,CA,3,1.1
GB,CH,3,1.1
US,FR,3,1.1
DE,JP,3,1.1
US,CH,3,1.1
CN,DE,3,1.1
CA,NZ,3,1.1
US,HU,3,1.1
DE,ES,3,1.1
GB,CA,3,1.1
CN,GB,3,1.1
GB,NZ,3,1.1
ES,FR,2,0.8
ES,JP,2,0.8
BR,NZ,2,0.8
ES,CA,2,0.8
NZ,JP,2,0.8
NZ,FR,2,0.8
CA,JP,1,0.4
CA,CH,1,0.4
BR,CH,1,0.4
BR,FR,1,0.4
BR,JP,1,0.4
NZ,CH,1,0.4
CA,FR,1,0.4
CN,BR,1,0.4
GB,FR,1,0.4
GB,JP,1,0.4
GB,BR,1,0.4
HU,FR,1,0.4
CN,CA,1,0.4
ES,NZ,1,0.4
ES,BR,1,0.4
ES,HU,1,0.4
DE,FR,1,0.4
DE,HU,1,0.4
CN,FR,1,0.4
CN,NZ,1,0.4
ES,CH,1,0.4
