country_a,country_b,n_papers,pct_of_intl_papers
US,DE,38,4.9
US,CA,34,4.4
DE,AT,33,4.3
US,CN,33,4.3
US,BR,29,3.7
DE,HR,22,2.8
US,AU,22,2.8
US,GB,22,2.8
AT,HR,21,2.7
ES,GB,18,2.3
US,ES,16,2.1
DE,GB,15,1.9
US,CZ,13,1.7
DE,ES,12,1.5
DE,CN,12,1.5
GB,AU,11,1.4
DE,SE,11,1.4
GB,CN,11,1.4
ES,HR,10,1.3
ES,AU,9,1.2
ES,BR,8,1.0
US,AT,8,1.0
GB,CA,8,1.0
BR,AU,7,0.9
DE,CA,7,0.9
BR,CZ,7,0.9
GB,SE,7,0.9
US,SE,6,0.8
DE,BR,6,0.8
HR,CZ,6,0.8
ES,CZ,6,0.8
DE,CZ,5,0.6
DE,AU,5,0.6
GB,AT,5,0.6
ES,AT,5,0.6
ES,CN,5,0.6
AT,CN,4,0.5
CN,AU,4,0.5
CN,CA,4,0.5
AT,CZ,4,0.5
GB,HR,3,0.4
BR,SE,3,0.4
ES,SE,3,0.4
GB,BR,3,0.4
BR,CA,2,0.3
CN,SE,2,0.3
AT,SE,2,0.3
GB,CZ,2,0.3
AT,AU,2,0.3
BR,CN,2,0.3
ES,CA,2,0.3
CZ,SE,2,0.3
BR,AT,1,0.1
AT,CA,1,0.1
CN,HR,1,0.1
CN,CZ,1,0.1
CA,AU,1,0.1
CA,CZ,1,0.1
CA,SE,1,0.1
HR,AU,1,0.1
US,HR,1,0.1
HR,SE,1,0.1
AU,CZ,1,0.1
AU,SE,1,0.1
