group,country_a,country_b,n_total,n_early_2010_2015,n_recent_2020_2025,pct_change,cell
Trichoptera,DE,US,40,7,27,285.7,40 (+285.7%)
Trichoptera,ES,US,15,4,6,50.0,15 (+50.0%)
Trichoptera,GB,US,21,8,9,12.5,21 (+12.5%)
Trichoptera,BR,US,36,5,20,300.0,36 (+300.0%)
Trichoptera,AT,US,10,1,6,500.0,10 (+500.0%)
Trichoptera,DE,ES,12,0,8,,12 (n/a)
Trichoptera,DE,GB,17,3,8,166.7,17 (+166.7%)
Trichoptera,BR,DE,6,1,4,300.0,6 (+300.0%)
Trichoptera,AT,DE,35,11,12,9.1,35 (+9.1%)
Trichoptera,ES,GB,19,5,9,80.0,19 (+80.0%)
Trichoptera,BR,ES,9,0,6,,9 (n/a)
Trichoptera,AT,ES,6,0,4,,6 (n/a)
Trichoptera,BR,GB,3,0,3,,3 (n/a)
Trichoptera,AT,GB,5,0,2,,5 (n/a)
Trichoptera,AT,BR,1,0,1,,1 (n/a)
