query_id,year,n_all_coded,n_taxon_focused
mosquitoes,2010,1727,692
mosquitoes,2011,1872,806
mosquitoes,2012,2051,938
mosquitoes,2013,2337,1003
mosquitoes,2014,2485,1054
mosquitoes,2015,2488,1035
mosquitoes,2016,3071,1095
mosquitoes,2017,3293,1263
mosquitoes,2018,3561,1409
mosquitoes,2019,3617,1507
mosquitoes,2020,3965,1735
mosquitoes,2021,4135,1809
mosquitoes,2022,4124,1949
mosquitoes,2023,4091,1978
mosquitoes,2024,4407,2170
mosquitoes,2025,4766,2221
ephemeroptera,2010,173,67
ephemeroptera,2011,170,69
ephemeroptera,2012,161,64
ephemeroptera,2013,204,73
ephemeroptera,2014,176,57
ephemeroptera,2015,197,81
ephemeroptera,2016,211,68
ephemeroptera,2017,225,67
ephemeroptera,2018,189,55
ephemeroptera,2019,221,94
ephemeroptera,2020,279,97
ephemeroptera,2021,330,131
ephemeroptera,2022,365,125
ephemeroptera,2023,399,154
ephemeroptera,2024,386,135
ephemeroptera,2025,376,149
plecoptera,2010,94,40
plecoptera,2011,102,43
plecoptera,2012,100,43
plecoptera,2013,119,43
plecoptera,2014,119,42
plecoptera,2015,130,49
plecoptera,2016,136,43
plecoptera,2017,136,56
plecoptera,2018,123,63
plecoptera,2019,174,98
plecoptera,2020,182,96
plecoptera,2021,194,99
plecoptera,2022,165,92
plecoptera,2023,149,77
plecoptera,2024,160,78
plecoptera,2025,189,95
trichoptera,2010,175,150
trichoptera,2011,174,150
trichoptera,2012,172,149
trichoptera,2013,200,157
trichoptera,2014,187,152
trichoptera,2015,194,167
trichoptera,2016,221,177
trichoptera,2017,208,167
trichoptera,2018,208,167
trichoptera,2019,196,161
trichoptera,2020,259,210
trichoptera,2021,276,232
trichoptera,2022,246,205
trichoptera,2023,250,211
trichoptera,2024,257,213
trichoptera,2025,233,202
odonata,2010,262,28
odonata,2011,247,45
odonata,2012,300,57
odonata,2013,336,82
odonata,2014,373,106
odonata,2015,391,95
odonata,2016,425,75
odonata,2017,490,172
odonata,2018,533,229
odonata,2019,651,247
odonata,2020,730,434
odonata,2021,877,519
odonata,2022,846,491
odonata,2023,842,467
odonata,2024,921,512
odonata,2025,979,520
