Year,Total_Papers,South America_Count,South America_Percent,Asia_Count,Asia_Percent,Europe_Count,Europe_Percent,North America_Count,North America_Percent,Other_Count,Other_Percent,Unknown_Count,Unknown_Percent
2010,67,7,10.44776119402985,5,7.462686567164178,13,19.402985074626866,29,43.28358208955223,10,14.925373134328357,3,4.477611940298507
2011,69,11,15.942028985507244,7,10.144927536231885,12,17.391304347826086,25,36.231884057971016,10,14.492753623188406,4,5.797101449275362
2012,64,9,14.0625,9,14.0625,14,21.875,22,34.375,5,7.8125,5,7.8125
2013,73,12,16.43835616438356,7,9.58904109589041,20,27.397260273972602,23,31.506849315068493,6,8.21917808219178,5,6.8493150684931505
2014,57,12,21.052631578947366,7,12.280701754385964,15,26.31578947368421,20,35.08771929824561,2,3.508771929824561,1,1.7543859649122806
2015,81,16,19.753086419753085,9,11.11111111111111,23,28.39506172839506,23,28.39506172839506,5,6.172839506172839,5,6.172839506172839
2016,68,10,14.705882352941178,8,11.76470588235294,17,25.0,19,27.941176470588236,4,5.88235294117647,10,14.705882352941178
2017,67,14,20.8955223880597,10,14.925373134328357,17,25.37313432835821,19,28.35820895522388,3,4.477611940298507,4,5.970149253731343
2018,55,13,23.636363636363637,6,10.909090909090908,15,27.27272727272727,10,18.181818181818183,7,12.727272727272727,4,7.2727272727272725
2019,94,19,20.212765957446805,17,18.085106382978726,21,22.340425531914892,15,15.957446808510639,15,15.957446808510639,7,7.446808510638298
2020,97,21,21.649484536082475,22,22.68041237113402,21,21.649484536082475,21,21.649484536082475,8,8.24742268041237,4,4.123711340206185
2021,131,18,13.740458015267176,17,12.977099236641221,43,32.82442748091603,20,15.267175572519085,13,9.923664122137405,20,15.267175572519085
2022,125,15,12.0,16,12.8,26,20.8,12,9.6,8,6.4,48,38.4
2023,154,23,14.935064935064934,15,9.740259740259742,32,20.77922077922078,14,9.090909090909092,7,4.545454545454546,63,40.909090909090914
2024,135,13,9.62962962962963,16,11.851851851851853,28,20.74074074074074,9,6.666666666666667,7,5.185185185185185,62,45.925925925925924
2025,149,7,4.697986577181208,21,14.093959731543624,37,24.832214765100673,16,10.738255033557047,13,8.724832214765101,55,36.91275167785235
