Year,Asia,Europe,North America,Other,South America,Unknown
2010,11.39240506329114,22.78481012658228,36.075949367088604,11.39240506329114,17.72151898734177,0.6329113924050633
2011,9.146341463414634,23.170731707317074,31.097560975609756,9.146341463414634,26.21951219512195,1.2195121951219512
2012,14.093959731543624,25.503355704697988,33.557046979865774,8.053691275167784,18.79194630872483,0.0
2013,12.921348314606742,28.651685393258425,24.719101123595504,8.98876404494382,23.595505617977526,1.1235955056179776
2014,17.901234567901234,23.456790123456788,30.246913580246915,4.320987654320987,22.839506172839506,1.2345679012345678
2015,16.201117318435752,26.81564245810056,26.256983240223462,8.938547486033519,20.670391061452513,1.1173184357541899
2016,17.647058823529413,27.27272727272727,24.06417112299465,11.76470588235294,19.25133689839572,0.0
2017,17.766497461928935,24.36548223350254,23.3502538071066,7.1065989847715745,26.903553299492383,0.5076142131979695
2018,17.791411042944784,29.447852760736197,19.631901840490798,8.588957055214724,24.539877300613497,0.0
2019,23.737373737373737,19.19191919191919,19.696969696969695,11.616161616161616,24.242424242424242,1.5151515151515151
2020,25.217391304347824,18.695652173913043,20.0,9.565217391304348,26.521739130434785,0.0
2021,28.125,30.078125,12.5,9.765625,18.359375,1.171875
2022,29.04761904761905,28.095238095238095,12.857142857142856,9.047619047619047,20.0,0.9523809523809524
2023,26.244343891402718,28.95927601809955,11.312217194570136,10.85972850678733,20.81447963800905,1.809954751131222
2024,27.981651376146786,27.06422018348624,14.220183486238533,9.63302752293578,19.724770642201836,1.3761467889908259
2025,28.947368421052634,32.89473684210527,11.842105263157894,10.526315789473683,14.473684210526317,1.3157894736842104
