Year,Total_Papers,Applied Ecology_Count,Applied Ecology_Percent,Biomonitoring/Water Quality_Count,Biomonitoring/Water Quality_Percent,Conservation_Count,Conservation_Percent,Ecology/Behavior_Count,Ecology/Behavior_Percent,Evolution/Phylogeny_Count,Evolution/Phylogeny_Percent,Other_Count,Other_Percent,Physiology_Count,Physiology_Percent,Taxonomy/Systematics_Count,Taxonomy/Systematics_Percent,Not Specified_Count,Not Specified_Percent
2010,158,3,1.89873417721519,52,32.91139240506329,0,0.0,61,38.607594936708864,7,4.430379746835443,0,0.0,3,1.89873417721519,32,20.253164556962027,0,0.0
2011,164,5,3.048780487804878,50,30.48780487804878,3,1.8292682926829267,56,34.146341463414636,3,1.8292682926829267,0,0.0,3,1.8292682926829267,44,26.82926829268293,0,0.0
2012,149,4,2.684563758389262,49,32.88590604026846,2,1.342281879194631,51,34.22818791946309,5,3.3557046979865772,1,0.6711409395973155,4,2.684563758389262,33,22.14765100671141,0,0.0
2013,178,5,2.8089887640449436,43,24.15730337078652,1,0.5617977528089888,78,43.82022471910113,7,3.932584269662921,1,0.5617977528089888,2,1.1235955056179776,41,23.03370786516854,0,0.0
2014,162,3,1.8518518518518516,46,28.39506172839506,1,0.6172839506172839,61,37.65432098765432,6,3.7037037037037033,0,0.0,10,6.172839506172839,35,21.604938271604937,0,0.0
2015,179,7,3.910614525139665,57,31.843575418994412,1,0.5586592178770949,63,35.19553072625698,1,0.5586592178770949,0,0.0,2,1.1173184357541899,48,26.81564245810056,0,0.0
2016,187,7,3.7433155080213902,56,29.946524064171122,2,1.06951871657754,65,34.75935828877005,8,4.27807486631016,0,0.0,4,2.13903743315508,45,24.06417112299465,0,0.0
2017,197,2,1.015228426395939,59,29.949238578680205,4,2.030456852791878,69,35.025380710659896,7,3.5532994923857872,1,0.5076142131979695,7,3.5532994923857872,48,24.36548223350254,0,0.0
2018,163,6,3.6809815950920246,58,35.58282208588957,2,1.2269938650306749,41,25.153374233128833,9,5.521472392638037,1,0.6134969325153374,5,3.067484662576687,41,25.153374233128833,0,0.0
2019,198,3,1.5151515151515151,58,29.292929292929294,1,0.5050505050505051,66,33.33333333333333,15,7.575757575757576,2,1.0101010101010102,3,1.5151515151515151,50,25.252525252525253,0,0.0
2020,230,10,4.3478260869565215,67,29.130434782608695,1,0.43478260869565216,63,27.391304347826086,11,4.782608695652174,1,0.43478260869565216,5,2.1739130434782608,72,31.30434782608696,0,0.0
2021,256,11,4.296875,78,30.46875,2,0.78125,70,27.34375,15,5.859375,1,0.390625,5,1.953125,74,28.90625,0,0.0
2022,210,3,1.4285714285714286,62,29.523809523809526,1,0.4761904761904762,61,29.04761904761905,11,5.238095238095238,0,0.0,6,2.857142857142857,66,31.428571428571427,0,0.0
2023,221,3,1.3574660633484164,70,31.674208144796378,4,1.809954751131222,52,23.52941176470588,8,3.619909502262444,0,0.0,6,2.7149321266968327,78,35.294117647058826,0,0.0
2024,218,4,1.834862385321101,84,38.53211009174312,5,2.293577981651376,54,24.770642201834864,7,3.211009174311927,3,1.3761467889908259,6,2.7522935779816518,55,25.229357798165136,0,0.0
2025,228,4,1.7543859649122806,75,32.89473684210527,3,1.3157894736842104,62,27.192982456140353,4,1.7543859649122806,2,0.8771929824561403,4,1.7543859649122806,74,32.45614035087719,0,0.0
