Year,Ecology/Behavior,Taxonomy/Systematics,Evolution/Phylogeny,Biomonitoring/Water Quality,Physiology,Applied Ecology,Conservation,Other
2010,61,32,7,52,3,3,0.0,0.0
2011,56,44,3,50,3,5,3.0,0.0
2012,51,33,5,49,4,4,2.0,1.0
2013,78,41,7,43,2,5,1.0,1.0
2014,61,35,6,46,10,3,1.0,0.0
2015,63,48,1,57,2,7,1.0,0.0
2016,65,45,8,56,4,7,2.0,0.0
2017,69,48,7,59,7,2,4.0,1.0
2018,41,41,9,58,5,6,2.0,1.0
2019,66,50,15,58,3,3,1.0,2.0
2020,63,72,11,67,5,10,1.0,1.0
2021,70,74,15,78,5,11,2.0,1.0
2022,61,66,11,62,6,3,1.0,0.0
2023,52,78,8,70,6,3,4.0,0.0
2024,54,55,7,84,6,4,5.0,3.0
2025,62,74,4,75,4,4,3.0,2.0
