Year,Applied Ecology,Biomonitoring/Water Quality,Conservation,Ecology/Behavior,Evolution/Phylogeny,Materials Science (Silk),Not Specified,Other,Physiology,Taxonomy/Systematics
2010,0.0,43.28358208955223,0.0,47.76119402985074,0.0,0.0,4.477611940298507,1.4925373134328357,0.0,2.9850746268656714
2011,0.0,39.130434782608695,1.4492753623188406,44.927536231884055,0.0,0.0,4.3478260869565215,0.0,0.0,10.144927536231885
2012,0.0,29.6875,3.125,46.875,0.0,0.0,9.375,0.0,1.5625,9.375
2013,1.36986301369863,23.28767123287671,0.0,57.534246575342465,0.0,0.0,8.21917808219178,1.36986301369863,0.0,8.21917808219178
2014,0.0,15.789473684210526,0.0,68.42105263157895,3.508771929824561,0.0,1.7543859649122806,0.0,3.508771929824561,7.017543859649122
2015,1.2345679012345678,22.22222222222222,1.2345679012345678,53.086419753086425,0.0,0.0,8.641975308641975,0.0,0.0,13.580246913580247
2016,0.0,25.0,0.0,51.470588235294116,0.0,0.0,14.705882352941178,0.0,0.0,8.823529411764707
2017,0.0,23.88059701492537,2.9850746268656714,50.74626865671642,0.0,0.0,5.970149253731343,4.477611940298507,0.0,11.940298507462686
2018,0.0,27.27272727272727,0.0,52.72727272727272,0.0,0.0,9.090909090909092,0.0,0.0,10.909090909090908
2019,0.0,29.78723404255319,2.127659574468085,47.87234042553192,1.0638297872340425,0.0,8.51063829787234,1.0638297872340425,0.0,9.574468085106384
2020,3.0927835051546393,31.958762886597935,1.0309278350515463,44.329896907216494,0.0,1.0309278350515463,5.154639175257731,1.0309278350515463,1.0309278350515463,11.34020618556701
2021,0.0,30.53435114503817,3.0534351145038165,38.93129770992366,0.0,0.0,17.557251908396946,0.0,0.7633587786259541,9.16030534351145
2022,0.0,19.2,0.0,33.6,0.0,0.0,41.6,0.8,0.0,4.8
2023,0.0,20.12987012987013,1.2987012987012987,26.623376623376622,0.6493506493506493,0.0,41.55844155844156,0.0,1.2987012987012987,8.441558441558442
2024,0.0,21.48148148148148,1.4814814814814816,22.962962962962962,0.7407407407407408,0.0,45.18518518518518,2.9629629629629632,1.4814814814814816,3.7037037037037033
2025,0.0,21.476510067114095,0.0,35.57046979865772,0.0,0.0,34.899328859060404,0.6711409395973155,0.0,7.38255033557047
