Year,Total_Papers,Mean_Authors,Median_Authors,Min_Authors,Max_Authors,Single author_Count,Single author_Percent,2 authors_Count,2 authors_Percent,3-5 authors_Count,3-5 authors_Percent,6-10 authors_Count,6-10 authors_Percent,10+ authors_Count,10+ authors_Percent
2010,156,3.1858974358974357,3.0,1,9,18,11.538461538461538,36,23.076923076923077,86,55.12820512820513,16,10.256410256410255,0,0.0
2011,164,3.5609756097560976,3.0,1,9,10,6.097560975609756,35,21.341463414634145,101,61.58536585365854,18,10.975609756097562,0,0.0
2012,148,3.7567567567567566,3.0,1,12,12,8.108108108108109,29,19.594594594594593,86,58.108108108108105,17,11.486486486486488,4,2.7027027027027026
2013,178,3.398876404494382,3.0,1,10,16,8.98876404494382,45,25.280898876404496,95,53.37078651685393,22,12.359550561797752,0,0.0
2014,161,3.6335403726708075,3.0,1,10,16,9.937888198757763,36,22.36024844720497,84,52.17391304347826,25,15.527950310559005,0,0.0
2015,178,3.865168539325843,4.0,1,10,11,6.179775280898876,39,21.910112359550563,94,52.80898876404494,34,19.101123595505616,0,0.0
2016,186,4.091397849462366,4.0,1,15,14,7.526881720430108,37,19.892473118279568,95,51.075268817204304,37,19.892473118279568,3,1.6129032258064515
2017,197,4.345177664974619,4.0,1,15,5,2.5380710659898478,37,18.781725888324875,114,57.868020304568525,32,16.243654822335024,9,4.568527918781726
2018,160,4.35625,4.0,1,16,5,3.125,23,14.374999999999998,94,58.75,36,22.5,2,1.25
2019,196,4.127551020408164,4.0,1,14,14,7.142857142857142,35,17.857142857142858,101,51.53061224489795,43,21.93877551020408,3,1.530612244897959
2020,230,4.434782608695652,4.0,1,26,12,5.217391304347826,27,11.73913043478261,138,60.0,45,19.565217391304348,8,3.4782608695652173
2021,255,4.509803921568627,4.0,1,18,13,5.098039215686274,39,15.294117647058824,137,53.72549019607843,59,23.137254901960784,7,2.7450980392156863
2022,209,4.311004784688995,4.0,1,22,13,6.220095693779904,33,15.789473684210526,117,55.980861244019145,40,19.138755980861244,6,2.8708133971291865
2023,220,4.859090909090909,4.0,1,93,15,6.8181818181818175,29,13.18181818181818,117,53.18181818181819,51,23.18181818181818,8,3.6363636363636362
2024,214,4.514018691588785,4.0,1,49,13,6.074766355140187,38,17.75700934579439,104,48.598130841121495,52,24.299065420560748,7,3.2710280373831773
2025,225,4.693333333333333,4.0,1,33,13,5.777777777777778,28,12.444444444444445,115,51.11111111111111,61,27.111111111111114,8,3.5555555555555554
