Year,mean,median,min,max,count
2010,3.1858974358974357,3.0,1,9,156
2011,3.5609756097560976,3.0,1,9,164
2012,3.7567567567567566,3.0,1,12,148
2013,3.398876404494382,3.0,1,10,178
2014,3.6335403726708075,3.0,1,10,161
2015,3.865168539325843,4.0,1,10,178
2016,4.091397849462366,4.0,1,15,186
2017,4.345177664974619,4.0,1,15,197
2018,4.35625,4.0,1,16,160
2019,4.127551020408164,4.0,1,14,196
2020,4.434782608695652,4.0,1,26,230
2021,4.509803921568627,4.0,1,18,255
2022,4.311004784688995,4.0,1,22,209
2023,4.859090909090909,4.0,1,93,220
2024,4.514018691588785,4.0,1,49,214
2025,4.693333333333333,4.0,1,33,225
