Year,International,National,Unknown
2010,0.0,25.37313432835821,74.6268656716418
2011,4.3478260869565215,23.18840579710145,72.46376811594203
2012,4.6875,28.125,67.1875
2013,0.0,20.54794520547945,79.45205479452055
2014,0.0,19.298245614035086,80.7017543859649
2015,1.2345679012345678,16.049382716049383,82.71604938271605
2016,1.4705882352941175,25.0,73.52941176470588
2017,2.9850746268656714,25.37313432835821,71.64179104477611
2018,0.0,18.181818181818183,81.81818181818183
2019,1.0752688172043012,20.43010752688172,78.49462365591397
2020,1.0309278350515463,23.711340206185564,75.25773195876289
2021,0.0,28.46153846153846,71.53846153846153
2022,1.6260162601626018,20.32520325203252,78.04878048780488
2023,1.3157894736842104,19.078947368421055,79.60526315789474
2024,2.2900763358778624,16.793893129770993,80.91603053435115
2025,2.0689655172413794,27.586206896551722,70.34482758620689
