Year,Total_Papers,South America_Count,South America_Percent,Asia_Count,Asia_Percent,Europe_Count,Europe_Percent,North America_Count,North America_Percent,Other_Count,Other_Percent,Unknown_Count,Unknown_Percent
2010,1180,170,14.40677966101695,243,20.593220338983052,153,12.966101694915256,315,26.69491525423729,249,21.10169491525424,50,4.23728813559322
2011,1295,190,14.671814671814673,270,20.84942084942085,190,14.671814671814673,299,23.08880308880309,269,20.772200772200772,77,5.9459459459459465
2012,1472,193,13.111413043478262,332,22.554347826086957,221,15.013586956521738,331,22.48641304347826,322,21.875,73,4.959239130434782
2013,1647,225,13.661202185792352,357,21.67577413479053,248,15.057680631451124,360,21.85792349726776,380,23.0722525804493,77,4.675166970248937
2014,1705,237,13.900293255131965,356,20.879765395894427,270,15.835777126099707,345,20.234604105571847,407,23.870967741935484,90,5.278592375366569
2015,1667,255,15.296940611877623,399,23.93521295740852,283,16.976604679064184,321,19.25614877024595,328,19.67606478704259,81,4.8590281943611275
2016,1858,289,15.554359526372444,458,24.65016146393972,304,16.361679224973088,291,15.66200215285253,423,22.766415500538212,93,5.005382131324004
2017,2025,356,17.580246913580247,521,25.728395061728392,290,14.320987654320987,356,17.580246913580247,402,19.85185185185185,100,4.938271604938271
2018,2259,377,16.688800354138998,575,25.453740593182822,351,15.53784860557769,405,17.928286852589643,446,19.743249225320938,105,4.648074369189907
2019,2383,404,16.953420058749476,692,29.039026437263953,364,15.27486361728913,367,15.400755350398656,462,19.387326898866974,94,3.9446076374318086
2020,2660,476,17.894736842105264,741,27.857142857142858,391,14.699248120300751,417,15.676691729323307,533,20.037593984962406,102,3.8345864661654137
2021,2808,471,16.773504273504273,782,27.849002849002847,418,14.886039886039887,436,15.527065527065528,589,20.975783475783476,112,3.9886039886039883
2022,2832,404,14.26553672316384,876,30.93220338983051,408,14.40677966101695,389,13.73587570621469,606,21.398305084745765,149,5.261299435028248
2023,2764,408,14.76121562952243,886,32.05499276410998,388,14.037626628075254,389,14.073806078147614,557,20.15195369030391,136,4.92040520984081
2024,2950,395,13.389830508474576,967,32.77966101694915,405,13.728813559322035,376,12.745762711864405,654,22.16949152542373,153,5.186440677966102
2025,3212,433,13.480697384806975,1075,33.46824408468244,482,15.006226650062265,359,11.176836861768368,683,21.2640099626401,180,5.603985056039851
