Year,Asia,Europe,North America,Other,South America,Unknown
2010,20.593220338983052,12.966101694915256,26.69491525423729,21.10169491525424,14.40677966101695,4.23728813559322
2011,20.84942084942085,14.671814671814673,23.08880308880309,20.772200772200772,14.671814671814673,5.9459459459459465
2012,22.554347826086957,15.013586956521738,22.48641304347826,21.875,13.111413043478262,4.959239130434782
2013,21.67577413479053,15.057680631451124,21.85792349726776,23.0722525804493,13.661202185792352,4.675166970248937
2014,20.879765395894427,15.835777126099707,20.234604105571847,23.870967741935484,13.900293255131965,5.278592375366569
2015,23.93521295740852,16.976604679064184,19.25614877024595,19.67606478704259,15.296940611877623,4.8590281943611275
2016,24.65016146393972,16.361679224973088,15.66200215285253,22.766415500538212,15.554359526372444,5.005382131324004
2017,25.728395061728392,14.320987654320987,17.580246913580247,19.85185185185185,17.580246913580247,4.938271604938271
2018,25.453740593182822,15.53784860557769,17.928286852589643,19.743249225320938,16.688800354138998,4.648074369189907
2019,29.039026437263953,15.27486361728913,15.400755350398656,19.387326898866974,16.953420058749476,3.9446076374318086
2020,27.857142857142858,14.699248120300751,15.676691729323307,20.037593984962406,17.894736842105264,3.8345864661654137
2021,27.849002849002847,14.886039886039887,15.527065527065528,20.975783475783476,16.773504273504273,3.9886039886039883
2022,30.93220338983051,14.40677966101695,13.73587570621469,21.398305084745765,14.26553672316384,5.261299435028248
2023,32.05499276410998,14.037626628075254,14.073806078147614,20.15195369030391,14.76121562952243,4.92040520984081
2024,32.77966101694915,13.728813559322035,12.745762711864405,22.16949152542373,13.389830508474576,5.186440677966102
2025,33.46824408468244,15.006226650062265,11.176836861768368,21.2640099626401,13.480697384806975,5.603985056039851
