Year,Total_Papers,Applied Ecology_Count,Applied Ecology_Percent,Biomonitoring/Water Quality_Count,Biomonitoring/Water Quality_Percent,Conservation_Count,Conservation_Percent,Ecology/Behavior_Count,Ecology/Behavior_Percent,Evolution/Phylogeny_Count,Evolution/Phylogeny_Percent,Materials Science (Silk)_Count,Materials Science (Silk)_Percent,Other_Count,Other_Percent,Physiology_Count,Physiology_Percent,Taxonomy/Systematics_Count,Taxonomy/Systematics_Percent,Not Specified_Count,Not Specified_Percent
2010,692,134,19.36416184971098,4,0.5780346820809248,0,0.0,318,45.95375722543353,14,2.023121387283237,0,0.0,3,0.4335260115606936,105,15.173410404624278,47,6.791907514450866,67,9.68208092485549
2011,806,191,23.69727047146402,14,1.7369727047146404,2,0.24813895781637718,319,39.57816377171216,23,2.8535980148883375,0,0.0,5,0.620347394540943,124,15.384615384615385,49,6.079404466501241,79,9.801488833746898
2012,938,228,24.307036247334754,9,0.9594882729211088,1,0.10660980810234541,396,42.217484008528785,21,2.2388059701492535,0,0.0,6,0.6396588486140725,131,13.965884861407249,58,6.183368869936034,88,9.381663113006397
2013,1003,233,23.230309072781655,11,1.0967098703888334,0,0.0,417,41.5752741774676,23,2.293120638085743,0,0.0,9,0.897308075772682,168,16.749750747756732,50,4.985044865403789,92,9.172482552342972
2014,1054,257,24.383301707779886,11,1.0436432637571158,0,0.0,407,38.614800759013285,30,2.846299810246679,0,0.0,7,0.6641366223908919,167,15.844402277039848,45,4.269449715370019,130,12.333965844402277
2015,1035,256,24.734299516908212,10,0.966183574879227,0,0.0,411,39.710144927536234,40,3.864734299516908,0,0.0,2,0.1932367149758454,157,15.169082125603865,55,5.314009661835748,104,10.048309178743962
2016,1095,271,24.748858447488583,12,1.095890410958904,0,0.0,409,37.35159817351598,27,2.4657534246575343,0,0.0,11,1.004566210045662,156,14.246575342465754,72,6.575342465753424,137,12.511415525114156
2017,1263,298,23.594615993665872,15,1.187648456057007,0,0.0,481,38.08392715756136,29,2.2961203483768804,0,0.0,9,0.7125890736342043,178,14.09342834520982,62,4.908946951702296,191,15.122723673792557
2018,1409,360,25.5500354861604,19,1.34847409510291,0,0.0,533,37.828246983676365,34,2.41305890702626,0,0.0,13,0.9226401703335699,187,13.27182398864443,75,5.322924059616749,188,13.34279630943932
2019,1507,383,25.41473125414731,24,1.5925680159256803,0,0.0,602,39.946914399469144,38,2.52156602521566,0,0.0,15,0.9953550099535502,216,14.333112143331123,87,5.77305905773059,142,9.42269409422694
2020,1735,484,27.896253602305478,28,1.6138328530259365,1,0.05763688760806917,689,39.711815561959654,46,2.6512968299711814,0,0.0,18,1.037463976945245,227,13.0835734870317,92,5.302593659942363,150,8.645533141210375
2021,1809,494,27.307904919845218,35,1.9347705914870093,1,0.055279159756771695,665,36.76064123825318,42,2.321724709784411,0,0.0,15,0.8291873963515755,254,14.04090657822001,115,6.357103372028745,188,10.39248203427308
2022,1949,552,28.32221652129297,36,1.8471010774756287,1,0.0513083632632119,692,35.505387378142636,38,1.9497178040020522,1,0.0513083632632119,20,1.026167265264238,251,12.878399179066188,90,4.617752693689072,268,13.750641354540791
2023,1978,548,27.704752275025278,32,1.6177957532861478,0,0.0,676,34.17593528816987,48,2.4266936299292214,1,0.05055611729019212,14,0.7077856420626896,237,11.98179979777553,106,5.358948432760364,316,15.975733063700709
2024,2170,583,26.866359447004605,30,1.3824884792626728,0,0.0,788,36.31336405529954,46,2.1198156682027647,0,0.0,17,0.783410138248848,264,12.165898617511521,103,4.746543778801843,339,15.622119815668203
2025,2221,597,26.87978388113462,43,1.9360648356596128,1,0.04502476361999099,798,35.929761368752814,63,2.836560108059433,0,0.0,12,0.5402971634398919,281,12.65195857721747,95,4.277352543899145,331,14.90319675821702
