Year,Applied Ecology,Ecology/Behavior,Taxonomy/Systematics,Physiology,Biomonitoring/Water Quality,Evolution/Phylogeny,Other,Conservation,Ethics,Virology
2010,609,254,54,188,20,42,11,2.0,0.0,0.0
2011,710,239,47,215,14,54,15,1.0,0.0,0.0
2012,787,342,66,193,16,54,13,1.0,0.0,0.0
2013,916,312,76,239,19,63,22,0.0,0.0,0.0
2014,981,319,57,230,17,73,26,1.0,1.0,0.0
2015,962,303,69,213,25,74,19,2.0,0.0,0.0
2016,1148,321,64,196,24,71,33,0.0,0.0,1.0
2017,1236,354,65,240,26,76,27,1.0,0.0,0.0
2018,1408,410,85,228,32,60,36,0.0,0.0,0.0
2019,1495,407,80,244,39,77,38,3.0,0.0,0.0
2020,1698,482,97,239,35,73,35,1.0,0.0,0.0
2021,1762,473,98,299,48,78,48,2.0,0.0,0.0
2022,1844,446,103,280,40,69,47,3.0,0.0,0.0
2023,1790,477,94,250,38,72,43,0.0,0.0,0.0
2024,1926,532,86,260,47,56,42,1.0,0.0,0.0
2025,2149,501,77,275,77,85,45,3.0,0.0,0.0
