Year,Total_Papers,Mean_Authors,Median_Authors,Min_Authors,Max_Authors,Single author_Count,Single author_Percent,2 authors_Count,2 authors_Percent,3-5 authors_Count,3-5 authors_Percent,6-10 authors_Count,6-10 authors_Percent,10+ authors_Count,10+ authors_Percent
2010,1178,5.570458404074703,5.0,1,76,46,3.904923599320883,140,11.884550084889643,504,42.78438030560272,399,33.87096774193548,89,7.555178268251274
2011,1291,5.36560805577072,5.0,1,27,73,5.65453137103021,159,12.316034082106894,543,42.060418280402786,422,32.68783888458559,94,7.2811773818745165
2012,1466,5.6139154160982265,5.0,1,39,79,5.38881309686221,161,10.982264665757162,585,39.90450204638472,521,35.53888130968622,120,8.185538881309688
2013,1627,5.910878918254456,5.0,1,69,63,3.872157344806392,162,9.956976029502151,664,40.811309157959435,581,35.709895513214505,157,9.649661954517518
2014,1692,6.009456264775413,5.0,1,180,67,3.959810874704492,178,10.520094562647754,678,40.0709219858156,605,35.7565011820331,164,9.692671394799055
2015,1651,6.413082980012114,5.0,1,252,67,4.058146577831617,164,9.933373712901272,628,38.037552998182925,600,36.34161114476075,192,11.629315566323442
2016,1852,6.262419006479481,5.0,1,49,82,4.427645788336933,169,9.125269978401727,692,37.365010799136066,682,36.82505399568035,227,12.257019438444924
2017,2022,6.4812067260138475,6.0,1,69,83,4.1048466864490605,186,9.198813056379821,708,35.01483679525222,770,38.0811078140455,275,13.600395647873393
2018,2248,6.47508896797153,6.0,1,81,95,4.225978647686833,184,8.185053380782918,844,37.544483985765126,837,37.23309608540925,288,12.811387900355871
2019,2357,6.792532880780653,6.0,1,324,93,3.945693678404752,192,8.145948239287229,842,35.72337717437421,896,38.01442511667374,334,14.170555791260075
2020,2630,6.785931558935361,6.0,1,197,86,3.269961977186312,215,8.17490494296578,959,36.463878326996195,996,37.870722433460074,374,14.220532319391635
2021,2773,7.170573386224306,6.0,1,574,113,4.075009015506671,204,7.356653443923548,953,34.36711143166246,1019,36.747205192931844,484,17.454020915975477
2022,2788,7.455523672883787,6.0,1,575,104,3.7302725968436152,218,7.819225251076039,950,34.074605451936876,1008,36.15494978479197,508,18.220946915351508
2023,2727,7.221122112211221,6.0,1,186,87,3.1903190319031904,203,7.444077741107444,923,33.846718005133845,1025,37.58709204253759,489,17.931793179317932
2024,2880,7.1878472222222225,6.0,1,100,109,3.784722222222222,213,7.395833333333333,972,33.75,1071,37.1875,515,17.881944444444446
2025,3128,7.672634271099744,6.0,1,217,102,3.260869565217391,210,6.713554987212277,995,31.80946291560102,1197,38.267263427109974,624,19.948849104859335
