Year,mean,median,min,max,count
2010,5.570458404074703,5.0,1,76,1178
2011,5.36560805577072,5.0,1,27,1291
2012,5.6139154160982265,5.0,1,39,1466
2013,5.910878918254456,5.0,1,69,1627
2014,6.009456264775413,5.0,1,180,1692
2015,6.413082980012114,5.0,1,252,1651
2016,6.262419006479481,5.0,1,49,1852
2017,6.4812067260138475,6.0,1,69,2022
2018,6.47508896797153,6.0,1,81,2248
2019,6.792532880780653,6.0,1,324,2357
2020,6.785931558935361,6.0,1,197,2630
2021,7.170573386224306,6.0,1,574,2773
2022,7.455523672883787,6.0,1,575,2788
2023,7.221122112211221,6.0,1,186,2727
2024,7.1878472222222225,6.0,1,100,2880
2025,7.672634271099744,6.0,1,217,3128
