Year,International,National,Unknown
2010,1.308139534883721,15.843023255813954,82.84883720930233
2011,1.4962593516209477,15.211970074812967,83.29177057356608
2012,2.2556390977443606,16.970998925886143,80.7733619763695
2013,3.1568228105906315,15.478615071283095,81.36456211812627
2014,2.980769230769231,17.78846153846154,79.23076923076923
2015,2.742409402546523,16.35651322233105,80.90107737512243
2016,2.5,17.314814814814813,80.18518518518518
2017,3.0497592295345104,15.890850722311397,81.05939004815409
2018,2.293906810035842,18.42293906810036,79.2831541218638
2019,2.7834351663272234,15.81805838424983,81.39850644942295
2020,3.055229142185664,17.391304347826086,79.55346650998824
2021,2.8232636928289105,17.730095990965555,79.44664031620553
2022,2.9613960867266,16.499206768905342,80.53939714436807
2023,2.383419689119171,16.010362694300518,81.60621761658031
2024,2.5689819219790673,18.315889628924833,79.11512844909609
2025,2.510460251046025,17.712691771269178,79.7768479776848
