Year,Total_Papers,South America_Count,South America_Percent,Asia_Count,Asia_Percent,Europe_Count,Europe_Percent,North America_Count,North America_Percent,Other_Count,Other_Percent,Unknown_Count,Unknown_Percent
2010,28,6,21.428571428571427,0,0.0,10,35.714285714285715,4,14.285714285714285,4,14.285714285714285,4,14.285714285714285
2011,45,8,17.77777777777778,7,15.555555555555555,8,17.77777777777778,12,26.666666666666668,5,11.11111111111111,5,11.11111111111111
2012,57,6,10.526315789473683,11,19.298245614035086,12,21.052631578947366,9,15.789473684210526,7,12.280701754385964,12,21.052631578947366
2013,82,11,13.414634146341465,12,14.634146341463413,18,21.951219512195124,14,17.073170731707318,5,6.097560975609756,22,26.82926829268293
2014,106,16,15.09433962264151,16,15.09433962264151,35,33.0188679245283,11,10.377358490566039,4,3.7735849056603774,24,22.641509433962266
2015,95,13,13.684210526315791,12,12.631578947368421,24,25.263157894736842,15,15.789473684210526,7,7.368421052631578,24,25.263157894736842
2016,75,8,10.666666666666668,17,22.666666666666664,14,18.666666666666668,5,6.666666666666667,2,2.666666666666667,29,38.666666666666664
2017,172,31,18.023255813953487,25,14.534883720930234,40,23.25581395348837,21,12.209302325581394,10,5.813953488372093,45,26.16279069767442
2018,229,34,14.847161572052403,47,20.52401746724891,48,20.96069868995633,34,14.847161572052403,18,7.860262008733625,48,20.96069868995633
2019,247,41,16.599190283400812,58,23.481781376518217,44,17.813765182186234,21,8.502024291497975,13,5.263157894736842,70,28.34008097165992
2020,434,66,15.207373271889402,105,24.193548387096776,76,17.51152073732719,40,9.216589861751153,19,4.377880184331797,128,29.493087557603687
2021,519,77,14.836223506743737,118,22.736030828516377,101,19.460500963391137,38,7.321772639691715,20,3.8535645472061653,165,31.79190751445087
2022,491,79,16.08961303462322,94,19.144602851323828,94,19.144602851323828,28,5.7026476578411405,17,3.462321792260693,179,36.456211812627295
2023,467,48,10.278372591006423,88,18.843683083511777,96,20.556745182012847,27,5.781584582441114,20,4.282655246252676,188,40.25695931477516
2024,512,65,12.6953125,92,17.96875,102,19.921875,37,7.2265625,21,4.1015625,195,38.0859375
2025,520,56,10.76923076923077,89,17.115384615384617,95,18.269230769230766,25,4.807692307692308,22,4.230769230769231,233,44.80769230769231
