Region_Global,Applied Ecology,Biomonitoring/Water Quality,Conservation,Ecology/Behavior,Evolution/Phylogeny,Other,Physiology,Taxonomy/Systematics
Afrotropical,11.538461538461538,31.318681318681318,12.087912087912088,23.626373626373624,2.197802197802198,1.098901098901099,2.7472527472527473,15.384615384615385
Australasian,2.2346368715083798,2.2346368715083798,6.70391061452514,29.608938547486037,5.027932960893855,5.58659217877095,18.994413407821227,29.608938547486037
East Palearctic,5.670103092783505,6.701030927835052,3.608247422680412,29.12371134020619,11.597938144329897,5.154639175257731,20.103092783505154,18.04123711340206
Global,4.0,28.000000000000004,12.0,16.0,24.0,12.0,0.0,4.0
Nearctic,4.261363636363636,10.9375,4.403409090909091,56.39204545454546,6.534090909090909,1.9886363636363635,7.1022727272727275,8.380681818181818
Neotropical,1.7084282460136675,11.731207289293849,3.0751708428246016,35.64920273348519,2.9612756264236904,0.45558086560364464,2.9612756264236904,41.45785876993166
North America,0.0,0.0,0.0,25.0,25.0,50.0,0.0,0.0
Not Specified,3.910614525139665,3.35195530726257,2.793296089385475,36.312849162011176,10.05586592178771,3.35195530726257,23.463687150837988,16.75977653631285
Oriental,3.8505096262740657,8.720271800679502,2.378255945639864,20.045300113250285,5.096262740656852,2.6047565118912797,7.9275198187995475,49.37712344280861
Palearctic,3.571428571428571,11.332417582417582,7.074175824175824,47.73351648351649,5.975274725274725,1.4423076923076923,8.173076923076923,14.697802197802199
