Year,Total_Papers,Applied Ecology_Count,Applied Ecology_Percent,Biomonitoring/Water Quality_Count,Biomonitoring/Water Quality_Percent,Conservation_Count,Conservation_Percent,Ecology/Behavior_Count,Ecology/Behavior_Percent,Evolution/Phylogeny_Count,Evolution/Phylogeny_Percent,Other_Count,Other_Percent,Physiology_Count,Physiology_Percent,Taxonomy/Systematics_Count,Taxonomy/Systematics_Percent,Not Specified_Count,Not Specified_Percent
2010,196,4,2.0408163265306123,18,9.183673469387756,8,4.081632653061225,91,46.42857142857143,5,2.5510204081632653,2,1.0204081632653061,16,8.16326530612245,52,26.53061224489796,0,0.0
2011,196,2,1.0204081632653061,14,7.142857142857142,4,2.0408163265306123,92,46.93877551020408,9,4.591836734693878,4,2.0408163265306123,17,8.673469387755102,54,27.55102040816326,0,0.0
2012,232,7,3.0172413793103448,26,11.206896551724139,9,3.8793103448275863,86,37.06896551724138,15,6.4655172413793105,9,3.8793103448275863,23,9.913793103448276,57,24.568965517241377,0,0.0
2013,251,6,2.3904382470119523,19,7.569721115537849,9,3.5856573705179287,109,43.42629482071713,17,6.772908366533864,5,1.9920318725099602,28,11.155378486055776,58,23.107569721115535,0,0.0
2014,267,11,4.119850187265917,23,8.614232209737828,12,4.49438202247191,120,44.9438202247191,24,8.98876404494382,6,2.247191011235955,21,7.865168539325842,50,18.726591760299627,0,0.0
2015,262,18,6.870229007633588,22,8.396946564885496,13,4.961832061068702,125,47.70992366412214,10,3.816793893129771,6,2.2900763358778624,18,6.870229007633588,50,19.083969465648856,0,0.0
2016,295,13,4.406779661016949,22,7.457627118644068,16,5.423728813559322,112,37.96610169491525,19,6.440677966101695,5,1.694915254237288,33,11.186440677966102,75,25.423728813559322,0,0.0
2017,323,10,3.0959752321981426,30,9.287925696594428,14,4.3343653250774,110,34.05572755417957,24,7.430340557275541,1,0.30959752321981426,33,10.21671826625387,101,31.269349845201237,0,0.0
2018,315,12,3.8095238095238098,28,8.88888888888889,15,4.761904761904762,113,35.87301587301587,20,6.349206349206349,6,1.9047619047619049,31,9.841269841269842,90,28.57142857142857,0,0.0
2019,355,13,3.6619718309859155,37,10.422535211267606,17,4.788732394366197,131,36.901408450704224,17,4.788732394366197,4,1.1267605633802817,35,9.859154929577464,101,28.450704225352112,0,0.0
2020,362,20,5.524861878453039,44,12.154696132596685,14,3.867403314917127,120,33.14917127071823,15,4.143646408839778,10,2.7624309392265194,33,9.116022099447514,106,29.2817679558011,0,0.0
2021,407,10,2.457002457002457,51,12.530712530712531,20,4.914004914004914,156,38.32923832923833,30,7.371007371007371,15,3.6855036855036856,30,7.371007371007371,95,23.34152334152334,0,0.0
2022,371,19,5.121293800539084,51,13.746630727762804,18,4.8517520215633425,133,35.84905660377358,19,5.121293800539084,5,1.3477088948787064,26,7.008086253369273,100,26.954177897574123,0,0.0
2023,323,15,4.643962848297214,38,11.76470588235294,23,7.120743034055728,111,34.36532507739938,25,7.739938080495357,6,1.8575851393188854,16,4.953560371517028,89,27.55417956656347,0,0.0
2024,377,16,4.244031830238726,44,11.671087533156498,23,6.10079575596817,137,36.339522546419104,23,6.10079575596817,6,1.5915119363395225,32,8.488063660477453,96,25.46419098143236,0,0.0
2025,346,10,2.8901734104046244,55,15.895953757225435,23,6.6473988439306355,115,33.23699421965318,15,4.335260115606936,15,4.335260115606936,32,9.248554913294797,81,23.410404624277454,0,0.0
