Year,Conservation,Evolution/Phylogeny,Ecology/Behavior,Biomonitoring/Water Quality,Taxonomy/Systematics,Physiology,Applied Ecology,Other
2010,8,5,91,18,52,16,4,2
2011,4,9,92,14,54,17,2,4
2012,9,15,86,26,57,23,7,9
2013,9,17,109,19,58,28,6,5
2014,12,24,120,23,50,21,11,6
2015,13,10,125,22,50,18,18,6
2016,16,19,112,22,75,33,13,5
2017,14,24,110,30,101,33,10,1
2018,15,20,113,28,90,31,12,6
2019,17,17,131,37,101,35,13,4
2020,14,15,120,44,106,33,20,10
2021,20,30,156,51,95,30,10,15
2022,18,19,133,51,100,26,19,5
2023,23,25,111,38,89,16,15,6
2024,23,23,137,44,96,32,16,6
2025,23,15,115,55,81,32,10,15
