Year,Total_Papers,Mean_Authors,Median_Authors,Min_Authors,Max_Authors,Single author_Count,Single author_Percent,2 authors_Count,2 authors_Percent,3-5 authors_Count,3-5 authors_Percent,6-10 authors_Count,6-10 authors_Percent,10+ authors_Count,10+ authors_Percent
2010,28,2.7857142857142856,2.5,1,7,4,14.285714285714285,10,35.714285714285715,12,42.857142857142854,2,7.142857142857142,0,0.0
2011,45,4.355555555555555,3.0,1,23,2,4.444444444444445,12,26.666666666666668,21,46.666666666666664,8,17.77777777777778,2,4.444444444444445
2012,57,3.5964912280701755,3.0,1,26,6,10.526315789473683,16,28.07017543859649,30,52.63157894736842,4,7.017543859649122,1,1.7543859649122806
2013,81,4.037037037037037,3.0,1,17,10,12.345679012345679,23,28.39506172839506,31,38.2716049382716,12,14.814814814814813,5,6.172839506172839
2014,105,4.371428571428571,3.0,1,20,8,7.6190476190476195,23,21.904761904761905,46,43.80952380952381,25,23.809523809523807,3,2.857142857142857
2015,95,4.515789473684211,3.0,1,15,5,5.263157894736842,22,23.157894736842106,43,45.26315789473684,18,18.947368421052634,7,7.368421052631578
2016,74,4.756756756756757,4.0,1,13,5,6.756756756756757,16,21.62162162162162,32,43.24324324324324,15,20.27027027027027,6,8.108108108108109
2017,166,4.698795180722891,4.0,1,19,14,8.433734939759036,27,16.265060240963855,81,48.795180722891565,30,18.072289156626507,14,8.433734939759036
2018,214,4.47196261682243,4.0,1,33,17,7.943925233644859,42,19.626168224299064,107,50.0,37,17.289719626168225,11,5.14018691588785
2019,244,4.229508196721311,3.0,1,20,22,9.01639344262295,52,21.311475409836063,113,46.31147540983606,44,18.0327868852459,13,5.327868852459016
2020,423,4.6879432624113475,4.0,1,54,35,8.274231678486997,82,19.38534278959811,208,49.1725768321513,67,15.839243498817968,31,7.328605200945626
2021,492,5.128048780487805,4.0,1,82,30,6.097560975609756,84,17.073170731707318,233,47.357723577235774,112,22.76422764227642,33,6.707317073170732
2022,461,5.03470715835141,4.0,1,64,31,6.724511930585683,72,15.61822125813449,223,48.37310195227766,94,20.390455531453362,41,8.893709327548807
2023,451,5.090909090909091,4.0,1,39,29,6.430155210643015,88,19.51219512195122,196,43.45898004434589,103,22.838137472283815,35,7.760532150776053
2024,508,5.458661417322834,4.0,1,60,26,5.118110236220472,96,18.89763779527559,228,44.881889763779526,113,22.244094488188974,45,8.858267716535433
2025,514,5.910505836575876,5.0,1,43,31,6.031128404669261,55,10.700389105058365,218,42.4124513618677,148,28.793774319066145,62,12.062256809338521
