Year,mean,median,min,max,count
2010,2.8461538461538463,3.0,1,8,195
2011,3.239795918367347,3.0,1,16,196
2012,3.0782608695652174,3.0,1,11,230
2013,3.462151394422311,3.0,1,19,251
2014,3.6188679245283017,3.0,1,15,265
2015,3.549618320610687,3.0,1,13,262
2016,3.65,3.0,1,16,280
2017,3.7302631578947367,3.0,1,15,304
2018,3.9161073825503356,3.0,1,33,298
2019,3.7082152974504248,3.0,1,18,353
2020,4.034090909090909,3.0,1,54,352
2021,4.295336787564767,4.0,1,21,386
2022,4.232044198895028,3.0,1,16,362
2023,4.795527156549521,4.0,1,93,313
2024,4.648,4.0,1,60,375
2025,5.327536231884058,4.0,1,88,345
