Year,International,National,Unknown
2010,3.571428571428571,17.857142857142858,78.57142857142857
2011,2.2222222222222223,11.11111111111111,86.66666666666667
2012,0.0,26.31578947368421,73.68421052631578
2013,2.4691358024691357,17.28395061728395,80.24691358024691
2014,3.8095238095238098,19.047619047619047,77.14285714285715
2015,0.0,20.0,80.0
2016,4.054054054054054,6.756756756756757,89.1891891891892
2017,3.0120481927710845,13.855421686746988,83.13253012048193
2018,3.2710280373831773,20.5607476635514,76.16822429906543
2019,1.639344262295082,18.442622950819672,79.91803278688525
2020,3.7825059101654848,16.78486997635934,79.43262411347519
2021,4.0650406504065035,18.69918699186992,77.23577235772358
2022,1.3015184381778742,18.43817787418655,80.26030368763557
2023,4.656319290465632,19.733924611973393,75.60975609756098
2024,2.3622047244094486,18.11023622047244,79.52755905511812
2025,3.11284046692607,20.038910505836576,76.84824902723736
