Year,Total_Papers,South America_Count,South America_Percent,Asia_Count,Asia_Percent,Europe_Count,Europe_Percent,North America_Count,North America_Percent,Other_Count,Other_Percent,Unknown_Count,Unknown_Percent
2010,40,4,10.0,1,2.5,10,25.0,19,47.5,4,10.0,2,5.0
2011,43,9,20.930232558139537,3,6.976744186046512,5,11.627906976744185,20,46.51162790697674,5,11.627906976744185,1,2.3255813953488373
2012,43,3,6.976744186046512,9,20.930232558139537,12,27.906976744186046,12,27.906976744186046,4,9.30232558139535,3,6.976744186046512
2013,43,4,9.30232558139535,3,6.976744186046512,16,37.2093023255814,13,30.23255813953488,6,13.953488372093023,1,2.3255813953488373
2014,42,8,19.047619047619047,2,4.761904761904762,17,40.476190476190474,13,30.952380952380953,1,2.380952380952381,1,2.380952380952381
2015,49,6,12.244897959183673,9,18.367346938775512,10,20.408163265306122,15,30.612244897959183,5,10.204081632653061,4,8.16326530612245
2016,43,7,16.27906976744186,3,6.976744186046512,13,30.23255813953488,13,30.23255813953488,5,11.627906976744185,2,4.651162790697675
2017,56,12,21.428571428571427,14,25.0,14,25.0,12,21.428571428571427,2,3.571428571428571,2,3.571428571428571
2018,63,10,15.873015873015872,9,14.285714285714285,18,28.57142857142857,13,20.634920634920633,7,11.11111111111111,6,9.523809523809524
2019,98,19,19.387755102040817,41,41.83673469387755,14,14.285714285714285,13,13.26530612244898,7,7.142857142857142,4,4.081632653061225
2020,96,12,12.5,51,53.125,17,17.708333333333336,9,9.375,5,5.208333333333334,2,2.083333333333333
2021,99,8,8.080808080808081,23,23.232323232323232,41,41.41414141414141,13,13.131313131313133,13,13.131313131313133,1,1.0101010101010102
2022,92,7,7.608695652173914,42,45.65217391304348,21,22.82608695652174,12,13.043478260869565,8,8.695652173913043,2,2.1739130434782608
2023,77,16,20.77922077922078,16,20.77922077922078,25,32.467532467532465,13,16.883116883116884,4,5.194805194805195,3,3.896103896103896
2024,78,13,16.666666666666664,22,28.205128205128204,24,30.76923076923077,9,11.538461538461538,7,8.974358974358974,3,3.8461538461538463
2025,95,9,9.473684210526317,35,36.84210526315789,32,33.68421052631579,9,9.473684210526317,5,5.263157894736842,5,5.263157894736842
