Year,Asia,Europe,North America,Other,South America,Unknown
2010,2.5,25.0,47.5,10.0,10.0,5.0
2011,6.976744186046512,11.627906976744185,46.51162790697674,11.627906976744185,20.930232558139537,2.3255813953488373
2012,20.930232558139537,27.906976744186046,27.906976744186046,9.30232558139535,6.976744186046512,6.976744186046512
2013,6.976744186046512,37.2093023255814,30.23255813953488,13.953488372093023,9.30232558139535,2.3255813953488373
2014,4.761904761904762,40.476190476190474,30.952380952380953,2.380952380952381,19.047619047619047,2.380952380952381
2015,18.367346938775512,20.408163265306122,30.612244897959183,10.204081632653061,12.244897959183673,8.16326530612245
2016,6.976744186046512,30.23255813953488,30.23255813953488,11.627906976744185,16.27906976744186,4.651162790697675
2017,25.0,25.0,21.428571428571427,3.571428571428571,21.428571428571427,3.571428571428571
2018,14.285714285714285,28.57142857142857,20.634920634920633,11.11111111111111,15.873015873015872,9.523809523809524
2019,41.83673469387755,14.285714285714285,13.26530612244898,7.142857142857142,19.387755102040817,4.081632653061225
2020,53.125,17.708333333333336,9.375,5.208333333333334,12.5,2.083333333333333
2021,23.232323232323232,41.41414141414141,13.131313131313133,13.131313131313133,8.080808080808081,1.0101010101010102
2022,45.65217391304348,22.82608695652174,13.043478260869565,8.695652173913043,7.608695652173914,2.1739130434782608
2023,20.77922077922078,32.467532467532465,16.883116883116884,5.194805194805195,20.77922077922078,3.896103896103896
2024,28.205128205128204,30.76923076923077,11.538461538461538,8.974358974358974,16.666666666666664,3.8461538461538463
2025,36.84210526315789,33.68421052631579,9.473684210526317,5.263157894736842,9.473684210526317,5.263157894736842
