Year,Total_Papers,Applied Ecology_Count,Applied Ecology_Percent,Biomonitoring/Water Quality_Count,Biomonitoring/Water Quality_Percent,Conservation_Count,Conservation_Percent,Ecology/Behavior_Count,Ecology/Behavior_Percent,Evolution/Phylogeny_Count,Evolution/Phylogeny_Percent,Other_Count,Other_Percent,Physiology_Count,Physiology_Percent,Taxonomy/Systematics_Count,Taxonomy/Systematics_Percent,Not Specified_Count,Not Specified_Percent
2010,85,3,3.5294117647058822,34,40.0,3,3.5294117647058822,27,31.76470588235294,2,2.3529411764705883,0,0.0,2,2.3529411764705883,14,16.470588235294116,0,0.0
2011,93,3,3.225806451612903,29,31.182795698924732,0,0.0,37,39.784946236559136,1,1.0752688172043012,0,0.0,3,3.225806451612903,20,21.50537634408602,0,0.0
2012,90,2,2.2222222222222223,33,36.666666666666664,0,0.0,27,30.0,4,4.444444444444445,0,0.0,1,1.1111111111111112,23,25.555555555555554,0,0.0
2013,109,2,1.834862385321101,28,25.688073394495415,1,0.9174311926605505,47,43.11926605504588,5,4.587155963302752,0,0.0,3,2.7522935779816518,23,21.100917431192663,0,0.0
2014,114,0,0.0,28,24.561403508771928,2,1.7543859649122806,41,35.96491228070175,7,6.140350877192982,1,0.8771929824561403,2,1.7543859649122806,33,28.947368421052634,0,0.0
2015,116,3,2.586206896551724,33,28.448275862068968,1,0.8620689655172413,46,39.6551724137931,5,4.310344827586207,0,0.0,2,1.7241379310344827,26,22.413793103448278,0,0.0
2016,115,1,0.8695652173913043,37,32.17391304347826,2,1.7391304347826086,36,31.30434782608696,5,4.3478260869565215,1,0.8695652173913043,2,1.7391304347826086,31,26.956521739130434,0,0.0
2017,121,2,1.6528925619834711,37,30.57851239669421,4,3.3057851239669422,41,33.88429752066116,5,4.132231404958678,0,0.0,3,2.479338842975207,29,23.96694214876033,0,0.0
2018,107,1,0.9345794392523363,24,22.429906542056074,1,0.9345794392523363,28,26.168224299065418,9,8.411214953271028,1,0.9345794392523363,2,1.8691588785046727,41,38.31775700934579,0,0.0
2019,163,2,1.2269938650306749,33,20.245398773006134,0,0.0,29,17.791411042944784,20,12.269938650306749,0,0.0,0,0.0,79,48.466257668711656,0,0.0
2020,162,4,2.4691358024691357,41,25.308641975308642,1,0.6172839506172839,37,22.839506172839506,12,7.4074074074074066,0,0.0,5,3.0864197530864197,62,38.2716049382716,0,0.0
2021,173,4,2.312138728323699,54,31.213872832369944,5,2.8901734104046244,43,24.85549132947977,12,6.9364161849710975,1,0.5780346820809248,2,1.1560693641618496,52,30.057803468208093,0,0.0
2022,152,1,0.6578947368421052,37,24.342105263157894,4,2.631578947368421,37,24.342105263157894,11,7.236842105263158,2,1.3157894736842104,5,3.289473684210526,55,36.18421052631579,0,0.0
2023,128,1,0.78125,45,35.15625,3,2.34375,28,21.875,4,3.125,1,0.78125,0,0.0,46,35.9375,0,0.0
2024,142,1,0.7042253521126761,53,37.32394366197183,2,1.4084507042253522,27,19.014084507042252,7,4.929577464788732,2,1.4084507042253522,4,2.8169014084507045,46,32.3943661971831,0,0.0
2025,162,2,1.2345679012345678,47,29.01234567901235,2,1.2345679012345678,36,22.22222222222222,9,5.555555555555555,1,0.6172839506172839,0,0.0,65,40.123456790123456,0,0.0
