Year,Taxonomy/Systematics,Ecology/Behavior,Biomonitoring/Water Quality,Conservation,Physiology,Evolution/Phylogeny,Applied Ecology,Other
2010,14,27,34,3.0,2.0,2,3.0,0.0
2011,20,37,29,0.0,3.0,1,3.0,0.0
2012,23,27,33,0.0,1.0,4,2.0,0.0
2013,23,47,28,1.0,3.0,5,2.0,0.0
2014,33,41,28,2.0,2.0,7,0.0,1.0
2015,26,46,33,1.0,2.0,5,3.0,0.0
2016,31,36,37,2.0,2.0,5,1.0,1.0
2017,29,41,37,4.0,3.0,5,2.0,0.0
2018,41,28,24,1.0,2.0,9,1.0,1.0
2019,79,29,33,0.0,0.0,20,2.0,0.0
2020,62,37,41,1.0,5.0,12,4.0,0.0
2021,52,43,54,5.0,2.0,12,4.0,1.0
2022,55,37,37,4.0,5.0,11,1.0,2.0
2023,46,28,45,3.0,0.0,4,1.0,1.0
2024,46,27,53,2.0,4.0,7,1.0,2.0
2025,65,36,47,2.0,0.0,9,2.0,1.0
