Year,Total_Papers,Mean_Authors,Median_Authors,Min_Authors,Max_Authors,Single author_Count,Single author_Percent,2 authors_Count,2 authors_Percent,3-5 authors_Count,3-5 authors_Percent,6-10 authors_Count,6-10 authors_Percent,10+ authors_Count,10+ authors_Percent
2010,84,3.3333333333333335,3.0,1,8,10,11.904761904761903,17,20.238095238095237,46,54.761904761904766,11,13.095238095238097,0,0.0
2011,93,3.4516129032258065,3.0,1,8,10,10.75268817204301,19,20.43010752688172,52,55.91397849462365,12,12.903225806451612,0,0.0
2012,90,3.388888888888889,3.0,1,11,6,6.666666666666667,27,30.0,47,52.22222222222223,9,10.0,1,1.1111111111111112
2013,109,3.293577981651376,3.0,1,9,9,8.256880733944955,29,26.605504587155966,59,54.12844036697248,12,11.009174311926607,0,0.0
2014,112,3.7232142857142856,3.0,1,11,8,7.142857142857142,25,22.321428571428573,62,55.35714285714286,16,14.285714285714285,1,0.8928571428571428
2015,115,3.8521739130434782,4.0,1,9,8,6.956521739130435,28,24.347826086956523,55,47.82608695652174,24,20.869565217391305,0,0.0
2016,115,4.078260869565217,3.0,1,15,9,7.82608695652174,20,17.391304347826086,59,51.30434782608696,25,21.73913043478261,2,1.7391304347826086
2017,121,3.9917355371900825,3.0,1,15,4,3.3057851239669422,25,20.66115702479339,74,61.15702479338842,14,11.570247933884298,4,3.3057851239669422
2018,106,3.7264150943396226,3.0,1,15,12,11.320754716981133,22,20.754716981132077,54,50.943396226415096,16,15.09433962264151,2,1.8867924528301887
2019,163,3.7177914110429446,4.0,1,13,17,10.429447852760736,27,16.56441717791411,99,60.73619631901841,18,11.042944785276074,2,1.2269938650306749
2020,161,3.900621118012422,3.0,1,12,19,11.801242236024844,27,16.77018633540373,86,53.41614906832298,25,15.527950310559005,4,2.484472049689441
2021,171,4.491228070175438,4.0,1,18,7,4.093567251461988,27,15.789473684210526,95,55.55555555555556,36,21.052631578947366,6,3.508771929824561
2022,152,4.4868421052631575,4.0,1,22,13,8.552631578947368,18,11.842105263157894,83,54.60526315789473,32,21.052631578947366,6,3.9473684210526314
2023,128,4.921875,4.0,1,93,11,8.59375,24,18.75,62,48.4375,27,21.09375,4,3.125
2024,141,4.602836879432624,4.0,1,49,12,8.51063829787234,18,12.76595744680851,71,50.35460992907801,34,24.113475177304963,6,4.25531914893617
2025,161,4.571428571428571,4.0,1,33,13,8.074534161490684,16,9.937888198757763,95,59.006211180124225,31,19.25465838509317,6,3.7267080745341614
