Year,mean,median,min,max,count
2010,3.58974358974359,3.0,1,7,39
2011,3.604651162790698,3.0,1,8,43
2012,3.302325581395349,3.0,1,6,43
2013,3.13953488372093,3.0,1,8,43
2014,3.5714285714285716,3.5,1,7,42
2015,4.3061224489795915,4.0,1,9,49
2016,4.488372093023256,4.0,1,15,43
2017,4.196428571428571,3.0,1,15,56
2018,3.507936507936508,3.0,1,11,63
2019,3.7244897959183674,4.0,1,13,98
2020,3.78125,4.0,1,12,96
2021,4.343434343434343,4.0,1,10,99
2022,4.543478260869565,4.0,1,22,92
2023,4.0519480519480515,4.0,1,12,77
2024,4.205128205128205,3.5,1,16,78
2025,4.586956521739131,4.0,1,24,92
