Year,International,National,Unknown
2010,0.0,25.64102564102564,74.35897435897436
2011,4.651162790697675,23.25581395348837,72.09302325581395
2012,2.3255813953488373,25.581395348837212,72.09302325581395
2013,0.0,23.25581395348837,76.74418604651163
2014,0.0,23.809523809523807,76.19047619047619
2015,4.081632653061225,18.367346938775512,77.55102040816327
2016,2.3255813953488373,25.581395348837212,72.09302325581395
2017,3.571428571428571,19.642857142857142,76.78571428571429
2018,1.5873015873015872,17.46031746031746,80.95238095238095
2019,2.0408163265306123,16.3265306122449,81.63265306122449
2020,1.0416666666666665,15.625,83.33333333333334
2021,3.0303030303030303,25.252525252525253,71.71717171717171
2022,1.0869565217391304,25.0,73.91304347826086
2023,5.194805194805195,22.07792207792208,72.72727272727273
2024,3.8461538461538463,16.666666666666664,79.48717948717949
2025,4.3478260869565215,26.08695652173913,69.56521739130434
