Region_Global,Biomonitoring/Water Quality,Conservation,Ecology/Behavior,Evolution/Phylogeny,Genetic/Molecular Study,Materials Science (Silk),Not Specified,Other,Physiology,Taxonomy/Systematics
Afrotropical,44.18604651162791,0.0,27.906976744186046,0.0,0.0,0.0,0.0,0.0,0.0,27.906976744186046
Asia,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australasian,5.714285714285714,0.0,34.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,60.0
East Palearctic,12.5,0.0,62.5,6.25,0.0,0.0,0.0,0.0,0.0,18.75
"East Palearctic, Oriental, Nearctic, Neotropical",0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Global,22.22222222222222,0.0,77.77777777777779,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mediterranean,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nearctic,21.55688622754491,0.0,47.30538922155689,4.790419161676647,0.0,0.0,0.0,0.0,0.0,26.34730538922156
Neotropical,10.650887573964498,0.2958579881656805,30.76923076923077,0.591715976331361,0.0,0.0,0.0,0.2958579881656805,0.0,57.396449704142015
North America,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
Not Specified,5.069708491761723,0.06337135614702154,16.666666666666664,4.245880861850444,0.06337135614702154,2.4081115335868186,62.3574144486692,0.19011406844106463,0.3168567807351077,8.61850443599493
Oriental,13.88888888888889,0.0,18.333333333333332,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,64.44444444444444
"Oriental, Australian and Afrotropical",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Palearctic,15.037593984962406,0.0,35.58897243107769,4.010025062656641,0.0,0.0,0.0,0.0,0.0,45.363408521303256
