Year,Total_Papers,South America_Count,South America_Percent,Asia_Count,Asia_Percent,Europe_Count,Europe_Percent,North America_Count,North America_Percent,Other_Count,Other_Percent,Unknown_Count,Unknown_Percent
2010,156,23,14.743589743589745,25,16.025641025641026,41,26.282051282051285,44,28.205128205128204,22,14.102564102564102,1,0.641025641025641
2011,166,33,19.879518072289155,21,12.650602409638553,45,27.10843373493976,50,30.120481927710845,15,9.036144578313253,2,1.2048192771084338
2012,149,23,15.436241610738255,27,18.120805369127517,46,30.87248322147651,39,26.174496644295303,12,8.053691275167784,2,1.342281879194631
2013,182,31,17.032967032967033,28,15.384615384615385,60,32.967032967032964,40,21.978021978021978,20,10.989010989010989,3,1.6483516483516485
2014,168,31,18.452380952380953,23,13.690476190476192,55,32.73809523809524,43,25.595238095238095,15,8.928571428571429,1,0.5952380952380952
2015,178,35,19.662921348314608,25,14.04494382022472,64,35.95505617977528,36,20.224719101123593,16,8.98876404494382,2,1.1235955056179776
2016,194,32,16.49484536082474,34,17.525773195876287,63,32.47422680412371,46,23.711340206185564,13,6.701030927835052,6,3.0927835051546393
2017,189,40,21.164021164021165,36,19.047619047619047,65,34.39153439153439,34,17.989417989417987,12,6.349206349206349,2,1.0582010582010581
2018,187,42,22.459893048128343,36,19.25133689839572,59,31.550802139037433,30,16.0427807486631,16,8.55614973262032,4,2.13903743315508
2019,174,38,21.839080459770116,30,17.24137931034483,57,32.758620689655174,32,18.39080459770115,15,8.620689655172415,2,1.1494252873563218
2020,234,61,26.06837606837607,50,21.367521367521366,72,30.76923076923077,30,12.82051282051282,21,8.974358974358974,0,0.0
2021,244,39,15.983606557377051,50,20.491803278688526,101,41.39344262295082,29,11.885245901639344,22,9.01639344262295,3,1.2295081967213115
2022,222,45,20.27027027027027,47,21.17117117117117,68,30.630630630630627,44,19.81981981981982,15,6.756756756756757,3,1.3513513513513513
2023,224,51,22.767857142857142,40,17.857142857142858,75,33.482142857142854,37,16.517857142857142,18,8.035714285714286,3,1.3392857142857142
2024,225,46,20.444444444444446,45,20.0,75,33.33333333333333,31,13.777777777777779,21,9.333333333333334,7,3.111111111111111
2025,207,41,19.806763285024154,42,20.28985507246377,79,38.164251207729464,25,12.077294685990339,18,8.695652173913043,2,0.966183574879227
