Year,Asia,Europe,North America,Other,South America,Unknown
2010,18.0,20.666666666666668,32.0,12.666666666666668,14.666666666666666,2.0
2011,14.666666666666666,24.666666666666668,28.666666666666668,9.333333333333334,20.0,2.666666666666667
2012,17.449664429530202,28.859060402684566,24.161073825503358,7.38255033557047,14.76510067114094,7.38255033557047
2013,17.197452229299362,31.210191082802545,21.656050955414013,10.191082802547772,16.560509554140125,3.1847133757961785
2014,15.131578947368421,27.631578947368425,24.342105263157894,7.236842105263158,20.394736842105264,5.263157894736842
2015,13.17365269461078,34.13173652694611,20.958083832335326,7.784431137724551,20.35928143712575,3.592814371257485
2016,19.2090395480226,29.943502824858758,22.598870056497177,6.779661016949152,14.689265536723164,6.779661016949152
2017,20.35928143712575,31.137724550898206,16.16766467065868,5.389221556886228,21.55688622754491,5.389221556886228
2018,16.766467065868262,34.13173652694611,16.16766467065868,6.58682634730539,21.55688622754491,4.790419161676647
2019,18.012422360248447,32.91925465838509,18.012422360248447,8.695652173913043,18.012422360248447,4.3478260869565215
2020,24.761904761904763,24.761904761904763,13.80952380952381,9.047619047619047,23.809523809523807,3.8095238095238098
2021,23.275862068965516,36.206896551724135,13.36206896551724,9.913793103448276,14.224137931034484,3.0172413793103448
2022,22.926829268292686,28.780487804878046,19.024390243902438,4.878048780487805,19.024390243902438,5.365853658536586
2023,18.48341232227488,31.753554502369667,17.535545023696685,4.739336492890995,21.80094786729858,5.687203791469194
2024,22.535211267605636,30.985915492957744,10.7981220657277,8.92018779342723,19.248826291079812,7.511737089201878
2025,20.792079207920793,31.683168316831683,12.871287128712872,8.91089108910891,17.326732673267326,8.415841584158416
