Year,Total_Papers,Applied Ecology_Count,Applied Ecology_Percent,Biomonitoring/Water Quality_Count,Biomonitoring/Water Quality_Percent,Conservation_Count,Conservation_Percent,Ecology/Behavior_Count,Ecology/Behavior_Percent,Evolution/Phylogeny_Count,Evolution/Phylogeny_Percent,Materials Science (Silk)_Count,Materials Science (Silk)_Percent,Other_Count,Other_Percent,Physiology_Count,Physiology_Percent,Taxonomy/Systematics_Count,Taxonomy/Systematics_Percent,Not Specified_Count,Not Specified_Percent
2010,150,0,0.0,32,21.333333333333336,0,0.0,46,30.666666666666664,9,6.0,5,3.3333333333333335,0,0.0,1,0.6666666666666667,53,35.333333333333336,4,2.666666666666667
2011,150,0,0.0,34,22.666666666666664,1,0.6666666666666667,64,42.66666666666667,5,3.3333333333333335,2,1.3333333333333335,0,0.0,1,0.6666666666666667,40,26.666666666666668,3,2.0
2012,149,0,0.0,33,22.14765100671141,3,2.013422818791946,60,40.26845637583892,6,4.026845637583892,3,2.013422818791946,0,0.0,3,2.013422818791946,33,22.14765100671141,8,5.369127516778524
2013,157,0,0.0,27,17.197452229299362,2,1.2738853503184715,62,39.490445859872615,5,3.1847133757961785,4,2.547770700636943,2,1.2738853503184715,1,0.6369426751592357,52,33.12101910828025,2,1.2738853503184715
2014,152,0,0.0,21,13.815789473684212,0,0.0,64,42.10526315789473,6,3.9473684210526314,3,1.9736842105263157,3,1.9736842105263157,3,1.9736842105263157,48,31.57894736842105,4,2.631578947368421
2015,167,0,0.0,32,19.16167664670659,0,0.0,73,43.712574850299404,8,4.790419161676647,6,3.592814371257485,0,0.0,2,1.1976047904191618,42,25.149700598802394,4,2.3952095808383236
2016,177,0,0.0,36,20.33898305084746,1,0.5649717514124294,58,32.7683615819209,9,5.084745762711865,6,3.389830508474576,1,0.5649717514124294,1,0.5649717514124294,59,33.33333333333333,6,3.389830508474576
2017,167,0,0.0,25,14.97005988023952,3,1.7964071856287425,57,34.13173652694611,7,4.191616766467066,0,0.0,2,1.1976047904191618,3,1.7964071856287425,65,38.92215568862276,5,2.9940119760479043
2018,167,0,0.0,28,16.766467065868262,1,0.5988023952095809,50,29.94011976047904,6,3.592814371257485,1,0.5988023952095809,2,1.1976047904191618,4,2.3952095808383236,69,41.31736526946108,6,3.592814371257485
2019,161,0,0.0,37,22.981366459627328,1,0.6211180124223602,52,32.298136645962735,3,1.8633540372670807,4,2.484472049689441,0,0.0,4,2.484472049689441,55,34.161490683229815,5,3.1055900621118013
2020,210,0,0.0,42,20.0,2,0.9523809523809524,84,40.0,2,0.9523809523809524,3,1.4285714285714286,2,0.9523809523809524,2,0.9523809523809524,67,31.9047619047619,6,2.857142857142857
2021,232,0,0.0,59,25.43103448275862,4,1.7241379310344827,81,34.91379310344828,10,4.310344827586207,0,0.0,2,0.8620689655172413,1,0.43103448275862066,69,29.74137931034483,6,2.586206896551724
2022,205,1,0.4878048780487805,49,23.902439024390244,1,0.4878048780487805,73,35.609756097560975,9,4.390243902439024,3,1.4634146341463417,1,0.4878048780487805,2,0.975609756097561,60,29.268292682926827,6,2.9268292682926833
2023,211,0,0.0,40,18.95734597156398,5,2.3696682464454977,71,33.649289099526065,9,4.265402843601896,2,0.9478672985781991,1,0.47393364928909953,3,1.4218009478672986,71,33.649289099526065,9,4.265402843601896
2024,213,0,0.0,49,23.004694835680752,3,1.4084507042253522,56,26.291079812206576,19,8.92018779342723,5,2.3474178403755865,2,0.9389671361502347,4,1.8779342723004695,68,31.92488262910798,7,3.286384976525822
2025,202,0,0.0,57,28.217821782178216,1,0.49504950495049505,66,32.67326732673268,12,5.9405940594059405,3,1.4851485148514851,3,1.4851485148514851,1,0.49504950495049505,52,25.742574257425744,7,3.4653465346534658
