Year,Ecology/Behavior,Taxonomy/Systematics,Physiology,Applied Ecology,Evolution/Phylogeny,Biomonitoring/Water Quality,Conservation,Other
2010,51,52,4,1,5,43,0.0,0.0
2011,64,38,6,3,6,49,0.0,0.0
2012,54,31,8,1,5,49,1.0,0.0
2013,81,51,5,1,3,38,2.0,1.0
2014,73,44,8,2,4,36,1.0,0.0
2015,74,41,6,4,9,44,0.0,0.0
2016,64,57,8,3,8,51,2.0,1.0
2017,70,63,3,2,7,40,3.0,1.0
2018,57,67,8,4,5,45,0.0,1.0
2019,54,53,6,2,3,55,1.0,0.0
2020,91,67,6,5,1,59,2.0,3.0
2021,85,66,2,4,9,71,7.0,0.0
2022,81,54,5,3,10,65,3.0,1.0
2023,68,69,5,4,7,64,6.0,1.0
2024,57,65,6,1,13,75,5.0,3.0
2025,61,51,6,2,9,75,2.0,1.0
