Year,Total_Papers,Mean_Authors,Median_Authors,Min_Authors,Max_Authors,Single author_Count,Single author_Percent,2 authors_Count,2 authors_Percent,3-5 authors_Count,3-5 authors_Percent,6-10 authors_Count,6-10 authors_Percent,10+ authors_Count,10+ authors_Percent
2010,149,3.046979865771812,3.0,1,8,21,14.093959731543624,48,32.21476510067114,66,44.29530201342282,14,9.395973154362416,0,0.0
2011,150,3.26,3.0,1,10,17,11.333333333333332,40,26.666666666666668,79,52.666666666666664,14,9.333333333333334,0,0.0
2012,148,3.0675675675675675,3.0,1,10,19,12.837837837837837,40,27.027027027027028,79,53.37837837837838,10,6.756756756756757,0,0.0
2013,157,3.3503184713375798,3.0,1,11,15,9.554140127388536,43,27.388535031847134,79,50.318471337579616,19,12.101910828025478,1,0.6369426751592357
2014,151,3.4304635761589406,3.0,1,17,14,9.271523178807946,41,27.1523178807947,79,52.317880794701985,16,10.596026490066226,1,0.6622516556291391
2015,166,4.0843373493975905,4.0,1,15,8,4.819277108433735,48,28.915662650602407,76,45.78313253012048,31,18.67469879518072,3,1.8072289156626504
2016,175,4.1085714285714285,3.0,1,37,18,10.285714285714285,38,21.714285714285715,80,45.714285714285715,34,19.428571428571427,5,2.857142857142857
2017,166,3.9457831325301207,3.0,1,15,16,9.63855421686747,33,19.879518072289155,86,51.80722891566265,26,15.66265060240964,5,3.0120481927710845
2018,166,3.6265060240963853,3.0,1,12,13,7.83132530120482,40,24.096385542168676,89,53.6144578313253,23,13.855421686746988,1,0.6024096385542169
2019,159,4.591194968553459,4.0,1,41,12,7.547169811320755,33,20.754716981132077,78,49.056603773584904,29,18.238993710691823,7,4.40251572327044
2020,210,4.214285714285714,4.0,1,28,13,6.190476190476191,32,15.238095238095239,122,58.0952380952381,36,17.142857142857142,7,3.3333333333333335
2021,232,4.228448275862069,3.5,1,21,26,11.206896551724139,48,20.689655172413794,103,44.396551724137936,46,19.82758620689655,9,3.8793103448275863
2022,203,4.4236453201970445,4.0,1,22,17,8.374384236453201,30,14.77832512315271,110,54.187192118226605,38,18.7192118226601,8,3.9408866995073892
2023,210,4.328571428571428,4.0,1,19,13,6.190476190476191,38,18.095238095238095,108,51.42857142857142,46,21.904761904761905,5,2.380952380952381
2024,212,4.933962264150943,4.0,1,49,14,6.60377358490566,20,9.433962264150944,110,51.886792452830186,61,28.77358490566038,7,3.30188679245283
2025,196,5.107142857142857,4.5,1,33,10,5.1020408163265305,19,9.693877551020408,100,51.02040816326531,57,29.081632653061224,10,5.1020408163265305
