Year,mean,median,min,max,count
2010,3.046979865771812,3.0,1,8,149
2011,3.26,3.0,1,10,150
2012,3.0675675675675675,3.0,1,10,148
2013,3.3503184713375798,3.0,1,11,157
2014,3.4304635761589406,3.0,1,17,151
2015,4.0843373493975905,4.0,1,15,166
2016,4.1085714285714285,3.0,1,37,175
2017,3.9457831325301207,3.0,1,15,166
2018,3.6265060240963853,3.0,1,12,166
2019,4.591194968553459,4.0,1,41,159
2020,4.214285714285714,4.0,1,28,210
2021,4.228448275862069,3.5,1,21,232
2022,4.4236453201970445,4.0,1,22,203
2023,4.328571428571428,4.0,1,19,210
2024,4.933962264150943,4.0,1,49,212
2025,5.107142857142857,4.5,1,33,196
