Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,ScopusID,EID
5,Savić A.,Seasonal variability in community structure and habitat selection of mayflies (ephemeroptera) in the nišava river (serbia),2010,Biotechnology and Biotechnological Equipment,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84978474091&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84978474091&origin=inward,,2026-04-12 18:28:36,Article,10.1080/13102818.2010.10817913,13102818,https://api.elsevier.com/content/abstract/scopus_id/84978474091,24,,,,,0.33,5.0,1,15,,,,84978474091,2-s2.0-84978474091
61,Salles F.F.,"First survey of mayflies (Ephemeroptera, Insecta) from Espírito Santo State, Southeastern Brazil",2010,Biota Neotropica,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77957997270&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77957997270&origin=inward,,2026-04-12 18:28:36,Article,,16786424,https://api.elsevier.com/content/abstract/scopus_id/77957997270,10,1,,,,4.07,61.0,1,15,,,,77957997270,2-s2.0-77957997270
19,O'Donnell B.,The expression of wingless and Engrailed in developing embryos of the mayfly Ephoron leukon (Ephemeroptera: Polymitarcyidae),2010,Development Genes and Evolution,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77953871403&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77953871403&origin=inward,,2026-04-12 18:28:36,Article,10.1007/s00427-010-0324-6,0949944X,https://api.elsevier.com/content/abstract/scopus_id/77953871403,220,1-2,,,,1.27,19.0,1,15,,,,77953871403,2-s2.0-77953871403
30,Echols B.,"Preliminary results of laboratory toxicity tests with the mayfly, Isonychia bicolor (Ephemeroptera: Isonychiidae) for development as a standard test organism for evaluating streams in the Appalachian coalfields of Virginia and West Virginia",2010,Environmental Monitoring and Assessment,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77957660784&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77957660784&origin=inward,,2026-04-12 18:28:36,Article,10.1007/s10661-009-1191-3,01676369,https://api.elsevier.com/content/abstract/scopus_id/77957660784,169,1-4,,,,2.0,30.0,1,15,,,,77957660784,2-s2.0-77957660784
24,McCafferty W.P.,The mayflies (ephemeroptera) of the Southeastern United States,2010,Transactions of the American Entomological Society,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79953280692&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79953280692&origin=inward,,2026-04-12 18:28:36,Article,10.3157/061.136.0303,00028320,https://api.elsevier.com/content/abstract/scopus_id/79953280692,136,3-4,,,,1.6,24.0,1,15,,,,79953280692,2-s2.0-79953280692
0,Newell R.,Note on the redescription of the nymph of the mayfly Rhithrogena virilis MCDUNNOUGH 1934 (Ephemeroptera: Heptageniidae),2010,Western North American Naturalist,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77955066627&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77955066627&origin=inward,,2026-04-12 18:28:36,Article,10.3398/064.070.0213,15270904,https://api.elsevier.com/content/abstract/scopus_id/77955066627,70,2,,,,0.0,0.0,1,15,,,,77955066627,2-s2.0-77955066627
28,Funk D.H.,Why stream mayflies can reproduce without males but remain bisexual: A case of lost genetic variation,2010,Journal of the North American Benthological Society,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85009295254&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85009295254&origin=inward,,2026-04-12 18:28:36,Article,10.1899/10-015.1,08873593,https://api.elsevier.com/content/abstract/scopus_id/85009295254,29,4,,,,1.87,28.0,1,15,,,,85009295254,2-s2.0-85009295254
10,Řezníčková P.,Comparison of mayfly (Ephemeroptera) taxocenes of permanent and intermittent Central European small streams via species traits,2010,Biologia,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77953675379&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77953675379&origin=inward,,2026-04-12 18:28:36,Article,10.2478/s11756-010-0067-x,00063088,https://api.elsevier.com/content/abstract/scopus_id/77953675379,65,4,,,,0.67,10.0,1,15,,,,77953675379,2-s2.0-77953675379
57,Arimoro F.,Mayfly (Insecta: Ephemeroptera) community structure as an indicator of the ecological status of a stream in the Niger Delta area of Nigeria,2010,Environmental Monitoring and Assessment,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77954143744&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77954143744&origin=inward,,2026-04-12 18:28:36,Article,10.1007/s10661-009-1025-3,01676369,https://api.elsevier.com/content/abstract/scopus_id/77954143744,166,1-4,,,,3.8,57.0,1,15,,,,77954143744,2-s2.0-77954143744
11,Sekiné K.,"Potential for parthenogenesis of virgin females in a bisexual population of the geographically parthenogenetic mayfly Ephoron shigae (Insecta: Ephemeroptera, Polymitarcyidae)",2010,Biological Journal of the Linnean Society,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=75649146295&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=75649146295&origin=inward,,2026-04-12 18:28:36,Article,10.1111/j.1095-8312.2009.01350.x,00244066,https://api.elsevier.com/content/abstract/scopus_id/75649146295,99,2,,,,0.73,11.0,1,15,,,,75649146295,2-s2.0-75649146295
