Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,ScopusID,EID
48,Suhonen J.,Local extinction of dragonfly and damselfly populations in low- and high-quality habitat patches,2010,Conservation Biology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77954691756&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77954691756&origin=inward,,2026-04-12 18:54:23,Article,10.1111/j.1523-1739.2010.01504.x,08888892,https://api.elsevier.com/content/abstract/scopus_id/77954691756,24,4,,,,3.2,48.0,1,15,"<jats:p>
                    <jats:bold>Abstract: </jats:bold>
                    <jats:italic>Understanding the risk of extinction of a single population is an important problem in both theoretical and applied ecology. Local extinction risk depends on several factors, including population size, demographic or environmental stochasticity, natural catastrophe, or the loss of genetic diversity. The probability of local extinction may also be higher in low‐quality sink habitats than in high‐quality source habitats. We tested this hypothesis by comparing local extinction rates of 15 species of Odonata (dragonflies and damselflies) between 1930–1975 and 1995–2003 in central Finland. Local extinction rates were higher in low‐quality than in high‐quality habitats. Nevertheless, for the three most common species there were no differences in extinction rates between low‐ and high‐quality habitats. Our results suggest that a good understanding of habitat quality is crucial for the conservation of species in heterogeneous landscapes.</jats:italic>
                  </jats:p>",,,77954691756,2-s2.0-77954691756
42,Lin C.,"The complete mitochondrial genome and phylogenomics of a damselfly, Euphaea formosa support a basal Odonata within the Pterygota",2010,Gene,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77957008885&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77957008885&origin=inward,,2026-04-12 18:54:23,Article,10.1016/j.gene.2010.08.001,03781119,https://api.elsevier.com/content/abstract/scopus_id/77957008885,468,1-2,,,,2.8,42.0,1,15,__ABSTRACT_UNAVAILABLE__,,,77957008885,2-s2.0-77957008885
44,Sherratt T.,Empirical evidence of senescence in adult damselflies (Odonata: Zygoptera),2010,Journal of Animal Ecology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79952035650&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79952035650&origin=inward,,2026-04-12 18:54:23,Article,10.1111/j.1365-2656.2010.01719.x,00218790,https://api.elsevier.com/content/abstract/scopus_id/79952035650,79,5,,,,2.93,44.0,1,15,"<jats:title>Summary</jats:title><jats:p><jats:bold>1.</jats:bold> Age‐dependent increases in mortality have been documented in a variety of species of insect under laboratory conditions. However, while strong statistical evidence has been presented for senescence in vertebrate populations in the wild, we know little about the rate and shape of senescence in wild populations of insects.</jats:p><jats:p><jats:bold>2.</jats:bold> Odonates (damselflies and dragonflies) provide excellent candidate species for evaluating demographic senescence as they are large enough to be marked individually and they are easily re‐sighted without recapture. The prevailing opinion – based entirely on qualitative examination of the declines in log numbers alive with time since marking – is that odonates exhibit age‐independent daily survivorship.</jats:p><jats:p><jats:bold>3.</jats:bold> Here, we examine mark–recapture data on the Azure Damselfly<jats:italic>Coenagrion puella</jats:italic>over two consecutive seasons. For the first time, we evaluate and compare the fit of quantitative models that not only account for weather‐dependent daily variation in daily re‐sighting rates, but also age‐dependent variation in daily survivorship.</jats:p><jats:p><jats:bold>4.</jats:bold> Models with age‐dependent declines in daily survivorship provide a more parsimonious explanation for the data than similar models without these age‐dependent effects. In general, models in which mortality increases in an exponential (Gompertz) fashion explain the mark–recapture sequences more efficiently than a range of alternative models, including those in which mortality increases as a power function (Weibull) or reaches a plateau (logistic). These results are indicative of a general senescent decline in physiological functioning, which is particularly marked after 15 days as a mature adult.</jats:p><jats:p><jats:bold>5.</jats:bold> Weather (temperature, sun and precipitation) and initial mite load influenced the probability of daily re‐sighting. Weather and mite load also influenced daily survivorship, but their effects differed between seasons.</jats:p><jats:p><jats:bold>6.</jats:bold> Overall, fitting models with age as an explicit covariate demonstrates that odonates do indeed senesce. This contradicts previously held assumptions that Odonata do not exhibit age‐dependent survivorship in the wild.</jats:p>",,,79952035650,2-s2.0-79952035650
3,Mill P.,Dragonflies (Odonata) in Britain and Ireland,2010,Silent Summer the State of Wildlife in Britain and Ireland,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84928853192&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84928853192&origin=inward,,2026-04-12 18:54:23,Book Chapter,10.1017/CBO9780511778230.028,,https://api.elsevier.com/content/abstract/scopus_id/84928853192,9780521519663,,,,,0.2,3.0,1,15,"Although three species of dragonfly became extinct in Britain and Ireland in the 1950s, the outlook for most of the present resident species is favourable, providing that appropriate freshwater habitat is increased and pollution reduced. A number of species are extending their range northwards, mostly as a result of overall temperature increase, but at least one also as a result of reduction in river pollution. Three northern species are showing some sign of a retraction northwards of their southern range margins and this could lead to a serious problem if temperatures continue to rise. A further species currently restricted to the East Anglian coast is threatened by projected sea-level rise. According to IUCN criteria, of our 39 breeding species (17 zygopterans (damselflies) and 22 anisopterans (typical dragonflies)) two are classed as ‘endangered’, four as ‘vulnerable’ and six as ‘near threatened’ in Britain. One of these ‘near threatened’ species is classed as ‘vulnerable’ in Ireland and Ireland has a further species classed as ‘vulnerable’. One resident species in Britain has become established only this century and a further two species have begun breeding on a regular basis and may become established as permanent residents in the near future.",,,84928853192,2-s2.0-84928853192
31,Watts P.C.,Patterns of spatial genetic structure and diversity at the onset of a rapid range expansion: Colonisation of the UK by the small red-eyed damselfly Erythromma viridulum,2010,Biological Invasions,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77958003214&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77958003214&origin=inward,,2026-04-12 18:54:23,Article,10.1007/s10530-010-9779-7,13873547,https://api.elsevier.com/content/abstract/scopus_id/77958003214,12,11,,,,2.07,31.0,1,15,__ABSTRACT_UNAVAILABLE__,,,77958003214,2-s2.0-77958003214
12,Hassall C.,The impact of climate-induced distributional changes on the validity of biological water quality metrics,2010,Environmental Monitoring and Assessment,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=74349107556&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=74349107556&origin=inward,,2026-04-12 18:54:23,Article,10.1007/s10661-008-0709-4,01676369,https://api.elsevier.com/content/abstract/scopus_id/74349107556,160,1-4,,,,0.8,12.0,1,15,__ABSTRACT_UNAVAILABLE__,,,74349107556,2-s2.0-74349107556
4,Clopton R.E.,"Nubenocephalus nickoli n. sp. and Nubenocephalus xunantunichensis n. sp. (Apicomplexa: Eugregarinida: Actinocephalidae) parasitizing damselflies (Odonata: Zygoptera) in Belize, Central America",2010,Comparative Parasitology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77955167686&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77955167686&origin=inward,,2026-04-12 18:54:23,Article,10.1654/4438.1,15252647,https://api.elsevier.com/content/abstract/scopus_id/77955167686,77,2,,,,0.27,4.0,1,15,"Two new species of Nubenocephalus (Apicomplexa: Eugregarinida: Actinocephalidae) are described from adult damselflies sampled in Cayo District, Belize, Central America. Nubenocephalus nickoli n. sp. is described from the American Rubyspot damselfly, Hetaerina americana, and the Smoky Rubyspot damselfly, Hetaerina titia (Odonata: Zygoptera: Hetaerinidae), and Nubenocephalus xunantunichensis n. sp. is described from the Comanche Dancer, Argia chelata (Odonata: Zygoptera: Coenagrionidae). New, complete morphological data sets are reported for populations of Nubenocephalus nebraskensis and Nubenocephalus secundus, and a complete, synoptic reevaluation of diagnostic morphological characters used to discriminate species within Nubenocephalus is presented for all known species of the genus in the New World. Nubenocephalus nebraskensis is reported from Argia apicalis for the first time.",,,77955167686,2-s2.0-77955167686
7,Hunt P.D.,Lotic Odonata of the Connecticut River in New Hampshire and Vermont,2010,Northeastern Naturalist,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77954415938&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77954415938&origin=inward,,2026-04-12 18:54:23,Article,10.1656/045.017.0201,10926194,https://api.elsevier.com/content/abstract/scopus_id/77954415938,17,2,,,,0.47,7.0,1,15,"Several riverine species in the insect order Odonata (dragonflies and damselflies) are recognized as being of conservation concern in the Northeast. Along the Connecticut River, most data on these species have come from the southern portion of the river that passes through Connecticut and Massachusetts, while the northern portion has been poorly sampled until recently. In this paper, we summarize recent surveys along the Vermont—New Hampshire stretch of the river and place these in the context of known distributional data for the river as a whole. Our focus is on species typical of large rivers, with a particular focus on members of the family Gomphidae (clubtails). Also included is information on the first Vermont or New Hampshire records of three species—Enallagma antennatum, Enallagma durum, and Stylurus amnicola—and the first upper river records for several other species.",,,77954415938,2-s2.0-77954415938
28,Bried J.T.,National review of state wildlife action plans for Odonata species of greatest conservation need,2010,Insect Conservation and Diversity,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77952179465&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77952179465&origin=inward,,2026-04-12 18:54:23,Article,10.1111/j.1752-4598.2010.00081.x,1752458X,https://api.elsevier.com/content/abstract/scopus_id/77952179465,3,2,,,,1.87,28.0,1,15,"<jats:p>
                    <jats:bold>Abstract. </jats:bold>
                    1. The overarching goal of United States wildlife action plans is to prevent wildlife from becoming endangered or declining to levels where recovery becomes unlikely. Effective plan implementation depends on establishing Species of Greatest Conservation Need (SGCN), defined as wildlife species with small or declining populations or other characteristics that make them vulnerable.
                  </jats:p>
                  <jats:p>2. Although nearly two‐thirds of distinct Odonata species known from the U.S. (441 species as of 2005) were appointed as SGCN, over half the states neglected to assign dragonfly SGCN, damselfly SGCN, or both. Western and southern states listed proportionately fewer odonate SGCN than states of the Great Lakes, Mid‐Atlantic, and New England regions, apparently reflecting geographic patterns of legal authority, available information, and involvement by Odonata specialists.</jats:p>
                  <jats:p>3. Greater consultation of Odonata specialists is encouraged in any revision of state wildlife action plans, along with increased: (i) use of existing conservation lists, (ii) inferences from field guides and major faunal synopses, (iii) recognition of patterns of endemism, and (iv) application of empirical species distribution modelling.</jats:p>
                  <jats:p>4. Legal and management restrictions aside, insects and other invertebrates are often neglected in mainstream conservation efforts because they are perceived as understudied. It is erroneous to assume ‘not enough information’ exists for well‐studied microfauna such as Odonata and doing so further undermines the conservation of less conspicuous and charismatic taxa.</jats:p>",,,77952179465,2-s2.0-77952179465
28,Bolek M.G.,The role of damselflies (Odonata: Zygoptera) as paratenic hosts in the transmission of halipegus eccentricus (Digenea: Hemiuridae) to anurans,2010,Journal of Parasitology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77956134991&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77956134991&origin=inward,,2026-04-12 18:54:23,Article,10.1645/GE-2365.1,00223395,https://api.elsevier.com/content/abstract/scopus_id/77956134991,96,4,,,,1.87,28.0,1,15,"Halipegus eccentricus is a common hemiurid trematode in the eustachian tubes of North America frogs. However, the life cycle of this species has never been completely elucidated. Studies on H. eccentricus suggest that it has a 3-host life cycle. Here, we show through fieldwork and host specificity experimental infections that the life cycle of Halipegus eccentricus utilizes 4 hosts. Metamorphosed anurans become infected with H. eccentricus by feeding on infected damselflies; worms reside in the stomach of anurans, migrate to the eustachian tubes within 32-39 days post-exposure (DPE), and release eggs 50-60 DPE. Cystophorous cercariae develop in Physa gyrina snails within 32-35 DPE, infect ostracod ( Cypridopsis sp.) second intermediate hosts, and develop to metacercariae. Fifteen- to 19-day-old metacercariae from ostracods are infective to both damselfly larvae and metamorphosed anurans. Field surveys of damselflies and tadpoles, along with laboratory exposure of damselfly larvae, metamorphosed anurans, and tadpoles with infected ostracods, indicated that only metamorphosed anurans and damselflies become infected with H. eccentricus , whereas field-collected tadpoles and laboratory-exposed tadpoles were never infected with H. eccentricus . Because little morphological change occurred in the metacercaria stage of H. eccentricus between the ostracod second intermediate host and damselfly host, and metamorphosed anurans became infected with H. eccentricus metacercariae recovered from both host groups, we suggest that odonates serve as paratenic hosts in this life cycle. Additionally, our field work and experimental infections provide data on the use of odonates as the route of infection by another North American Halipegus sp. that matures in the stomach of frogs. Our data indicate that when the life cycles are known, the use of odonates as the route of infection to anurans is common in the life cycles of Halipegus spp., and all species exhibit remarkable infection site fidelity in their amphibian hosts.",,,77956134991,2-s2.0-77956134991
