Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,ScopusID,EID
3,Sinitshenkova N.,New Permian stoneflies of the family Palaeonemouridae (Insecta: Perlida = Plecoptera) from the Isady locality,2010,Paleontological Journal,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=76649116894&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=76649116894&origin=inward,,2026-04-12 18:38:39,Article,10.1134/S0031030110010077,00310301,https://api.elsevier.com/content/abstract/scopus_id/76649116894,44,1,,,,0.2,3.0,1,15,"New stonefly species of the family Palaeonemouridae, Palaeonemoura issadensis, sp. nov., Palaeotaeniopteryx laeta, sp. nov., and P. triternata, sp. nov., are described from the Tatarian (Upper Permian) locality of Isady (Severodvinian Stage of the Vologda Region).",,,76649116894,2-s2.0-76649116894
3,Krno I.,A new model estimating stonefly species production in the West Carpathian torrents,2010,Biologia,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77951763708&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77951763708&origin=inward,,2026-04-12 18:38:39,Article,10.2478/s11756-010-0050-6,00063088,https://api.elsevier.com/content/abstract/scopus_id/77951763708,65,3,,,,0.2,3.0,1,15,"Samples of stoneflies were collected from 15 streams of Slovakia during 1976–2000. The model of growth rate is based on 219 data of 50 stonefly species. The non-linear relationship among growth rate (G) of stoneflies and monthly mean water temperature (T) and body mass (W) is described by equation: G = 0.014W−0.19T0.25. The model estimates the species production of the families Taeniopterygidae, Nemouridae, Capniidae, Leuctridae and Perlodidae. This model is combined with Morin’s & Dumont’s (1994) model for Perlidae and Chloroperlidae. There is positive evidence that the total stonefly production of mountain and submountain streams increases with discharge. On the other hand, increasing altitude has a negative influence on production.",,,77951763708,2-s2.0-77951763708
10,Bo T.,Do predators condition the distribution of prey within micro habitats? An experiment with stoneflies (plecoptera),2010,International Review of Hydrobiology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77953530649&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77953530649&origin=inward,,2026-04-12 18:38:39,Article,10.1002/iroh.200911228,14342944,https://api.elsevier.com/content/abstract/scopus_id/77953530649,95,3,,,,0.67,10.0,1,15,"Abstract The selection of habitat by macroinvertebrates living in running waters may be influenced by the physical characteristics of the substratum, as well as by the presence of other species. In this study, an artificial river with three different substrata (pebbles, detritus, and leaves) was utilized to analyze the microhabitat preference of two Plecoptera prey species ( Amphinemura sulcicollis and Brachyptera risi ), both in absence and in presence of a Plecoptera predator species ( Perla marginata ). In the absence of predators, both prey species showed a clear preference for the leaf microhabitat. When the predators were present, only Brachyptera risi showed a change of microhabitat selection, with a decrease of leaves and an increase of pebbles and detritus utilization. Amphinemura sulcicollis did not change their substratum utilization. This study demonstrates that the presence of a predator may affect microhabitat selection through a switch from the preferred to the less preferred substrata, although not all species change their habitat utilization in response to predator presence. (© 2010 WILEY‐VCH Verlag GmbH &amp; Co. KGaA, Weinheim)",,,77953530649,2-s2.0-77953530649
9,Corbin T.A.,Habitat and water quality preferences of mayflies and stoneflies from South Australian streams,2010,Transactions of the Royal Society of South Australia,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79961119873&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79961119873&origin=inward,,2026-04-12 18:38:39,Article,10.1080/3721426.2010.10887129,03721426,https://api.elsevier.com/content/abstract/scopus_id/79961119873,134,1,,,,0.6,9.0,1,15,"AbstractUnderstanding habitat and water quality preferences of macroinvertebrates can provide important information to support biological assessments. The preferences of the nymphal stages of eight mayfly and five stonefly species were assessed from 650 stream sites in South Australia. The stoneflies showed similar preferences for flowing freshwater streams in cooler, wetter regions, with medium sized sediment (particularly cobbles), dense riparian cover, low conductivity, low nutrients and high colour. The mayflies were more variable with two species preferring permanent, non-flowing pools throughout the State, including arid streams, while others occurred more frequently in streams where the annual average rainfall exceeds 600 mm. These preferences may provide additional information to help derive national water quality guidelines. Results from this study suggest that current trigger values for TN, TP, turbidity and possibly conductivity for south-central Australia may be too high to protect these insect orders. The assumption that all stoneflies and mayflies are sensitive taxa and indicative of high quality streams through the use of EPT metrics and family level identifications is questioned, particularly for semi-arid and arid streams where at least some baetid and caenid mayflies can tolerate harsh climatic conditions.Keywords: Preferencesmayfliesstoneflieshabitatwater qualitycatchment characteristicsdistributiontolerancesGripopterygidaeNotonemouridaeBaetidaeLeptophlebiidaeCaenidae",,,79961119873,2-s2.0-79961119873
2,Tarter D.C.,"New state, county, and drainage basin records of West Virginia (USA) stoneflies (Plecoptera)",2010,Entomological News,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79959926956&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79959926956&origin=inward,,2026-04-12 18:38:39,Article,10.3157/021.121.0206,0013872X,https://api.elsevier.com/content/abstract/scopus_id/79959926956,121,2,,,,0.13,2.0,1,15,"Based on recent collections, the checklist of the stoneflies of West Virginia is updated to include 140 species. Four state records, 154 county records and 16 drainage basin records are added to the plecopteran fauna of the state. Range extensions are noted for Perlesta lagoi Stark, P. shubata Stark, P. puttmanni Kondratieff and Kirchner and Neoperla robisoni Poulton and Stewart. Distributions of the new records in seven major drainage basins of West Virginia are presented.",,,79959926956,2-s2.0-79959926956
2,Gamboa M.,Population status of insects of Plecoptera order in Sierra Nevada National Park in Venezuela and its implications for conservation planning,2010,Revista De Biologia Tropical,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=78650712787&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78650712787&origin=inward,,2026-04-12 18:38:39,Article,,00347744,https://api.elsevier.com/content/abstract/scopus_id/78650712787,58,4,,,,0.13,2.0,1,15,__ABSTRACT_UNAVAILABLE__,,,78650712787,2-s2.0-78650712787
4,Bolton M.,"New state records of aquatic insects for Ohio, U.S.A. (Ephemeroptera, Plecoptera, Trichoptera, Coleoptera)",2010,Entomological News,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79954455679&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79954455679&origin=inward,,2026-04-12 18:38:39,Article,10.3157/021.121.0115,0013872X,https://api.elsevier.com/content/abstract/scopus_id/79954455679,121,1,,,,0.27,4.0,1,15,"Biomonitoring of Ohio streams by the Ohio Environmental Protection Agency has found new state records for the Ephemeroptera (mayflies): Baetis brunneicolor McDunnough, Iswaeon anoka (Daggy), Paracloeodes fleeki McCafferty and Lenat, Plauditus cestus (Provonsha and McCafferty), and Rhithrogena manifesta Eaton; the Plecoptera (stoneflies): Pteronarcys cf. biloba Newman; the Trichoptera (caddisflies): Brachycentrus numerosus (Say) and Psiloireta rufa (Hagen); and the Coleoptera (beetles): Gyretes sinuatus LeConte, Dicranopselaphus variegatus Horn, and Microcylloepus pusillus (Le Conte). Additional records are given for the mayfly Paracloeodes minutus (Daggy).",,,79954455679,2-s2.0-79954455679
9,De Figueroa J.M.T.,"Protonemura gevi sp. N., A cavernicolous new species of stonefly (Insecta: Plecoptera)",2010,Zootaxa,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77953818783&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77953818783&origin=inward,,2026-04-12 18:38:39,Article,10.11646/zootaxa.2365.1.2,11755326,https://api.elsevier.com/content/abstract/scopus_id/77953818783,,2365,,,,0.6,9.0,1,15,"A new species of Plecoptera, Protonemura gevi sp. n., is described from both adults and nymphs from the Southern Iberian Peninsula. It is quite probable that this species finishes its entire life cycle within a 60 m deep cave. Morphologically, P. gevi is brachypterous, has extremely long antennae, and has small eyes, all features that may have been accentuated in a cave environment.",,,77953818783,2-s2.0-77953818783
4,Cao T.K.T.,"Togoperla thinhi, a new stonefly from central vietnam (Plecoptera: Perlidae)",2010,Animal Cells and Systems,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79957658449&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79957658449&origin=inward,,2026-04-12 18:38:39,Article,10.1080/19768354.2010.504349,19768354,https://api.elsevier.com/content/abstract/scopus_id/79957658449,14,3,,,,0.27,4.0,1,15,"Abstract A new and rare perlid stonefly, Togoperla thinhi n. sp., is described from male and female adults and egg specimens from tropical central Vietnam. The male adult of T. thinhi n. sp. can be distinguished from other congeners by the distinct head markings, bilobed processes on the posterior margin of the abdominal tergum V, and S-shaped aedeagus. The female adult has a long and tongue-shaped subgenital plate on the abdominal sternum VIII, which extends to the posterior margin of the abdominal sternum IX. A male key to the Vietnamese species of Togoperla is provided. The finding of this new species provides evidence of an extension of the geographical distribution of Togoperla to tropical mainland Southeast Asia.",,,79957658449,2-s2.0-79957658449
12,Fenoglio S.,"Life cycle and nymphal feeding of Besdolus ravizzarum (Plecoptera: Perlodidae), a threatened stonefly",2010,Insect Science,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77952919794&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77952919794&origin=inward,,2026-04-12 18:38:39,Article,10.1111/j.1744-7917.2009.01300.x,16729609,https://api.elsevier.com/content/abstract/scopus_id/77952919794,17,2,,,,0.8,12.0,1,15,"Abstract We have studied some aspects of Besdolus ravizzarum biology in the Apennines. This stonefly has a very localized distribution in southeastern France and northern Italy. This species is considered threatened. For this reason it is especially relevant to improve knowledge about its natural history, previously unknown. Despite the large size of nymphs, this species shows a univoltine life cycle. The growth is slow but uniform from October to April or May when the short flight period occurs. The analysis of the gut contents indicates this species is a predator, feeding mainly on Baetidae and Chironomidae. It is notable that the development of this carnivorous species through cold periods coincides with the season with higher richness and density of potential prey in Apennine streams. Further studies are needed to improve knowledge of the distribution of the species and to start planning effective conservation efforts.",,,77952919794,2-s2.0-77952919794
