Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,ScopusID,EID
13,Okano J.,The role of particle surface texture on case material selection and silk lining in caddis flies,2010,Behavioral Ecology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77954357245&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77954357245&origin=inward,,2026-01-16 11:26:26,Article,10.1093/beheco/arq066,10452249,https://api.elsevier.com/content/abstract/scopus_id/77954357245,21,4,,,,0.87,13.0,1,15,,,,77954357245,2-s2.0-77954357245
3,Cartwright D.I.,Studies of australian hydrobiosella tillyard: A review of the australian species of the hydrobiosella bispina kimmins group (trichoptera: Philopotamidae),2010,Memoirs of Museum Victoria,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=78650822359&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78650822359&origin=inward,,2026-01-16 11:26:26,Article,10.24199/j.mmv.2010.67.01,14472546,https://api.elsevier.com/content/abstract/scopus_id/78650822359,67,1,,,,0.2,3.0,1,15,,,,78650822359,2-s2.0-78650822359
33,Robertson B.,Glass buildings as bird feeders: Urban birds exploit insects trapped by polarized light pollution,2010,Acta Zoologica Academiae Scientiarum Hungaricae,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77957904107&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77957904107&origin=inward,,2026-01-16 11:26:26,Article,,12178837,https://api.elsevier.com/content/abstract/scopus_id/77957904107,56,3,,,,2.2,33.0,1,15,,,,77957904107,2-s2.0-77957904107
24,Tsukada M.,Physical properties and structure of aquatic silk fiber from Stenopsyche marmorata,2010,International Journal of Biological Macromolecules,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=71849104199&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=71849104199&origin=inward,,2026-01-16 11:26:26,Article,10.1016/j.ijbiomac.2009.10.003,01418130,https://api.elsevier.com/content/abstract/scopus_id/71849104199,46,1,,,,1.6,24.0,1,15,,,,71849104199,2-s2.0-71849104199
8,Miedinger D.,Occupational asthma to caddis flies (Phryganeiae),2010,Occupational and Environmental Medicine,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77955606300&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77955606300&origin=inward,,2026-01-16 11:26:26,Letter,10.1136/oem.2009.053652,13510711,https://api.elsevier.com/content/abstract/scopus_id/77955606300,67,7,,,,0.53,8.0,1,15,,,,77955606300,2-s2.0-77955606300
12,Skuja A.,Influence of environmental factors on the distribution of caddisfly (Trichoptera) communities in medium-sized lowland streams in Latvia,2010,Estonian Journal of Ecology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77957257758&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77957257758&origin=inward,,2026-01-16 11:26:26,Article,10.3176/eco.2010.3.03,1736602X,https://api.elsevier.com/content/abstract/scopus_id/77957257758,59,3,,,,0.8,12.0,1,15,,,,77957257758,2-s2.0-77957257758
108,Horváth G.,Reducing the maladaptive attractiveness of solar panels to polarotactic insects,2010,Conservation Biology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=78349252624&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78349252624&origin=inward,,2026-01-16 11:26:26,Article,10.1111/j.1523-1739.2010.01518.x,08888892,https://api.elsevier.com/content/abstract/scopus_id/78349252624,24,6,,,,7.2,108.0,1,15,,,,78349252624,2-s2.0-78349252624
7,Davis S.R.,A pupal caddisfly from the Early Cretaceous of China (Trichoptera),2010,Cretaceous Research,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77954658741&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77954658741&origin=inward,,2026-01-16 11:26:26,Article,10.1016/j.cretres.2010.05.001,01956671,https://api.elsevier.com/content/abstract/scopus_id/77954658741,31,4,,,,0.47,7.0,1,15,,,,77954658741,2-s2.0-77954658741
3,Lenat D.R.,Caddisfly (Trichoptera) records for North Carolina,2010,Southeastern Naturalist,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77954421094&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77954421094&origin=inward,,2026-01-16 11:26:26,Article,10.1656/058.009.0202,15287092,https://api.elsevier.com/content/abstract/scopus_id/77954421094,9,2,,,,0.2,3.0,1,15,,,,77954421094,2-s2.0-77954421094
2,Arefina-Armitage T.,"A new caddisfly genus (Trichoptera, Odontoceridae) from Vietnam",2010,Zookeys,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=78149452872&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78149452872&origin=inward,,2026-01-16 11:26:26,Article,10.3897/zookeys.65.489,13132989,https://api.elsevier.com/content/abstract/scopus_id/78149452872,65,,,,,0.13,2.0,1,15,,,,78149452872,2-s2.0-78149452872
