Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
39,M. Springer,[Fresh water macroinvertebrates of Costa Rica I].,2010,Revista De Biologia Tropical,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84856623971&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84856623971&origin=inward,38,2026-01-04 11:53:35,Article,,0034-7744,https://api.elsevier.com/content/abstract/scopus_id/84856623971,58.0,,,,39,2.44,39,1,16,,,
16,N.L. Bazinet,"A comparison of urbanization effects on stream benthic macroinvertebrates and water chemistry in an urban and an urbanizing basin in Southern Ontario, Canada",2010,Water Quality Research Journal of Canada,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79958027359&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79958027359&origin=inward,92,2026-01-04 11:53:35,Article,10.2166/wqrj.2010.035,1201-3080,https://api.elsevier.com/content/abstract/scopus_id/79958027359,45.0,3.0,327.0,341.0,16,1.0,16,1,16,,,
12,L. Dumas,A dwarfish new species of Phylloicus (Trichoptera: Calamoceratidae) from Southeastern Brazil,2010,Zoologia,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=78650067767&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78650067767&origin=inward,108,2026-01-04 11:53:35,Article,10.1590/S1984-46702010000200016,1984-4670,https://api.elsevier.com/content/abstract/scopus_id/78650067767,27.0,2.0,309.0,312.0,12,0.75,12,1,16,,,
1,J. Steuer,A generalized watershed disturbance-invertebrate relation applicable in a range of environmental settings across the continental United States,2010,Urban Ecosystems,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77957797799&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77957797799&origin=inward,180,2026-01-04 11:53:35,Article,10.1007/s11252-010-0131-x,1083-8155,https://api.elsevier.com/content/abstract/scopus_id/77957797799,13.0,4.0,415.0,424.0,1,0.06,1,1,16,,,
2,T. Arefina-Armitage,"A new caddisfly genus (Trichoptera, Odontoceridae) from Vietnam",2010,Zookeys,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=78149452872&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78149452872&origin=inward,169,2026-01-04 11:53:35,Article,10.3897/zookeys.65.489,1313-2989,https://api.elsevier.com/content/abstract/scopus_id/78149452872,65.0,,1.0,15.0,2,0.13,2,1,16,,,
8,L. Dumas,"A new long-horned caddisfly in the genus triplectides Kolenati (Trichoptera: Leptoceridae) from the Itatiaia massif, southeastern Brazil",2010,Neotropical Entomology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79951573046&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79951573046&origin=inward,125,2026-01-04 11:53:35,Article,10.1590/S1519-566X2010000600016,1519-566X,https://api.elsevier.com/content/abstract/scopus_id/79951573046,39.0,6.0,949.0,951.0,8,0.5,8,1,16,,,
3,M.A. González,A new species of Rhyacophila (Trichoptera: Rhyacophilidae) from the Iberian Peninsula,2010,Aquatic Insects,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77955676049&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77955676049&origin=inward,164,2026-01-04 11:53:35,Article,10.1080/01650420903128008,0165-0424,https://api.elsevier.com/content/abstract/scopus_id/77955676049,32.0,3.0,163.0,165.0,3,0.19,3,1,16,,,
2,T. Ito,"A new species of the genus Palaeagapetus Ulmer (Trichoptera, Hydroptilidae) from Japan",2010,Limnology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=75949116462&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=75949116462&origin=inward,177,2026-01-04 11:53:35,Article,10.1007/s10201-009-0276-6,1439-8621,https://api.elsevier.com/content/abstract/scopus_id/75949116462,11.0,1.0,1.0,3.0,2,0.13,2,1,16,,,
33,C.M. Aura,"A preliminary macroinvertebrate Index of Biotic Integrity for bioassessment of the Kipkaren and Sosiani Rivers, Nzoia River basin, Kenya",2010,Lakes and Reservoirs Science Policy and Management for Sustainable Use,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77954397673&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77954397673&origin=inward,47,2026-01-04 11:53:35,Article,10.1111/j.1440-1770.2010.00432.x,1320-5331,https://api.elsevier.com/content/abstract/scopus_id/77954397673,15.0,2.0,119.0,128.0,33,2.06,33,1,16,,,
7,S.R. Davis,A pupal caddisfly from the Early Cretaceous of China (Trichoptera),2010,Cretaceous Research,,https://api.elsevier.com/content/article/eid/1-s2.0-S0195667110000224,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77954658741&origin=inward,138,2026-01-04 11:53:35,Article,10.1016/j.cretres.2010.05.001,0195-6671,https://api.elsevier.com/content/abstract/scopus_id/77954658741,31.0,4.0,396.0,399.0,7,0.44,7,1,16,,,
8,A. Santos,"A remarkable new species of Phylloicus (Trichoptera: Calamoceratidae) from central Amazonia, Brazil",2010,Aquatic Insects,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=78650061289&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78650061289&origin=inward,122,2026-01-04 11:53:35,Article,10.1080/01650424.2010.508046,0165-0424,https://api.elsevier.com/content/abstract/scopus_id/78650061289,32.0,4.0,321.0,326.0,8,0.5,8,1,16,,,
110,R.J. Stewart,Adaptation of caddisfly larval silks to aquatic habitats by phosphorylation of h-fibroin serines,2010,Biomacromolecules,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77950845516&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77950845516&origin=inward,4,2026-01-04 11:53:35,Article,10.1021/bm901426d,1525-7797,https://api.elsevier.com/content/abstract/scopus_id/77950845516,11.0,4.0,969.0,974.0,110,6.88,110,1,16,,,
