Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1,"PJ Suter, JM Webb, JL Gattolllliat","'Skolomystax', a new genus for the Australian species formerly included in'Centroptilum'Eaton (Ephemeroptera: Baetidae)",2023,"Memoirs of Museum Victoria","search.informit.org","https://search.informit.org/doi/abs/10.3316/informit.464452720799335","https://scholar.google.com/scholar?cites=1635256429370761399&as_sdt=2005&sciodt=0,5&hl=en",140,"2026-04-12 17:22:08","","10.3316/informit.464452720799335","",,,,,,1,0.33,0,3,3,"A new genus, Skolomystax n. gen. is described to include the Australian mayflies previously assigned to the genus Centroptilum (Baetidae). Based on an integrated taxonomic analysis …","https://search.informit.org/doi/pdf/10.3316/informit.464452720799335","https://scholar.google.com/scholar?q=related:t2BR_Q6ZsRYJ:scholar.google.com/&scioq=ephemeroptera%7Cmayfly%7Cmayflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
0,"I Cooper","1632 Airship Ground Handling: Appendix and Bibliography",,"author.1632magazine.com","","https://author.1632magazine.com/wp-content/uploads/2023/07/Bibliography-Airship-Ground-Handling.pdf","",925,"2026-04-12 17:22:08","PDF","","",,,,,,0,0.00,0,1,,"… The British Cavendish dock, prepared for the ill-fated British Mayfly, floated, but it did not … Nonetheless, while trying to move her out, the Mayfly was caught by a beam gust and broke …","https://author.1632magazine.com/wp-content/uploads/2023/07/Bibliography-Airship-Ground-Handling.pdf","https://scholar.google.com/scholar?q=related:1EG2IV3-plAJ:scholar.google.com/&scioq=ephemeroptera%7Cmayfly%7Cmayflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
0,"E DE, CDELRÍO LUJÁN","1Departamento de Ciencias Básicas-UNLu. 2 INEDES (CONICET-UNLu) 3. CONICET. E-mail: andreacasset@ hotmail. com",,"ESTUDIOS DE LA CUENCA DEL RÍO LUJÁN …","ri.unlu.edu.ar","https://ri.unlu.edu.ar/xmlui/bitstream/handle/rediunlu/1959/Cuenca%25202022_DIGITAL.pdf?sequence=1&isAllowed=y#page=21","",974,"2026-04-12 17:22:08","PDF","","",,,,,,0,0.00,0,2,,"… Entre otros Diptera se pueden mencionar Tipulidae, Culicidae, Stratyomidae, y Dolichopodidae, y entre otras larvas de insectos debemos resaltar la presencia de Ephemeroptera (…","https://ri.unlu.edu.ar/xmlui/bitstream/handle/rediunlu/1959/Cuenca%25202022_DIGITAL.pdf?sequence=1&isAllowed=y#page=21","https://scholar.google.com/scholar?q=related:UyuAesKlES4J:scholar.google.com/&scioq=ephemeroptera%7Cmayfly%7Cmayflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
0,"J Dietrich","2023 Annual Report: The Ecological Monitoring of Barrier Mitigation Projects in the New York State Portion of the Great Lakes Watershed",2023,"","ecommons.cornell.edu","https://ecommons.cornell.edu/bitstreams/c89eb17c-8d37-42d6-9a16-2debebc1d608/download","",720,"2026-04-12 17:22:08","PDF","","",,,,,,0,0.00,0,1,3,"… Mean abundance differences were significantly lower withing the upstream impoundment compared to the downstream stream reach for mayflies (p=0.0141), caddisflies (p=0.0031), …","https://ecommons.cornell.edu/bitstreams/c89eb17c-8d37-42d6-9a16-2debebc1d608/download","https://scholar.google.com/scholar?q=related:-DkGl08t6WMJ:scholar.google.com/&scioq=ephemeroptera%7Cmayfly%7Cmayflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
0,"P Priya, SS Kamlu","5G-Assisted UDV Networks Based on Energy-Efficient Optimal Route Scheduling for Smart City",2023,"Smart Cities","taylorfrancis.com","https://www.taylorfrancis.com/chapters/edit/10.1201/9781003376064-14/5g-assisted-udv-networks-based-energy-efficient-optimal-route-scheduling-smart-city-parul-priya-sushma-kamlu","",503,"2026-04-12 17:22:08","","10.1201/9781003376064-14/5g-assisted-udv-networks-based-energy-efficient-optimal-route-scheduling-smart-city-parul-priya-sushma-kamlu","",,,,,,0,0.00,0,2,3,"… To secure optimal route planning, a bunch of relevant mayflies linger over their nuptial … The female then fly apropos the male mayflies to begin the mating step. Female mayfly 2 mf …","","https://scholar.google.com/scholar?q=related:LRU6vyXa4VYJ:scholar.google.com/&scioq=ephemeroptera%7Cmayfly%7Cmayflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
23,"K Mastrothanasis, K Zervoudakis, M Kladaki…","A bio-inspired computational classifier system for the evaluation of children's theatrical anxiety at school",2023,"Education and …","Springer","https://link.springer.com/article/10.1007/s10639-023-11645-4","https://scholar.google.com/scholar?cites=3391909357755217620&as_sdt=2005&sciodt=0,5&hl=en",452,"2026-04-12 17:22:08","HTML","10.1007/s10639-023-11645-4","",,,,,,23,7.67,6,4,3,"… A Mayfly-based clustering optimization algorithm is applied on a dataset with 774 instances of … 3 and 4, the Mayfly optimization algorithm and the purpose of the study are described, …","https://link.springer.com/article/10.1007/s10639-023-11645-4","https://scholar.google.com/scholar?q=related:1LZS-5Z7Ei8J:scholar.google.com/&scioq=ephemeroptera%7Cmayfly%7Cmayflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
5,"CEO González","A comparative analysis of sampling methods for aquatic macroinvertebrates",2023,"","preprints.org","https://www.preprints.org/frontend/manuscript/23b02cd99ed71f147af7f75e1fe6592f/download_pub","https://scholar.google.com/scholar?cites=16800298697577930901&as_sdt=2005&sciodt=0,5&hl=en",566,"2026-04-12 17:22:08","PDF","","",,,,,,5,1.67,5,1,3,"… [4] demonstrated the sensitivity of mayflies (Ephemeroptera) and stoneflies (Plecoptera) to sediment pollution in a stream ecosystem. Sampling aquatic macroinvertebrates is a …","https://www.preprints.org/frontend/manuscript/23b02cd99ed71f147af7f75e1fe6592f/download_pub","https://scholar.google.com/scholar?q=related:lSCXVaemJukJ:scholar.google.com/&scioq=ephemeroptera%7Cmayfly%7Cmayflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
2,"NT Long, HTM Phuong, NT Binh","A comparative study of wrapper feature selection techniques in software fault prediction",2023,"Conference on Information Technology …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-36886-8_6","https://scholar.google.com/scholar?cites=4048207145427736098&as_sdt=2005&sciodt=0,5&hl=en",434,"2026-04-12 17:22:08","","10.1007/978-3-031-36886-8_6","",,,,,,2,0.67,1,3,3,"… Inspired from the flight behavior and the mating process of mayflies, the Mayfly … MA, the mayfly swarms would be separated into male and female individuals. Specially, the male mayflies …","","https://scholar.google.com/scholar?q=related:IhZrUPMeLjgJ:scholar.google.com/&scioq=ephemeroptera%7Cmayfly%7Cmayflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
0,"TL Nguyen, TMP Ha, TB Nguyen","A Comparative Study of Wrapper Feature Selection Techniques in Software Fault Prediction",2023,"","elib.vku.udn.vn","https://elib.vku.udn.vn/handle/123456789/2746","",914,"2026-04-12 17:22:08","","","",,,,,,0,0.00,0,3,3,"Software fault prediction aims to classify whether the module is defective or not-defective. In software systems, there are some software metrics may contain irrelevant or redundant …","","https://scholar.google.com/scholar?q=related:3_RKs8upxAQJ:scholar.google.com/&scioq=ephemeroptera%7Cmayfly%7Cmayflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
0,"XF Chen, CF Zhou","A contribution to knowledge of Procloeon Bengtsson, 1915 from the Chinese mainland (Ephemeroptera: Baetidae) with description of a new species.",2023,"Zootaxa","europepmc.org","https://europepmc.org/article/med/38221412","",167,"2026-04-12 17:22:08","","","",,,,,,0,0.00,0,2,3,"The mayflies of the genus Procloeon Bengtsson, 1915 are common insects in China. However, partially because of its complicated taxonomic history and numerous species, this genus …","","https://scholar.google.com/scholar?q=related:tAuZUb0yuI8J:scholar.google.com/&scioq=ephemeroptera%7Cmayfly%7Cmayflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
