Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2,"HR Davison, J Crozier, S Pirro…","'Candidatus Tisiphia' is a widespread Rickettsiaceae symbiont in the mosquito Anopheles plumbeus (Diptera: Culicidae)",2023,"Environmental …","Wiley Online Library","https://enviromicro-journals.onlinelibrary.wiley.com/doi/abs/10.1111/1462-2920.16486","https://scholar.google.com/scholar?cites=3265759528380796090&as_sdt=2005&sciodt=0,5&hl=en",939,"2026-04-12 16:24:33","","10.1111/1462-2920.16486","",,,,,,2,0.67,1,4,3,"Symbiotic bacteria can alter host biology by providing protection from natural enemies, or alter reproduction or vectoral competence. Symbiont‐linked control of vector‐borne disease in …","https://enviromicro-journals.onlinelibrary.wiley.com/doi/pdf/10.1111/1462-2920.16486","https://scholar.google.com/scholar?q=related:ugz8Av1OUi0J:scholar.google.com/&scioq=mosquito%7Cmosquitoes%7Cculicidae&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
10,"PGV Liggri, A Pérez-Garrido, KE Tsitsanou…","2D finger-printing and molecular docking studies identified potent mosquito repellents targeting odorant binding protein 1",2023,"Insect Biochemistry and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0965174823000553","https://scholar.google.com/scholar?cites=5200993019784296742&as_sdt=2005&sciodt=0,5&hl=en",508,"2026-04-12 16:24:33","","","",,,,,,10,3.33,3,4,3,"Personal protection measures against the mosquitoes like the use of repellents constitute valuable tools in the effort to prevent the transmission of vector-borne diseases. Therefore, the …","https://repositorio.ucam.edu/bitstream/handle/10952/9080/IB-D-22-00330_R1_Export.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:JnmHb5ijLUgJ:scholar.google.com/&scioq=mosquito%7Cmosquitoes%7Cculicidae&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
3,"L Feugère, JH Seo, U Ismail, G Gibson…","3D audio-visual recordings of mosquito wings for aeroacoustic simulation",2023,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2401.01026","https://scholar.google.com/scholar?cites=1881541135290178914&as_sdt=2005&sciodt=0,5&hl=en",967,"2026-04-12 16:24:33","","","",,,,,,3,1.00,1,5,3,"… for untethered, freeflying mosquitoes, but the tools that … in mosquitoes. By combining computational modeling with biological assays, we generate frequency polar pattern of mosquitoes …","https://arxiv.org/pdf/2401.01026","https://scholar.google.com/scholar?q=related:Yp1Bl7GTHBoJ:scholar.google.com/&scioq=mosquito%7Cmosquitoes%7Cculicidae&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
7,"Z Lin, J Cheng, X Mu, X Kuang, Z Li…","A C-type lectin in saliva of Aedes albopictus (Diptera: Culicidae) bind and agglutinate microorganisms with broad spectrum",2023,"Journal of Insect …","academic.oup.com","https://academic.oup.com/jinsectscience/article-abstract/23/4/1/7218279","https://scholar.google.com/scholar?cites=2412019313706547872&as_sdt=2005&sciodt=0,5&hl=en",686,"2026-04-12 16:24:33","","","",,,,,,7,2.33,1,6,3,"… The results showed that Aalb_CTL2 was found to be specifically expressed in mosquito … mosquito to resist microorganism multiplication in sugar and blood meals to help mosquito …","https://academic.oup.com/jinsectscience/article/23/4/1/7218279","https://scholar.google.com/scholar?q=related:oDrcUMk2eSEJ:scholar.google.com/&scioq=mosquito%7Cmosquitoes%7Cculicidae&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
9,"H Tissera, DSAF Dheerasinghe, N Malavige…","A cluster-randomized, placebo-controlled trial to evaluate the efficacy of a spatial repellent (Mosquito Shield™) against Aedes-borne virus infection among …",2023,"Trials","Springer","https://link.springer.com/article/10.1186/s13063-022-06998-z","https://scholar.google.com/scholar?cites=7931954204998533247&as_sdt=2005&sciodt=0,5&hl=en",754,"2026-04-12 16:24:33","HTML","10.1186/s13063-022-06998-z","",,,,,,9,3.00,2,4,3,"… SRs drive mosquitoes away from a treated space. Toxins kill mosquitoes, and irritants are compounds that rely on contact between the mosquito and a treated surface to prevent resting. …","https://link.springer.com/article/10.1186/s13063-022-06998-z","https://scholar.google.com/scholar?q=related:f4Ca-1L2E24J:scholar.google.com/&scioq=mosquito%7Cmosquitoes%7Cculicidae&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
13,"T Kebede, B Tesema, A Mesfin…","A Community‐Level Knowledge, Attitude, and Practice about Dengue Fever and the Identification of Mosquito Breeding Containers in Dire Dawa City of Ethiopia: A …",2023,"Canadian Journal of …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1155/2023/4349078","https://scholar.google.com/scholar?cites=13466462309145387087&as_sdt=2005&sciodt=0,5&hl=en",526,"2026-04-12 16:24:33","","10.1155/2023/4349078","",,,,,,13,4.33,3,4,3,"… transmission and its prevention and to identify mosquito breeding containers in Dire Dawa City, … Immature stages of mosquitoes were collected from human habitations to identify their …","https://onlinelibrary.wiley.com/doi/pdf/10.1155/2023/4349078","https://scholar.google.com/scholar?q=related:TyDMLR984roJ:scholar.google.com/&scioq=mosquito%7Cmosquitoes%7Cculicidae&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
7,"PM Airs, KE Kudrna, B Lubinski, Y Phanse…","A comparative analysis of RNAi trigger uptake and distribution in mosquito vectors of disease",2023,"Insects","mdpi.com","https://www.mdpi.com/2075-4450/14/6/556","https://scholar.google.com/scholar?cites=1836549744033560247&as_sdt=2005&sciodt=0,5&hl=en",547,"2026-04-12 16:24:33","HTML","","",,,,,,7,2.33,1,5,3,"… In mosquitoes, researchers introduce dsRNA to study an … in mosquitoes has yet to be characterized. In this work, dsRNA sequences were fluorescently labeled and tracked in mosquito …","https://www.mdpi.com/2075-4450/14/6/556","https://scholar.google.com/scholar?q=related:t3Z0AUO8fBkJ:scholar.google.com/&scioq=mosquito%7Cmosquitoes%7Cculicidae&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
3,"R Jahangir, MFUA Juboraj, MT Islam…","A Conceptual Framework of an Automated Mosquito Control in Drainage Systems for Combating Dengue in Bangladesh",2023,"… on Computer and …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10441613/","https://scholar.google.com/scholar?cites=2058890621498906181&as_sdt=2005&sciodt=0,5&hl=en",817,"2026-04-12 16:24:33","","","",,,,,,3,1.00,1,4,3,"… -based smart mosquito trapping system for preventing mosquito-… mosquito image processing mechanism to detect mosquitoes. Neural networks have been used to classify mosquitoes …","https://www.researchgate.net/profile/Raiyan-Jahangir/publication/378527251_A_Conceptual_Framework_of_an_Automated_Mosquito_Control_in_Drainage_Systems_for_Combating_Dengue_in_Bangladesh/links/65e1e58fadc608480af26142/A-Conceptual-Framework-of-an-Automated-Mosquito-Control-in-Drainage-Systems-for-Combating-Dengue-in-Bangladesh.pdf","https://scholar.google.com/scholar?q=related:RVbTnRymkhwJ:scholar.google.com/&scioq=mosquito%7Cmosquitoes%7Cculicidae&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
12,"SY Zhao, GL Hughes, KL Coon","A cryopreservation method to recover laboratory-and field-derived bacterial communities from mosquito larval habitats",2023,"PLOS Neglected Tropical …","journals.plos.org","https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0011234","https://scholar.google.com/scholar?cites=11029774939539874511&as_sdt=2005&sciodt=0,5&hl=en",328,"2026-04-12 16:24:33","HTML","","",,,,,,12,4.00,4,3,3,"… variation on phenotypic outcomes of mosquitoes is often unaccounted for. … of mosquito-microbiota interactions has also greatly limited our ability to identify microbial targets for mosquito-…","https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0011234","https://scholar.google.com/scholar?q=related:z6LHh96hEZkJ:scholar.google.com/&scioq=mosquito%7Cmosquitoes%7Cculicidae&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
12,"A Tsantalidou, G Arvanitakis, AK Georgoulias…","A data driven approach for analyzing the effect of climate change on mosquito abundance in europe",2023,"Remote Sensing","mdpi.com","https://www.mdpi.com/2072-4292/15/24/5649","https://scholar.google.com/scholar?cites=11011756939138900874&as_sdt=2005&sciodt=0,5&hl=en",86,"2026-04-12 16:24:33","HTML","","",,,,,,12,4.00,3,4,3,"… mosquito abundance increases. Moreover, we show that in the upcoming decades mosquito … gas concentration lead to similar levels of future mosquito abundance, as opposed to no …","https://www.mdpi.com/2072-4292/15/24/5649","https://scholar.google.com/scholar?q=related:iiNR5pee0ZgJ:scholar.google.com/&scioq=mosquito%7Cmosquitoes%7Cculicidae&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
