Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"NE ROWE, CBE ESQ, M dear Norbert",""" DRAGONFLY"" TIE",,"cambridge.org","","https://www.cambridge.org/core/journals/the-journal-of-the-helicopter-association-of-great-britain/article/notices/917401ACE5A683C049B4C619F14BC306","",523,"2026-04-12 18:56:36","","","",,,,,,0,0.00,0,3,,"The tie would be of dark maroon terylene, embroidered with the Dragonfly emblem of the Association, and would cost£ 1 including postage Members wishing to obtain a tie are invited …","","https://scholar.google.com/scholar?q=related:NLJesRuFTN8J:scholar.google.com/&scioq=odonata%7Cdragonfly%7Cdragonflies%7Cdamselfly%7Cdamselflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
1,"E Denck, J Ehlert, AP Pinto","150th anniversary of Alberto Santos-Dumont's birth, the father of aviation: the damselfly Cyanallagma demoiselle sp. nov. from the Brazilian Atlantic Forest (Odonata …",2023,"International Journal of Odonatology","biotaxa.org","https://www.biotaxa.org/ijo/article/view/84771","https://scholar.google.com/scholar?cites=12361447979916295784&as_sdt=2005&sciodt=0,5&hl=en",285,"2026-04-12 18:56:36","","","",,,,,,1,0.33,0,3,3,"Cyanallagma demoiselle sp. nov.(holotype male deposited in DZUP: Brazil, São Paulo State, Cananéia, Ilha do Cardoso State Park), a new small greenish blue and black damselfly, is …","https://www.biotaxa.org/ijo/article/download/84771/79678","https://scholar.google.com/scholar?q=related:aH5hqHGvjKsJ:scholar.google.com/&scioq=odonata%7Cdragonfly%7Cdragonflies%7Cdamselfly%7Cdamselflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
0,"H White","1963 Historic meeting of North American Odonata specialists at Purdue University",,"researchgate.net","","https://www.researchgate.net/profile/Harold-White/publication/394497534_963_Historic_meeting_of_North_American_Odonata_specialists_at_Purdue_University/links/689f3d662c7d3e0029b10ad1/963-Historic-meeting-of-North-American-Odonata-specialists-at-Purdue-University.pdf","",538,"2026-04-12 18:56:36","PDF","","",,,,,,0,0.00,0,1,,"A little over 60 years ago in March 1963, about 30 North American Odonata specialists met at Purdue University in a historic gathering (Fig. 1). For many years they had corresponded …","https://www.researchgate.net/profile/Harold-White/publication/394497534_963_Historic_meeting_of_North_American_Odonata_specialists_at_Purdue_University/links/689f3d662c7d3e0029b10ad1/963-Historic-meeting-of-North-American-Odonata-specialists-at-Purdue-University.pdf","https://scholar.google.com/scholar?q=related:2sl-vMqjbGwJ:scholar.google.com/&scioq=odonata%7Cdragonfly%7Cdragonflies%7Cdamselfly%7Cdamselflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
10,"YD Dwivedi, PK Mohanta, AR Paul, X Tang","3-D CFD analysis of bio-inspired corrugated wings for MAVs",2023,"Materials Today: Proceedings","Elsevier","https://www.sciencedirect.com/science/article/pii/S2214785323012555","https://scholar.google.com/scholar?cites=5434770483370632159&as_sdt=2005&sciodt=0,5&hl=en",627,"2026-04-12 18:56:36","","","",,,,,,10,3.33,3,4,3,"… The dragonfly is one of the most agile natural flyers. The dragonfly wings are not like aircraft … the mid-section of the real dragonfly forewing and simulated by the Computational Fluid …","","https://scholar.google.com/scholar?q=related:36MVwfUubEsJ:scholar.google.com/&scioq=odonata%7Cdragonfly%7Cdragonflies%7Cdamselfly%7Cdamselflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
0,"OL Katsamenis, AG Tabriz, Q Gonot-Munck, A Baudoux…","3D Printing of Personalised Carvedilol Tablets Using Selective Laser Sintering-Underlying Data",2023,"(No Title)","cir.nii.ac.jp","https://cir.nii.ac.jp/crid/1881992116319735936","",989,"2026-04-12 18:56:36","","","",,,,,,0,0.00,0,5,3,"… file) of object printed at 25% laser power<br> 10 µm voxel size isotropic SLS-3DP_OLK-CorrectRes.xlsx Analysis results &graphs X-ray CT analysis conducted using Dragonfly …","","https://scholar.google.com/scholar?q=related:l8tPWIry4jcJ:scholar.google.com/&scioq=odonata%7Cdragonfly%7Cdragonflies%7Cdamselfly%7Cdamselflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
7,"MA Patten, BR Benson","A broader flight season for Norway's Odonata across a century and a half",2023,"Oikos","Wiley Online Library","https://nsojournals.onlinelibrary.wiley.com/doi/abs/10.1111/oik.09882","https://scholar.google.com/scholar?cites=1196754319252241874&as_sdt=2005&sciodt=0,5&hl=en",78,"2026-04-12 18:56:36","","10.1111/oik.09882","",,,,,,7,2.33,4,2,3,"… We amassed flight season data for the insect order Odonata, the dragonflies and damselflies… Zygoptera, the damselflies, but not for Anisoptera, the dragonflies, or for the Odonata as a …","https://nsojournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/oik.09882","https://scholar.google.com/scholar?q=related:0r1xcra5mxAJ:scholar.google.com/&scioq=odonata%7Cdragonfly%7Cdragonflies%7Cdamselfly%7Cdamselflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
20,"ER Tolman, CD Beatty, J Bush, M Kohli…","A Chromosome-length Assembly of the Black Petaltail (Tanypteryx hageni) Dragonfly",2023,"Genome biology and …","academic.oup.com","https://academic.oup.com/gbe/article-abstract/15/3/evad024/7046113","https://scholar.google.com/scholar?cites=12110596660467479285&as_sdt=2005&sciodt=0,5&hl=en",53,"2026-04-12 18:56:36","","","",,,,,,20,6.67,4,5,3,"… dragonfly (Tanypteryx hageni), the first genome assembly for any non-libelluloid dragonfly. … a life history uncommon in the vast majority of dragonflies. We hope that the availability of this …","https://academic.oup.com/gbe/article/15/3/evad024/7046113","https://scholar.google.com/scholar?q=related:9TIyfX97EagJ:scholar.google.com/&scioq=odonata%7Cdragonfly%7Cdragonflies%7Cdamselfly%7Cdamselflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
6,"T Florez, L Comoglio, T Pinzón, CA Bota Sierra…","A collecting trip to San José del Guaviare, Colombia, with the description of a new species of Perissolestes (Zygoptera: Perilestidae)",2023,"","ri.conicet.gov.ar","https://ri.conicet.gov.ar/handle/11336/218792","https://scholar.google.com/scholar?cites=2675372448815837575&as_sdt=2005&sciodt=0,5&hl=en",544,"2026-04-12 18:56:36","","","",,,,,,6,2.00,1,5,3,"… This study aims to preliminary assess the taxonomic diversity of dragonflies and damselflies from San José del Guaviare, Guaviare Department, Colombia. A total of 47 species were …","https://ri.conicet.gov.ar/bitstream/handle/11336/218792/CONICET_Digital_Nro.b1bb44fb-cdfd-404e-b5d1-7889132bf6a2_B.pdf?sequence=2","https://scholar.google.com/scholar?q=related:h_GIRRHVICUJ:scholar.google.com/&scioq=odonata%7Cdragonfly%7Cdragonflies%7Cdamselfly%7Cdamselflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
11,"AZ Hasik, SP Tye, T Ping, AM Siepielski","A common measure of prey immune function is not constrained by the cascading effects of predators",2023,"Evolutionary Ecology","Springer","https://link.springer.com/article/10.1007/s10682-021-10124-x","https://scholar.google.com/scholar?cites=1293969396968569466&as_sdt=2005&sciodt=0,5&hl=en",703,"2026-04-12 18:56:36","","10.1007/s10682-021-10124-x","",,,,,,11,3.67,3,4,3,"… reducing damselfly densities had the greatest effect on damselfly … damselfly activity rates, since density-dependent growth in damselflies (ie, the slope relating growth rates to damselfly …","https://par.nsf.gov/servlets/purl/10326565","https://scholar.google.com/scholar?q=related:erqJkE8a9REJ:scholar.google.com/&scioq=odonata%7Cdragonfly%7Cdragonflies%7Cdamselfly%7Cdamselflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
0,"M Peckham, A Jones, T Truman, A Tucker","A Comparison of the Nike Vaporfly and Nike Dragonfly's Effect on Running Economy",2023,"","digitalcommons.hope.edu","https://digitalcommons.hope.edu/curca_22/42/","",653,"2026-04-12 18:56:36","","","",,,,,,0,0.00,0,4,3,"… the Dragonfly shoe at 14 … Dragonfly shoes result in similar running economy and stride parameters. Further research should investigate the performance of the Vaporfly and Dragonfly …","https://digitalcommons.hope.edu/cgi/viewcontent.cgi?article=1041&context=curca_22","https://scholar.google.com/scholar?q=related:nJEiEW6YzxEJ:scholar.google.com/&scioq=odonata%7Cdragonfly%7Cdragonflies%7Cdamselfly%7Cdamselflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
24,"M Joshi, K Kalita, P Jangir, I Ahmadianfar…","A conceptual comparison of dragonfly algorithm variants for CEC-2021 global optimization problems",2023,"Arabian Journal for …","Springer","https://link.springer.com/article/10.1007/s13369-022-06880-9","https://scholar.google.com/scholar?cites=16660535900063227670&as_sdt=2005&sciodt=0,5&hl=en",20,"2026-04-12 18:56:36","","10.1007/s13369-022-06880-9","",,,,,,24,8.00,5,5,3,"… dragonfly algorithm (DA) and its seven different variants, ie, hybrid memory-based dragonfly … -behaved and Gaussian mutational dragonfly algorithm (QGDA), memory-based hybrid …","","https://scholar.google.com/scholar?q=related:Fl_pOiEdNucJ:scholar.google.com/&scioq=odonata%7Cdragonfly%7Cdragonflies%7Cdamselfly%7Cdamselflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
2,"Y He, X Yang, H Han, Q Wang, H Zhang","A dragonfly-like flapping wing structure based on geometry and stiffness similarity",2023,"Acta Aeronautica et Astronautica Sinica","","","https://scholar.google.com/scholar?cites=6378746896685384158&as_sdt=2005&sciodt=0,5&hl=en",748,"2026-04-12 18:56:36","CITATION","","",,,,,,2,0.67,0,5,3,"","","https://scholar.google.com/scholar?q=related:3sEOqYHchVgJ:scholar.google.com/&scioq=odonata%7Cdragonfly%7Cdragonflies%7Cdamselfly%7Cdamselflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
35,"J Chang, X Gao, W Peng, Z Yu, Z Chu, J Gao, M Liu…","A dragonfly-wing-like energy harvester with enhanced magneto-mechano-electric coupling",2023,"Device","cell.com","https://www.cell.com/device/fulltext/S2666-9986(23)00021-2?uuid=uuid%3Aabea1ed8-ac13-45ca-b8ee-9b7f536cc78f","https://scholar.google.com/scholar?cites=16352574736595920626&as_sdt=2005&sciodt=0,5&hl=en",33,"2026-04-12 18:56:36","HTML","","",,,,,,35,11.67,4,8,3,"Energy harvesting is crucial for sustainable micropower sources, but conventional energy harvesters have limited power-generation capabilities. To address this, we introduce a novel …","https://www.cell.com/device/fulltext/S2666-9986(23)00021-2?uuid=uuid%3Aabea1ed8-ac13-45ca-b8ee-9b7f536cc78f","https://scholar.google.com/scholar?q=related:8qbTURUE8OIJ:scholar.google.com/&scioq=odonata%7Cdragonfly%7Cdragonflies%7Cdamselfly%7Cdamselflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
