Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
91,"BO Andrade, W Dröse, CA Aguiar, ET Aires…","12,500+ and counting: biodiversity of the Brazilian Pampa",2023,"Frontiers of …","escholarship.org","https://escholarship.org/uc/item/7tp2k884","https://scholar.google.com/scholar?cites=14032164388951180030&as_sdt=2005&sciodt=0,5&hl=en",904,"2026-04-12 17:51:05","","","",,,,,,91,30.33,18,5,3,"Knowledge on biodiversity is fundamental for conservation strategies. The Brazilian Pampa region, located in subtropical southern Brazil, is neglected in terms of conservation, and …","https://escholarship.org/content/qt7tp2k884/qt7tp2k884_noSplash_2efc86ba27fea775ef04f49a8ec58904.pdf","https://scholar.google.com/scholar?q=related:_kJSiSpDvMIJ:scholar.google.com/&scioq=plecoptera%7Cstonefly%7Cstoneflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
0,"J Dietrich","2023 Annual Report: The Ecological Monitoring of Barrier Mitigation Projects in the New York State Portion of the Great Lakes Watershed",2023,"","ecommons.cornell.edu","https://ecommons.cornell.edu/bitstreams/c89eb17c-8d37-42d6-9a16-2debebc1d608/download","",375,"2026-04-12 17:51:05","PDF","","",,,,,,0,0.00,0,1,3,"… Stoneflies, the taxa least tolerant of disturbance and pollution comprised 5.4% at both locations, right at the ideal 5% level as identified by the NY DEC’s %-Model Affinity model …","https://ecommons.cornell.edu/bitstreams/c89eb17c-8d37-42d6-9a16-2debebc1d608/download","https://scholar.google.com/scholar?q=related:-DkGl08t6WMJ:scholar.google.com/&scioq=plecoptera%7Cstonefly%7Cstoneflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
0,"K Dej Vignesh, R Babu…","28. Stoneflies (Insecta: Plecoptera) of Tamil Nadu",2023,"Proceedings qf the 2nd …","researchgate.net","https://www.researchgate.net/profile/Dej-Vignesh-K/publication/375692113_Stoneflies_InsectaPlecoptera_of_Tamil_Nadu/links/65564de43fa26f66f4073b1f/Stoneflies-InsectaPlecoptera-of-Tamil-Nadu.pdf","",43,"2026-04-12 17:51:05","PDF","","",,,,,,0,0.00,0,3,3,"ABSTRACT"" The Stoneflies (Order: Plecoptera) are an … The Plecoptera fauna of Tamil Nadu comprise of 15 species … quality and water temperature, stoneflies could be used to monitor …","https://www.researchgate.net/profile/Dej-Vignesh-K/publication/375692113_Stoneflies_InsectaPlecoptera_of_Tamil_Nadu/links/65564de43fa26f66f4073b1f/Stoneflies-InsectaPlecoptera-of-Tamil-Nadu.pdf","https://scholar.google.com/scholar?q=related:gJGC-LqilK0J:scholar.google.com/&scioq=plecoptera%7Cstonefly%7Cstoneflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
0,"SJ Papp","A Bükk hegység álkérészfaunája (plecoptera)",2023,"Acta Universitatis de Carolo Eszterházy Nominatae …","real.mtak.hu","https://real.mtak.hu/187966/1/147_Papp.pdf","",134,"2026-04-12 17:51:05","","","",,,,,,0,0.00,0,1,3,"Az álkérészek a szárnyas rovarok egyik ősi, többnyire gyors folyóvizekhez kötődő csoportját alkotják. Határozott környezeti igényeik miatt érzékeny indikátorszervezetek, így faunisztikai …","","https://scholar.google.com/scholar?q=related:uZMuQEyop_UJ:scholar.google.com/&scioq=plecoptera%7Cstonefly%7Cstoneflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
1,"X Ge, Z Peng, L Peng, X Jia, K Chen, C Sun, B Wang","A checklist of the caddisflies (Insecta: Trichoptera) from the middle and lower basins of Jinsha river, southwestern China; including one new species and nine …",2023,"Diversity","mdpi.com","https://www.mdpi.com/1424-2818/15/2/181","https://scholar.google.com/scholar?cites=5225104678599514811&as_sdt=2005&sciodt=0,5&hl=en",630,"2026-04-12 17:51:05","HTML","","",,,,,,1,0.33,0,7,3,"… The situation limits the application of Ephemeroptera, Plecoptera, and Trichoptera (EPT) taxa in water quality monitoring. Moreover, with this continuous process of habitat loss, it is …","https://www.mdpi.com/1424-2818/15/2/181","https://scholar.google.com/scholar?q=related:u9onegVNg0gJ:scholar.google.com/&scioq=plecoptera%7Cstonefly%7Cstoneflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
28,"F Keck, J Brantschen, F Altermatt","A combination of machine‐learning and eDNA reveals the genetic signature of environmental change at the landscape levels",2023,"Molecular Ecology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/mec.17073","https://scholar.google.com/scholar?cites=6170329478899472329&as_sdt=2005&sciodt=0,5&hl=en",523,"2026-04-12 17:51:05","","10.1111/mec.17073","",,,,,,28,9.33,9,3,3,"… Some major arthropod groups like Diptera, Coleoptera, Plecoptera and Ephemeroptera were found by both methods, although in different proportions. However, Amphipoda and …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/mec.17073","https://scholar.google.com/scholar?q=related:yZfsIPhpoVUJ:scholar.google.com/&scioq=plecoptera%7Cstonefly%7Cstoneflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
5,"CEO González","A comparative analysis of sampling methods for aquatic macroinvertebrates",2023,"","preprints.org","https://www.preprints.org/frontend/manuscript/23b02cd99ed71f147af7f75e1fe6592f/download_pub","https://scholar.google.com/scholar?cites=16800298697577930901&as_sdt=2005&sciodt=0,5&hl=en",244,"2026-04-12 17:51:05","PDF","","",,,,,,5,1.67,5,1,3,"… [4] demonstrated the sensitivity of mayflies (Ephemeroptera) and stoneflies (Plecoptera) to sediment pollution in a stream ecosystem. Sampling aquatic macroinvertebrates is a …","https://www.preprints.org/frontend/manuscript/23b02cd99ed71f147af7f75e1fe6592f/download_pub","https://scholar.google.com/scholar?q=related:lSCXVaemJukJ:scholar.google.com/&scioq=plecoptera%7Cstonefly%7Cstoneflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
15,"N Gil-Rodas, M Guevara-Mora, G Rivas…","A comparative study of several types of indices for river quality assessment",2023,"Water Quality …","iwaponline.com","https://iwaponline.com/wqrj/article/58/3/169/96108","https://scholar.google.com/scholar?cites=6723543258250683149&as_sdt=2005&sciodt=0,5&hl=en",766,"2026-04-12 17:51:05","HTML","","",,,,,,15,5.00,4,4,3,"Water is vital for humans, plants, and animals; unfortunately, some anthropogenic activities adversely alter water quality (WQ). Many indicators can be used for WQ assessment; …","https://iwaponline.com/wqrj/article/58/3/169/96108","https://scholar.google.com/scholar?q=related:DSMBdPjSTl0J:scholar.google.com/&scioq=plecoptera%7Cstonefly%7Cstoneflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
0,"R Yeardley, B Duffy, K Kimbrough…","A Comparison of Two Macroinvertebrate Multi-Plate Sampling Methods to Inform Great Lakes Monitoring and Remediation Efforts",2023,"Journal of …","pmc.ncbi.nlm.nih.gov","https://pmc.ncbi.nlm.nih.gov/articles/PMC10802910/","",855,"2026-04-12 17:51:05","HTML","","",,,,,,0,0.00,0,4,3,"Hester-Dendy (HD) multi-plate samplers have been widely used by state and federal government agencies for bioassessment of water quality through use of macroinvertebrate …","https://pmc.ncbi.nlm.nih.gov/articles/PMC10802910/","https://scholar.google.com/scholar?q=related:nsxj1OPQ7FYJ:scholar.google.com/&scioq=plecoptera%7Cstonefly%7Cstoneflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
2,"S Chaudhary","A digital database of trichomycete fungi and an investigation of seasonal effects on insect-trichomycetes networks",2023,"","search.proquest.com","https://search.proquest.com/openview/973c0139e5807958c0d9d41ec0c9967a/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?cites=16365498719768919628&as_sdt=2005&sciodt=0,5&hl=en",824,"2026-04-12 17:51:05","","","",,,,,,2,0.67,2,1,3,"Trichomycete fungi are gut symbionts of arthropods living in aquatic habitats. The lack of a central platform with accessible collection records and associated ecological metadata has …","https://utoronto.scholaris.ca/bitstreams/6c33c2fe-9bab-401a-825e-95aaebd0e8d7/download","https://scholar.google.com/scholar?q=related:TL7vo2DuHeMJ:scholar.google.com/&scioq=plecoptera%7Cstonefly%7Cstoneflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
