Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"M Ramírez-Carmona","1.8 Tricópteros, los arquitectos de los ríos",,"“Del monte baja la vida"": historia biocultural de la …","researchgate.net","https://www.researchgate.net/profile/Mauricio-Ramirez-Carmona/publication/376857084_Tricopteros_los_arquitectos_de_los_rios/links/658d10f53c472d2e8e922ab2/Tricopteros-los-arquitectos-de-los-rios.pdf","",649,"2026-01-04 09:49:12","PDF","","","",,,,,0,0.00,0,1,,"… El término ""Trichoptera"", que es el nombre científico de este Orden, proviene del griego ""trichos"" (pelo) y ""pteron"" (alas), haciendo referencia a los insectos que poseen pelos o sedas …","https://www.researchgate.net/profile/Mauricio-Ramirez-Carmona/publication/376857084_Tricopteros_los_arquitectos_de_los_rios/links/658d10f53c472d2e8e922ab2/Tricopteros-los-arquitectos-de-los-rios.pdf","https://scholar.google.com/scholar?q=related:_j1CMiLJ37gJ:scholar.google.com/&scioq=trichoptera%7Ccaddisfly%7Ccaddisflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
0,"S Bruegger, M Buechi, C Dieleman, L Eggenschwiler, ...","10 Quaternary environments: landscapes, climate, ecosystems and human activity during the past 2.6 million years",,"geoscience-meeting.ch","","https://geoscience-meeting.ch/sgm2023/wp-content/uploads/abstract_volume/SGM_2023_Symposium_10.pdf","",982,"2026-01-04 09:49:12","PDF","","","",,,,,0,0.00,0,5,,"… , Lepidoptera, Megaloptera, Plecoptera, and Trichoptera). We present lake sediment records that … Postglacial succession of caddisfly (Trichoptera) assemblages in a central European …","https://geoscience-meeting.ch/sgm2023/wp-content/uploads/abstract_volume/SGM_2023_Symposium_10.pdf","https://scholar.google.com/scholar?q=related:f1Rllc9WlcAJ:scholar.google.com/&scioq=trichoptera%7Ccaddisfly%7Ccaddisflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
0,"J Dietrich","2023 Annual Report: The Ecological Monitoring of Barrier Mitigation Projects in the New York State Portion of the Great Lakes Watershed",2023,"","ecommons.cornell.edu","https://ecommons.cornell.edu/bitstreams/c89eb17c-8d37-42d6-9a16-2debebc1d608/download","",625,"2026-01-04 09:49:12","PDF","","","",,,,,0,0.00,0,1,3,"… downstream reaches of both the Little Salmon and Awes Mill dams are minimally impaired and currently contain abundant favorable macroinvertebrate taxa such as mayflies, caddisflies…","https://ecommons.cornell.edu/bitstreams/c89eb17c-8d37-42d6-9a16-2debebc1d608/download","https://scholar.google.com/scholar?q=related:-DkGl08t6WMJ:scholar.google.com/&scioq=trichoptera%7Ccaddisfly%7Ccaddisflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
0,"JD Wells, V Škaro","285 Application of DNA-Based Methods in Forensic Entomology",2023,"Forensic DNA Applications: An Interdisciplinary …","CRC Press","","",992,"2026-01-04 09:49:12","CITATION","","","",,,,,0,0.00,0,2,3,"","","https://scholar.google.com/scholar?q=related:14oizur9U0sJ:scholar.google.com/&scioq=trichoptera%7Ccaddisfly%7Ccaddisflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
0,"R Zahiri, H Rajaei","A brief introduction to the phylogeny of Iranian Lepidoptera",2023,"… Systematics: Stuttgart Contributions to Natural History","BioOne","https://bioone.org/journals/integrative-systematics-stuttgart-contributions-to-natural-history/volume-6/issue-sp1/2023.997558.3/A-brief-introduction-to-the-phylogeny-of-Iranian-Lepidoptera/10.18476/2023.997558.3.short","",348,"2026-01-04 09:49:12","","10.18476/2023.997558.3.short","","",,,,,0,0.00,0,2,3,"… relationship to caddisflies (Trichoptera), with which it constitutes the higher-rank taxon Amphiesmenoptera. The close relationship between Lepidoptera and Trichoptera has essen- …","https://bioone.org/journals/integrative-systematics-stuttgart-contributions-to-natural-history/volume-6/issue-sp1/2023.997558.3/A-brief-introduction-to-the-phylogeny-of-Iranian-Lepidoptera/10.18476/2023.997558.3.pdf","https://scholar.google.com/scholar?q=related:acAR6vfY7FIJ:scholar.google.com/&scioq=trichoptera%7Ccaddisfly%7Ccaddisflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
1,"X Ge, Z Peng, L Peng, X Jia, K Chen, C Sun, B Wang","A checklist of the caddisflies (Insecta: Trichoptera) from the middle and lower basins of Jinsha river, southwestern China; including one new species and nine …",2023,"Diversity","mdpi.com","https://www.mdpi.com/1424-2818/15/2/181","https://scholar.google.com/scholar?cites=5225104678599514811&as_sdt=2005&sciodt=0,5&hl=en",27,"2026-01-04 09:49:12","HTML","","","",,,,,1,0.33,0,7,3,"… study provides the first published checklist for caddisfly in the middle and lower basins of the … This checklist will serve as a guide for future studies of caddisfly in the Jinsha River basin. …","https://www.mdpi.com/1424-2818/15/2/181","https://scholar.google.com/scholar?q=related:u9onegVNg0gJ:scholar.google.com/&scioq=trichoptera%7Ccaddisfly%7Ccaddisflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
10,"Y Liu, X Chen, Y Yin, X Li, K He, X Zhao, X Li, X Luo, ...","A chromosome-level genome assembly of tomato pinworm, Tuta absoluta",2023,"Scientific Data","nature.com","https://www.nature.com/articles/s41597-023-02299-5","https://scholar.google.com/scholar?cites=1585969561700866397&as_sdt=2005&sciodt=0,5&hl=en",907,"2026-01-04 09:49:12","HTML","","","",,,,,10,3.33,1,9,3,"… All 13 lepidopteran insects diverged from the sister lineage caddisfly (S. tienmushanensis) approximately 267.3 Mya ago (Fig. 3), which is consistent with a previous report 26 . …","https://www.nature.com/articles/s41597-023-02299-5","https://scholar.google.com/scholar?q=related:XRnD3el-AhYJ:scholar.google.com/&scioq=trichoptera%7Ccaddisfly%7Ccaddisflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
22,"F Keck, J Brantschen, F Altermatt","A combination of machine‐learning and eDNA reveals the genetic signature of environmental change at the landscape levels",2023,"Molecular Ecology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/mec.17073","https://scholar.google.com/scholar?cites=6170329478899472329&as_sdt=2005&sciodt=0,5&hl=en",901,"2026-01-04 09:49:12","","10.1111/mec.17073","","",,,,,22,7.33,7,3,3,"… However, Amphipoda and Trichoptera were clearly detected in lower proportions by metabarcoding (grouped in the ‘Others’ category of Figure 1) compared to traditional sampling. …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/mec.17073","https://scholar.google.com/scholar?q=related:yZfsIPhpoVUJ:scholar.google.com/&scioq=trichoptera%7Ccaddisfly%7Ccaddisflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
0,"P Rogers","A Common Sight",2023,"Ecoflourishing and Virtue","api.taylorfrancis.com","https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.4324/9781003346579-25&type=chapterpdf","",659,"2026-01-04 09:49:12","","","","",,,,,0,0.00,0,1,3,"… Brook trout have eyes for caddisfly larvae, pickerel for dragonfly nymphs; redfin shiners bear witness to the presence of flocks of water fleas. …","","https://scholar.google.com/scholar?q=related:pbaXFCRpnKoJ:scholar.google.com/&scioq=trichoptera%7Ccaddisfly%7Ccaddisflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
5,"Y Torres-Cambas, YS Megna, JC Salazar-Salina, ...","A database of freshwater macroinvertebrate occurrence records across Cuba",2023,"Scientific Data","nature.com","https://www.nature.com/articles/s41597-023-02088-0","https://scholar.google.com/scholar?cites=110030434770268723&as_sdt=2005&sciodt=0,5&hl=en",284,"2026-01-04 09:49:12","HTML","","","",,,,,5,1.67,1,4,3,"… points (Ephemeroptera 5 ) for each species, list of localities (Hemiptera 7 ) or more general revisions of the distribution in Cuba has been published (Odonata 11,12 , Trichoptera 8 ) …","https://www.nature.com/articles/s41597-023-02088-0","https://scholar.google.com/scholar?q=related:M7L28hjohgEJ:scholar.google.com/&scioq=trichoptera%7Ccaddisfly%7Ccaddisflies&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023"
