Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,ScopusID,EID
0,Zhou C.F.,The running pattern of longitudinal veins at wingbase of mayflies (Insecta: Ephemeroptera),2024,Journal of Environmental Entomology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105032486565&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105032486565&origin=inward,,2026-04-12 18:33:04,Article,10.3969/j.issn.1674-0858.2024.06.8,16740858,https://api.elsevier.com/content/abstract/scopus_id/105032486565,46,6,,,,0.0,0.0,1,1,,,,105032486565,2-s2.0-105032486565
0,López Del Castillo P.L.,"Checklist andAbundancewithNewRecordsof Mayflies(Insecta: Ephemeroptera) toSierraMaestraMountainRange, Cuba",2024,Hidrobiologica,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85200578251&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85200578251&origin=inward,,2026-04-12 18:33:04,Article,10.24275/WHHX9498,01888897,https://api.elsevier.com/content/abstract/scopus_id/85200578251,34,2,,,,0.0,0.0,1,1,,,,85200578251,2-s2.0-85200578251
2,Pohe S.R.,Species Richness and Similarity of New Zealand Mayfly Communities (Ephemeroptera) Decline with Increasing Latitude and Altitude,2024,Insects,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85207639420&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85207639420&origin=inward,,2026-04-12 18:33:04,Article,10.3390/insects15100757,,https://api.elsevier.com/content/abstract/scopus_id/85207639420,15,10,,,,2.0,2.0,1,1,,,,85207639420,2-s2.0-85207639420
6,Zheng X.,"Oculephemeridae n. fam., a new mayfly family from mid-Cretaceous Kachin amber (Insecta, Ephemeroptera)",2024,Historical Biology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85147002008&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85147002008&origin=inward,,2026-04-12 18:33:04,Article,10.1080/08912963.2023.2167603,08912963,https://api.elsevier.com/content/abstract/scopus_id/85147002008,36,3,,,,6.0,6.0,1,1,,,,85147002008,2-s2.0-85147002008
0,Sujitha S.,"Diversity and abundance of mayflies (Insecta: Ephemeroptera) in Achenkovil River, southern Western Ghats, Kerala, India",2024,Journal of Threatened Taxa,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85195274052&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85195274052&origin=inward,,2026-04-12 18:33:04,Article,10.11609/jott.8258.16.5.25157-25165,09747893,https://api.elsevier.com/content/abstract/scopus_id/85195274052,16,5,,,,0.0,0.0,1,1,,,,85195274052,2-s2.0-85195274052
4,Labdaoui S.,"Stream Sentinels: Mayfly Diversity, Land Use, and Conservation in Algeria's Djurdjura Mountains",2024,Aquatic Conservation Marine and Freshwater Ecosystems,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85211623579&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85211623579&origin=inward,,2026-04-12 18:33:04,Article,10.1002/aqc.70025,10527613,https://api.elsevier.com/content/abstract/scopus_id/85211623579,34,12,,,,4.0,4.0,1,1,,,,85211623579,2-s2.0-85211623579
0,Mueller A.S.,"New Late Cretaceous (Cenomanian) fossil mayfly nymphs (Oligoneuriidae, Heptageniidae, Hexagenitidae) from the Redmond Formation, Labrador, Canada",2024,Canadian Journal of Earth Sciences,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85196406992&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85196406992&origin=inward,,2026-04-12 18:33:04,Article,10.1139/cjes-2023-0133,00084077,https://api.elsevier.com/content/abstract/scopus_id/85196406992,61,6,,,,0.0,0.0,1,1,,,,85196406992,2-s2.0-85196406992
7,Chen Z.T.,"Crephlebia gen. nov., a new mayfly genus (Ephemeroptera: Leptophlebiidae) from mid-Cretaceous Kachin amber of northern Myanmar",2024,Cretaceous Research,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85186495117&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85186495117&origin=inward,,2026-04-12 18:33:04,Article,10.1016/j.cretres.2024.105869,01956671,https://api.elsevier.com/content/abstract/scopus_id/85186495117,159,,,,,7.0,7.0,1,1,,,,85186495117,2-s2.0-85186495117
14,Macko P.,Detailed DNA barcoding of mayflies in a small European country proved how far we are from having comprehensive barcode reference libraries,2024,Molecular Ecology Resources,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85189165651&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85189165651&origin=inward,,2026-04-12 18:33:04,Article,10.1111/1755-0998.13954,1755098X,https://api.elsevier.com/content/abstract/scopus_id/85189165651,24,5,,,,14.0,14.0,1,1,,,,85189165651,2-s2.0-85189165651
0,Do S.D.,The complete mitogenome dataset of the heptageniid mayfly Afronurus levis (Ephemeroptera: Heptageniidae: Ecdyonurinae) from South Korea,2024,Data in Brief,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85209767685&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85209767685&origin=inward,,2026-04-12 18:33:04,Data Paper,10.1016/j.dib.2024.111137,,https://api.elsevier.com/content/abstract/scopus_id/85209767685,57,,,,,0.0,0.0,1,1,,,,85209767685,2-s2.0-85209767685
