Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,ScopusID,EID
0,Mirzaeva A.G.,Methods for collection and evaluation of blood-sucking mosquitoes (Diptera: Culicidae). Preimaginal phases,2025,Euroasian Entomological Journal,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105031525191&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105031525191&origin=inward,,2026-04-12 18:25:47,Article,10.15298/euroasentj.24.04.01,16844866,https://api.elsevier.com/content/abstract/scopus_id/105031525191,24,4,,,,0,0.0,1,0,,,,105031525191,2-s2.0-105031525191
0,Amin M.,Molecular Monitoring of Flavivirus Infections (West Nile Virus and Dengue Virus) Among Culicidae Mosquitoes in Southern Iran,2025,Journal of Health Sciences and Surveillance System,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85216504690&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85216504690&origin=inward,,2026-04-12 18:25:47,Article,10.30476/jhsss.2024.100128.1826,23452218,https://api.elsevier.com/content/abstract/scopus_id/85216504690,13,1,,,,0,0.0,1,0,,,,85216504690,2-s2.0-85216504690
0,Hadji M.,"Entomology, typology and characterization of larval habitats of disease-vectors mosquitoes (Diptera, Culicidae) in the province of Sidi Slimane, Morocco",2025,Bio Web of Conferences,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105026959632&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105026959632&origin=inward,,2026-04-12 18:25:47,Conference Paper,10.1051/bioconf/202520001021,22731709,https://api.elsevier.com/content/abstract/scopus_id/105026959632,200,,,,,0,0.0,1,0,,,,105026959632,2-s2.0-105026959632
2,Bhairavi B.,Identification and molecular characterization of Dirofilaria sp. “hongkongensis” (Rhabditida: Onchocercidae) in wild-caught mosquitoes (Diptera: Culicidae): first report from India,2025,Journal of Medical Entomology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105000935112&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105000935112&origin=inward,,2026-04-12 18:25:47,Article,10.1093/jme/tjae161,00222585,https://api.elsevier.com/content/abstract/scopus_id/105000935112,62,2,,,,2,2.0,1,0,,,,105000935112,2-s2.0-105000935112
2,Bedoya-Rodríguez F.J.,"Diversity analysis, distribution and abundance of mosquito (Diptera: Culicidae) assemblages at urban sector from southwestern Colombia",2025,Biologia,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85217210047&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85217210047&origin=inward,,2026-04-12 18:25:47,Article,10.1007/s11756-024-01852-w,00063088,https://api.elsevier.com/content/abstract/scopus_id/85217210047,80,3,,,,2,2.0,1,0,,,,85217210047,2-s2.0-85217210047
0,Fricker S.R.,Characterisation of riverine mosquito (Diptera: Culicidae) community structure in southern Australia and the impact of a major flood based on analysis of a 20-year dataset,2025,Medical and Veterinary Entomology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85216199204&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85216199204&origin=inward,,2026-04-12 18:25:47,Article,10.1111/mve.12787,0269283X,https://api.elsevier.com/content/abstract/scopus_id/85216199204,39,2,,,,0,0.0,1,0,,,,85216199204,2-s2.0-85216199204
0,Panggabean M.,"Analysis of the distribution of mosquitoes (Diptera: Culicidae) and their function as vectors of infectious diseases in Tanjung Beringin District, Serdang Bedagai Regency, North Sumatra Province",2025,Iop Conference Series Earth and Environmental Science,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105031727916&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105031727916&origin=inward,,2026-04-12 18:25:47,Conference Paper,10.1088/1755-1315/1563/1/012055,17551307,https://api.elsevier.com/content/abstract/scopus_id/105031727916,1563,1,,,,0,0.0,1,0,,,,105031727916,2-s2.0-105031727916
0,Swanburg T.L.,"An updated inventory of mosquito species (Diptera: Culicidae) in Nova Scotia, Canada",2025,Canadian Entomologist,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105022716991&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105022716991&origin=inward,,2026-04-12 18:25:47,Article,10.4039/tce.2025.10029,0008347X,https://api.elsevier.com/content/abstract/scopus_id/105022716991,157,,,,,0,0.0,1,0,,,,105022716991,2-s2.0-105022716991
0,Ayala-Sulca Y.O.,Updated checklist of the mosquitoes (Diptera: Culicidae) of Peru with new national records,2025,Journal of Vector Ecology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105025378288&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105025378288&origin=inward,,2026-04-12 18:25:47,Article,10.52707/1081-1710-50.2-127,10811710,https://api.elsevier.com/content/abstract/scopus_id/105025378288,50,2,,,,0,0.0,1,0,,,,105025378288,2-s2.0-105025378288
0,Dias H.G.,Blood-feeding patterns of mosquitoes (Diptera: Culicidae) collected in an area of high arbovirus transmission in West-Central Brazil,2025,Journal of Medical Entomology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105011246980&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105011246980&origin=inward,,2026-04-12 18:25:47,Article,10.1093/jme/tjaf041,00222585,https://api.elsevier.com/content/abstract/scopus_id/105011246980,62,4,,,,0,0.0,1,0,,,,105011246980,2-s2.0-105011246980
