Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,ScopusID,EID
1,Gotoh T.,Acquisition and repeated alteration of (TTGGG)n telomeric repeats in Odonata (dragonflies and damselflies),2025,Insect Biochemistry and Molecular Biology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105009038379&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105009038379&origin=inward,,2026-04-12 19:06:29,Article,10.1016/j.ibmb.2025.104353,09651748,https://api.elsevier.com/content/abstract/scopus_id/105009038379,182,,,,,1,1.0,1,0,,,,105009038379,2-s2.0-105009038379
1,Fan G.Q.,Retrospection of Research on Dragonfly and Damselfly (Odonata) During Past Fifty Years: A Bibliometric Review,2025,Insects,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105017329710&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105017329710&origin=inward,,2026-04-12 19:06:29,Review,10.3390/insects16090945,,https://api.elsevier.com/content/abstract/scopus_id/105017329710,16,9,,,,1,1.0,1,0,,,,105017329710,2-s2.0-105017329710
1,Peeters E.T.,Link of dragonflies and damselflies with the aquatic environment is differently expressed in adult and larval stages,2025,Environmental and Sustainability Indicators,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85216662558&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85216662558&origin=inward,,2026-04-12 19:06:29,Article,10.1016/j.indic.2025.100621,,https://api.elsevier.com/content/abstract/scopus_id/85216662558,26,,,,,1,1.0,1,0,,,,85216662558,2-s2.0-85216662558
0,Zangl L.,A DNA Barcode Inventory of Austrian Dragonfly and Damselfly (Insecta: Odonata) Species,2025,Insects,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105020188570&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105020188570&origin=inward,,2026-04-12 19:06:29,Article,10.3390/insects16101056,,https://api.elsevier.com/content/abstract/scopus_id/105020188570,16,10,,,,0,0.0,1,0,,,,105020188570,2-s2.0-105020188570
0,Okude G.,Identification of ecdysteroids and ecdysteroidogenic genes in dragonflies and damselflies,2025,Scientific Reports,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105009537100&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105009537100&origin=inward,,2026-04-12 19:06:29,Article,10.1038/s41598-025-08387-3,,https://api.elsevier.com/content/abstract/scopus_id/105009537100,15,1,,,,0,0.0,1,0,,,,105009537100,2-s2.0-105009537100
0,Metcalfe A.N.,"Assessment of Dragonfly and Damselfly (Odonata) Occupancy and Habitat Suitability at −12 Mile Slough, Glen Canyon National Recreation Area, Arizona",2025,US Geological Survey Open File Report,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105025723779&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105025723779&origin=inward,,2026-04-12 19:06:29,Article,10.3133/ofr20251042,01961497,https://api.elsevier.com/content/abstract/scopus_id/105025723779,2025,,,,,0,0.0,1,0,,,,105025723779,2-s2.0-105025723779
3,Cezário R.R.,Polarized vision in the eyes of the most effective predators: dragonflies and damselflies (Odonata),2025,Science of Nature,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85216440161&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85216440161&origin=inward,,2026-04-12 19:06:29,Review,10.1007/s00114-025-01959-3,00281042,https://api.elsevier.com/content/abstract/scopus_id/85216440161,112,1,,,,3,3.0,1,0,,,,85216440161,2-s2.0-85216440161
1,Puff F.,Artificial ponds do not support the natural functional and taxonomic composition of alpine dragon- and damselfly communities,2025,Global Ecology and Conservation,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105009347856&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105009347856&origin=inward,,2026-04-12 19:06:29,Article,10.1016/j.gecco.2025.e03708,,https://api.elsevier.com/content/abstract/scopus_id/105009347856,62,,,,,1,1.0,1,0,,,,105009347856,2-s2.0-105009347856
0,Cazzola M.,What is the best time of the day to monitor Odonata? An investigation into changes in the abundance and species richness of dragonflies in ponds in northern Italy,2025,Journal of Insect Conservation,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85217784303&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85217784303&origin=inward,,2026-04-12 19:06:29,Article,10.1007/s10841-025-00648-w,1366638X,https://api.elsevier.com/content/abstract/scopus_id/85217784303,29,1,,,,0,0.0,1,0,,,,85217784303,2-s2.0-85217784303
0,Mir A.H.,"Sympetrum orientale (Selys, 1883) (Odonata: Libellulidae): a new addition to the Odonata fauna of Kashmir Himalaya, India",2025,Journal of Threatened Taxa,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105015422566&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105015422566&origin=inward,,2026-04-12 19:06:29,Article,10.11609/jott.9757.17.8.27391-27395,09747893,https://api.elsevier.com/content/abstract/scopus_id/105015422566,17,8,,,,0,0.0,1,0,,,,105015422566,2-s2.0-105015422566
4,Tolman E.R.,Newly sequenced genomes reveal patterns of gene family expansion in select dragonflies (Odonata: Anisoptera),2025,Insect Systematics and Diversity,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105011730005&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105011730005&origin=inward,,2026-04-12 19:06:29,Article,10.1093/isd/ixaf027,,https://api.elsevier.com/content/abstract/scopus_id/105011730005,9,4,,,,4,4.0,1,0,,,,105011730005,2-s2.0-105011730005
9,da Silva E.C.,Impacts of oil palm monocultures on freshwater ecosystems in the Amazon: a case study of dragonflies and damselflies (Insecta: Odonata),2025,Aquatic Sciences,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85206441125&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85206441125&origin=inward,,2026-04-12 19:06:29,Article,10.1007/s00027-024-01126-2,10151621,https://api.elsevier.com/content/abstract/scopus_id/85206441125,87,1,,,,9,9.0,1,0,,,,85206441125,2-s2.0-85206441125
0,Pu S.Y.,"The Odonata of China: a data-driven, open-access resource for biodiversity research and conservation",2025,Database,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105025600833&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105025600833&origin=inward,,2026-04-12 19:06:29,Article,10.1093/database/baaf077,17580463,https://api.elsevier.com/content/abstract/scopus_id/105025600833,2025,,,,,0,0.0,1,0,,,,105025600833,2-s2.0-105025600833
