Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,ScopusID,EID
5,Hotaling S.,"Nuclear and mitochondrial genomic resources for the meltwater stonefly (Plecoptera: Nemouridae), Lednia tumana (Ricker, 1952)",2019,Aquatic Insects,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85070920025&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85070920025&origin=inward,,2026-04-12 18:40:14,Article,10.1080/01650424.2019.1639764,01650424,https://api.elsevier.com/content/abstract/scopus_id/85070920025,40,4,,,,0.83,5.0,1,6,,,,85070920025,2-s2.0-85070920025
87,De Walt R.,"Ecosystem services, global diversity, and rate of stonefly species descriptions (Insecta: Plecoptera)",2019,Insects,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85067547671&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85067547671&origin=inward,,2026-04-12 18:40:14,Review,10.3390/insects10040099,,https://api.elsevier.com/content/abstract/scopus_id/85067547671,10,4,,,,14.5,87.0,1,6,,,,85067547671,2-s2.0-85067547671
3,Hoff H.,"Acroneuria lycorias (Boreal stonefly, plecoptera: Perlidae) emergence behaviors discovered in pinus strobus canopy",2019,Great Lakes Entomologist,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85083702599&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85083702599&origin=inward,,2026-04-12 18:40:14,Article,,00900222,https://api.elsevier.com/content/abstract/scopus_id/85083702599,52,1-2,,,,0.5,3.0,1,6,,,,85083702599,2-s2.0-85083702599
49,Ding S.,The phylogeny and evolutionary timescale of stoneflies (Insecta: Plecoptera) inferred from mitochondrial genomes,2019,Molecular Phylogenetics and Evolution,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85062963868&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85062963868&origin=inward,,2026-04-12 18:40:14,Article,10.1016/j.ympev.2019.03.005,10557903,https://api.elsevier.com/content/abstract/scopus_id/85062963868,135,,,,,8.17,49.0,1,6,,,,85062963868,2-s2.0-85062963868
3,Veale A.J.,First complete mitochondrial genome of a Gripopterygid stonefly from the sub-order Antarctoperlaria: Zelandoperla fenestrata,2019,Mitochondrial DNA Part B Resources,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85061247341&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85061247341&origin=inward,,2026-04-12 18:40:14,Article,10.1080/23802359.2018.1546130,,https://api.elsevier.com/content/abstract/scopus_id/85061247341,4,1,,,,0.5,3.0,1,6,,,,85061247341,2-s2.0-85061247341
6,Tyufekchieva V.G.,"Composition and zoogeographic features of the stonefly fauna (Insecta: Plecoptera) of mountainous and semi-mountainous streams in aegean watershed (7th Ecoregion, Eastern Balkans)",2019,Ecologia Balkanica,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087509854&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087509854&origin=inward,,2026-04-12 18:40:14,Article,,13140213,https://api.elsevier.com/content/abstract/scopus_id/85087509854,,Specialissue2,,,,1.0,6.0,1,6,,,,85087509854,2-s2.0-85087509854
6,Kondratieff B.C.,Plecoptera of Canada,2019,Zookeys,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85070226034&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85070226034&origin=inward,,2026-04-12 18:40:14,Review,10.3897/zookeys.819.23535,13132989,https://api.elsevier.com/content/abstract/scopus_id/85070226034,2019,819,,,,1.0,6.0,1,6,,,,85070226034,2-s2.0-85070226034
8,Shen Y.,The mitochondrial genome of Leuctra sp. (Plecoptera: Leuctridae) and its performance in phylogenetic analyses,2019,Zootaxa,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85072328217&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85072328217&origin=inward,,2026-04-12 18:40:14,Article,10.11646/zootaxa.4671.4.8,11755326,https://api.elsevier.com/content/abstract/scopus_id/85072328217,4671,4,,,,1.33,8.0,1,6,,,,85072328217,2-s2.0-85072328217
1,Cui Y.,Plecoptera - Stoneflies,2019,Rhythms of Insect Evolution Evidence from the Jurassic and Cretaceous in Northern China,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85148154200&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85148154200&origin=inward,,2026-04-12 18:40:14,Book Chapter,10.1002/9781119427957.ch14,,https://api.elsevier.com/content/abstract/scopus_id/85148154200,,,,,,0.17,1.0,1,6,,,,85148154200,2-s2.0-85148154200
10,Tyufekchieva V.,"First Checklist of stoneflies (Insecta: Plecoptera) of Bulgaria, with application of the IUCN Red List criteria at the national level",2019,Acta Zoologica Bulgarica,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85077663457&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85077663457&origin=inward,,2026-04-12 18:40:14,Article,,03240770,https://api.elsevier.com/content/abstract/scopus_id/85077663457,71,3,,,,1.67,10.0,1,6,,,,85077663457,2-s2.0-85077663457
