Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,ScopusID,EID
1,Sivaruban T.,"Diversity and distribution of trichoptera in three streams of Eastern Ghats, India",2021,Indian Journal of Ecology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85109726386&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85109726386&origin=inward,,2026-01-16 13:10:31,Article,,03045250,https://api.elsevier.com/content/abstract/scopus_id/85109726386,48,3,,,,0.25,1.0,1,4,,,,85109726386,2-s2.0-85109726386
9,Slavevska-Stamenković V.,Caddisflies (Insecta: Trichoptera) from koŽuf and baba mountains (Republic of North Macedonia),2021,Natura Croatica,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85112410857&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85112410857&origin=inward,,2026-01-16 13:10:31,Article,10.20302/NC.2021.30.8,13300520,https://api.elsevier.com/content/abstract/scopus_id/85112410857,30,1,,,,2.25,9.0,1,4,,,,85112410857,2-s2.0-85112410857
12,Olsen L.K.,"Draft Genome Assemblies and Annotations of Agrypnia vestita Walker, and Hesperophylax magnus Banks Reveal Substantial Repetitive Element Expansion in Tube Case-Making Caddisflies (Insecta: Trichoptera)",2021,Genome Biology and Evolution,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85102657355&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85102657355&origin=inward,,2026-01-16 13:10:31,Article,10.1093/gbe/evab013,,https://api.elsevier.com/content/abstract/scopus_id/85102657355,13,3,,,,3.0,12.0,1,4,,,,85102657355,2-s2.0-85102657355
13,Thamsenanupap P.,"Caddisflies (trichoptera, insecta) as bioindicator of water quality assessment in a small stream in northern thailand",2021,Sains Malaysiana,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85104439919&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85104439919&origin=inward,,2026-01-16 13:10:31,Article,10.17576/jsm-2021-5003-08,01266039,https://api.elsevier.com/content/abstract/scopus_id/85104439919,50,3,,,,3.25,13.0,1,4,,,,85104439919,2-s2.0-85104439919
0,Nuntakwang A.,"Diversity of adult caddisfly (Trichoptera) in two intermittent streams during dry season in phayao province, thailand",2021,Walailak Journal of Science and Technology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85105122651&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85105122651&origin=inward,,2026-01-16 13:10:31,Article,10.48048/wjst.2021.9114,16863933,https://api.elsevier.com/content/abstract/scopus_id/85105122651,18,8,,,,0.0,0.0,1,4,,,,85105122651,2-s2.0-85105122651
8,Vučković I.,"Biodiversity, DNA barcoding data and ecological traits of caddisflies (Insecta, Trichoptera) in the catchment area of the Mediterranean karst River Cetina (Croatia)",2021,Ecologica Montenegrina,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85113283946&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85113283946&origin=inward,,2026-01-16 13:10:31,Article,10.37828/em.2021.44.10,23370173,https://api.elsevier.com/content/abstract/scopus_id/85113283946,44,,,,,2.0,8.0,1,4,,,,85113283946,2-s2.0-85113283946
8,MacDonald M.J.,Ecosystem engineering in the streambed: Net-spinning caddisflies influence hydraulic properties,2021,Ecohydrology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85097569907&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85097569907&origin=inward,,2026-01-16 13:10:31,Article,10.1002/eco.2266,19360584,https://api.elsevier.com/content/abstract/scopus_id/85097569907,14,2,,,,2.0,8.0,1,4,,,,85097569907,2-s2.0-85097569907
12,Pereira R.,Field assessment of the efficiency of two sampling techniques for adult caddisflies (Insecta: Trichoptera),2021,International Journal of Tropical Insect Science,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85092062521&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85092062521&origin=inward,,2026-01-16 13:10:31,Article,10.1007/s42690-020-00255-z,17427584,https://api.elsevier.com/content/abstract/scopus_id/85092062521,41,1,,,,3.0,12.0,1,4,,,,85092062521,2-s2.0-85092062521
2,Ostrovsky A.M.,New Finds and Species of Caddisflies (Trichoptera) in Southeastern Belarus,2021,Inland Water Biology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85105013964&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85105013964&origin=inward,,2026-01-16 13:10:31,Article,10.1134/S1995082921020127,19950829,https://api.elsevier.com/content/abstract/scopus_id/85105013964,14,2,,,,0.5,2.0,1,4,,,,85105013964,2-s2.0-85105013964
2,Ekingen P.,Environmental Factors Affecting Distribution of Caddisfly (Trichoptera) Larvae in Mountain Streams of Northeastern Turkey,2021,Inland Water Biology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85115254742&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85115254742&origin=inward,,2026-01-16 13:10:31,Article,10.1134/S1995082921050047,19950829,https://api.elsevier.com/content/abstract/scopus_id/85115254742,14,5,,,,0.5,2.0,1,4,,,,85115254742,2-s2.0-85115254742
9,Melnitsky S.I.,TWO NEW SPECIES OF THE GENUS ARCHAEOPOLYCENTRA (TRICHOPTERA: POLYCENTROPODIDAE) FROM CRETACEOUS TAIMYR AMBER,2021,Far Eastern Entomologist,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124960564&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124960564&origin=inward,,2026-01-16 13:10:31,Article,10.25221/FEE.444.1,1026051X,https://api.elsevier.com/content/abstract/scopus_id/85124960564,444,,,,,2.25,9.0,1,4,,,,85124960564,2-s2.0-85124960564
6,Bemmoussat-Dekkak S.,Contribution to knowledge of the Trichoptera of northwestern Algeria: New species records for the Algerian fauna and taxonomic remarks for the Maghreb fauna,2021,Zootaxa,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85122166615&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85122166615&origin=inward,,2026-01-16 13:10:31,Article,10.11646/zootaxa.5068.2.2,11755326,https://api.elsevier.com/content/abstract/scopus_id/85122166615,5068,2,,,,1.5,6.0,1,4,,,,85122166615,2-s2.0-85122166615
