Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,ScopusID,EID
19,Martínez A.,Salinisation effects on leaf litter decomposition in fresh waters: Does the ionic composition of salt matter?,2020,Freshwater Biology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85084049640&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85084049640&origin=inward,,2026-01-16 13:10:12,Article,10.1111/fwb.13514,00465070,https://api.elsevier.com/content/abstract/scopus_id/85084049640,65,8,,,,3.8,19.0,1,5,,,,85084049640,2-s2.0-85084049640
0,Salokannel J.,"A New Species of the Caddisfly Genus Triaenodes McLachlan, 1865 (Trichoptera, Leptoceridae) from the Southern Urals, Russia",2020,Entomological Review,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85100503076&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85100503076&origin=inward,,2026-01-16 13:10:12,Article,10.1134/S0013873820070088,00138738,https://api.elsevier.com/content/abstract/scopus_id/85100503076,100,7,,,,0.0,0.0,1,5,,,,85100503076,2-s2.0-85100503076
13,Dambri B.M.,Contribution to the knowledge of the caddisfly fauna of Algeria: An updated checklist of Algerian Trichoptera with new records from the Aures region,2020,Zootaxa,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85085691460&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85085691460&origin=inward,,2026-01-16 13:10:12,Article,10.11646/zootaxa.4786.2.4,11755326,https://api.elsevier.com/content/abstract/scopus_id/85085691460,4786,2,,,,2.6,13.0,1,5,,,,85085691460,2-s2.0-85085691460
3,Benchamin D.,"Effect of water quality on caddisflies (Trichoptera) in Kallada river, Kerala, India",2020,Current Science,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85126715273&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85126715273&origin=inward,,2026-01-16 13:10:12,Article,10.18520/cs/v119/i11/1845-1849,00113891,https://api.elsevier.com/content/abstract/scopus_id/85126715273,119,11,,,,0.6,3.0,1,5,,,,85126715273,2-s2.0-85126715273
0,Mishra A.S.,"Pre-impoundment study of diatom and benthic macroinvertebrate community in lesser himalayan a river, the Tons",2020,Indian Journal of Ecology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85097925919&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85097925919&origin=inward,,2026-01-16 13:10:12,Article,,03045250,https://api.elsevier.com/content/abstract/scopus_id/85097925919,47,4,,,,0.0,0.0,1,5,,,,85097925919,2-s2.0-85097925919
0,Thiele V.V.,Effects of ecological river remediation on the insect world – a success story using the example of the fog in mecklenburg,2020,Naturschutz Und Landschaftsplanung,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85081621112&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85081621112&origin=inward,,2026-01-16 13:10:12,Article,,09406808,https://api.elsevier.com/content/abstract/scopus_id/85081621112,52,3,,,,0.0,0.0,1,5,,,,85081621112,2-s2.0-85081621112
6,Murray-Stoker K.M.,Shifts in the community composition of caddisflies (Insecta: Trichoptera) in a subtropical river over three decades,2020,Ecological Entomology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85075416251&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85075416251&origin=inward,,2026-01-16 13:10:12,Article,10.1111/een.12822,03076946,https://api.elsevier.com/content/abstract/scopus_id/85075416251,45,3,,,,1.2,6.0,1,5,,,,85075416251,2-s2.0-85075416251
1,Küçükbasmaci I.,"A list of the caddisflies (insecta: Trichoptera) from kyrgyzstan, with a new record (triaenodes reuteri mclachlan 1880)",2020,Zootaxa,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85097954475&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85097954475&origin=inward,,2026-01-16 13:10:12,Article,10.11646/zootaxa.4896.1.6,11755326,https://api.elsevier.com/content/abstract/scopus_id/85097954475,4896,1,,,,0.2,1.0,1,5,,,,85097954475,2-s2.0-85097954475
6,Kim H.J.,"Fine structure of the silk spinning system in the caddisworm, Hydatophylax nigrovittatus (Trichoptera: Limnephilidae)",2020,Applied Microscopy,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85125964297&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85125964297&origin=inward,,2026-01-16 13:10:12,Article,10.1186/s42649-020-00036-5,22875123,https://api.elsevier.com/content/abstract/scopus_id/85125964297,50,1,,,,1.2,6.0,1,5,,,,85125964297,2-s2.0-85125964297
24,Cerjanec D.,Ecological and faunistic features of caddisflies (Insecta: Trichoptera) in different types of habitats in the dinaric karst area (Central Croatia),2020,Ecologica Montenegrina,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85096981859&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85096981859&origin=inward,,2026-01-16 13:10:12,Article,10.37828/em.2020.36.2,23370173,https://api.elsevier.com/content/abstract/scopus_id/85096981859,36,,,,,4.8,24.0,1,5,,,,85096981859,2-s2.0-85096981859
